sensor,indice_multimetro,voltaje_V,error,tiempo_s,fecha_hora_corregida,fecha_hora_pc_sin_corregir,correccion_reloj_s
multimetro,0,-1.0648e-05,,0.4154803000001266,2026-05-28T08:55:04.295,2026-05-28T09:10:34.295,-930
multimetro,1,-6.07e-07,,0.6313746999999239,2026-05-28T08:55:04.511,2026-05-28T09:10:34.511,-930
multimetro,2,-8.135e-06,,0.8461915000002591,2026-05-28T08:55:04.728,2026-05-28T09:10:34.728,-930
multimetro,3,1.8018e-05,,1.0611517000002095,2026-05-28T08:55:04.945,2026-05-28T09:10:34.945,-930
multimetro,4,1.2407e-05,,1.276218400000289,2026-05-28T08:55:05.161,2026-05-28T09:10:35.161,-930
multimetro,5,-5.046e-06,,1.4911469000003308,2026-05-28T08:55:05.371,2026-05-28T09:10:35.371,-930
multimetro,6,-2.05e-05,,1.7153445000003558,2026-05-28T08:55:05.595,2026-05-28T09:10:35.595,-930
multimetro,7,-9.9065e-05,,1.9649810000000798,2026-05-28T08:55:05.845,2026-05-28T09:10:35.845,-930
multimetro,8,-9.2867e-05,,2.2152734999999666,2026-05-28T08:55:06.095,2026-05-28T09:10:36.095,-930
multimetro,9,-4.7784e-05,,2.464755299999979,2026-05-28T08:55:06.345,2026-05-28T09:10:36.345,-930
multimetro,10,-5.5929e-05,,2.714842200000021,2026-05-28T08:55:06.595,2026-05-28T09:10:36.595,-930
multimetro,11,-1.0093e-05,,2.9650719999999637,2026-05-28T08:55:06.845,2026-05-28T09:10:36.845,-930
multimetro,12,-4.4319e-05,,3.214802899999995,2026-05-28T08:55:07.095,2026-05-28T09:10:37.095,-930
multimetro,13,-1.6563e-05,,3.464870400000109,2026-05-28T08:55:07.345,2026-05-28T09:10:37.345,-930
multimetro,14,-6.156e-06,,3.714656500000274,2026-05-28T08:55:07.595,2026-05-28T09:10:37.595,-930
multimetro,15,-2.754e-06,,3.9652671000003465,2026-05-28T08:55:07.845,2026-05-28T09:10:37.845,-930
multimetro,16,-5.968e-06,,4.214802800000143,2026-05-28T08:55:08.095,2026-05-28T09:10:38.095,-930
multimetro,17,-1.0512e-05,,4.464821800000209,2026-05-28T08:55:08.345,2026-05-28T09:10:38.345,-930
multimetro,18,-1.2668e-05,,4.714977200000249,2026-05-28T08:55:08.597,2026-05-28T09:10:38.597,-930
multimetro,19,6.125e-06,,4.9645987000003515,2026-05-28T08:55:08.845,2026-05-28T09:10:38.845,-930
multimetro,20,-3.0823e-05,,5.214941400000043,2026-05-28T08:55:09.095,2026-05-28T09:10:39.095,-930
multimetro,21,3.7649e-05,,5.464742200000273,2026-05-28T08:55:09.347,2026-05-28T09:10:39.347,-930
multimetro,22,-3.5283e-05,,5.714963800000078,2026-05-28T08:55:09.595,2026-05-28T09:10:39.595,-930
multimetro,23,4.4821e-05,,5.964690900000278,2026-05-28T08:55:09.845,2026-05-28T09:10:39.845,-930
multimetro,24,3.6717e-05,,6.214734800000315,2026-05-28T08:55:10.095,2026-05-28T09:10:40.095,-930
multimetro,25,5.0496e-05,,6.464820800000325,2026-05-28T08:55:10.345,2026-05-28T09:10:40.345,-930
multimetro,26,7.7131e-05,,6.714835799999946,2026-05-28T08:55:10.595,2026-05-28T09:10:40.595,-930
multimetro,27,0.000946079,,6.964591400000245,2026-05-28T08:55:10.845,2026-05-28T09:10:40.845,-930
multimetro,28,-0.00032717,,7.21476500000017,2026-05-28T08:55:11.095,2026-05-28T09:10:41.095,-930
multimetro,29,0.000339744,,7.464561700000104,2026-05-28T08:55:11.346,2026-05-28T09:10:41.346,-930
multimetro,30,4.8653e-05,,7.714642899999944,2026-05-28T08:55:11.600,2026-05-28T09:10:41.600,-930
multimetro,31,-0.000913654,,7.964605500000289,2026-05-28T08:55:11.845,2026-05-28T09:10:41.845,-930
multimetro,32,0.000295834,,8.215109600000233,2026-05-28T08:55:12.095,2026-05-28T09:10:42.095,-930
multimetro,33,-0.000729763,,8.46455130000004,2026-05-28T08:55:12.345,2026-05-28T09:10:42.345,-930
multimetro,34,2.5253e-05,,8.71497810000028,2026-05-28T08:55:12.597,2026-05-28T09:10:42.597,-930
multimetro,35,-7.7937e-05,,8.964522300000226,2026-05-28T08:55:12.845,2026-05-28T09:10:42.845,-930
multimetro,36,-0.000107305,,9.214748100000179,2026-05-28T08:55:13.095,2026-05-28T09:10:43.095,-930
multimetro,37,-0.000260739,,9.464887399999952,2026-05-28T08:55:13.347,2026-05-28T09:10:43.347,-930
multimetro,38,1.7474e-05,,9.727291400000013,2026-05-28T08:55:13.613,2026-05-28T09:10:43.613,-930
multimetro,39,9.4751e-05,,9.965011799999957,2026-05-28T08:55:13.850,2026-05-28T09:10:43.850,-930
multimetro,40,0.000174081,,10.214763100000255,2026-05-28T08:55:14.097,2026-05-28T09:10:44.097,-930
multimetro,41,0.000121146,,10.464551500000198,2026-05-28T08:55:14.345,2026-05-28T09:10:44.345,-930
multimetro,42,7.3236e-05,,10.71466270000019,2026-05-28T08:55:14.595,2026-05-28T09:10:44.595,-930
multimetro,43,6.6284e-05,,10.964738900000157,2026-05-28T08:55:14.845,2026-05-28T09:10:44.845,-930
multimetro,44,4.0267e-05,,11.215128499999992,2026-05-28T08:55:15.095,2026-05-28T09:10:45.095,-930
multimetro,45,3.2069e-05,,11.464594500000203,2026-05-28T08:55:15.345,2026-05-28T09:10:45.345,-930
multimetro,46,2.5117e-05,,11.714812100000017,2026-05-28T08:55:15.595,2026-05-28T09:10:45.595,-930
multimetro,47,2.3222e-05,,11.964791900000364,2026-05-28T08:55:15.845,2026-05-28T09:10:45.845,-930
multimetro,48,2.2395e-05,,12.215002599999934,2026-05-28T08:55:16.095,2026-05-28T09:10:46.095,-930
multimetro,49,2.5703e-05,,12.464631199999985,2026-05-28T08:55:16.345,2026-05-28T09:10:46.345,-930
multimetro,50,1.6029e-05,,12.714704700000311,2026-05-28T08:55:16.595,2026-05-28T09:10:46.595,-930
multimetro,51,0.000390721,,12.965037700000266,2026-05-28T08:55:16.845,2026-05-28T09:10:46.845,-930
multimetro,52,-0.000136379,,13.214741900000263,2026-05-28T08:55:17.095,2026-05-28T09:10:47.095,-930
multimetro,53,7.755e-05,,13.464566399999967,2026-05-28T08:55:17.345,2026-05-28T09:10:47.345,-930
multimetro,54,4.4538e-05,,13.715171300000293,2026-05-28T08:55:17.595,2026-05-28T09:10:47.595,-930
