sensor,indice_balanza,masa_g,error,tiempo_s,fecha_hora_corregida,fecha_hora_pc_sin_corregir,correccion_reloj_s,indice_multimetro,voltaje_V
multimetro,,,,0.5217314999999871,2026-05-28T09:16:54.158,2026-05-28T09:32:24.158,-930,0.0,2.429e-05
multimetro,,,,1.047512199999801,2026-05-28T09:16:54.678,2026-05-28T09:32:24.678,-930,1.0,1.5788e-05
balanza,0.0,,Error desde Arduino: HX711 not found.,1.4014652000000751,2026-05-28T09:16:55.032,2026-05-28T09:32:25.032,-930,,
multimetro,,,,1.571545199999946,2026-05-28T09:16:55.201,2026-05-28T09:32:25.201,-930,2.0,1.7694e-05
multimetro,,,,2.0956489000000147,2026-05-28T09:16:55.731,2026-05-28T09:32:25.731,-930,3.0,2.1672e-05
balanza,1.0,-0.0,,2.3939064999999573,2026-05-28T09:16:56.021,2026-05-28T09:32:26.021,-930,,
balanza,2.0,,Error desde Arduino: HX711 not found.,2.417278599999918,2026-05-28T09:16:56.052,2026-05-28T09:32:26.052,-930,,
multimetro,,,,2.6195921999997154,2026-05-28T09:16:56.255,2026-05-28T09:32:26.255,-930,4.0,9.391e-06
multimetro,,,,3.143612299999859,2026-05-28T09:16:56.779,2026-05-28T09:32:26.779,-930,5.0,9.046e-06
balanza,3.0,0.02,,3.4084914999998546,2026-05-28T09:16:57.044,2026-05-28T09:32:27.044,-930,,
balanza,4.0,,Error desde Arduino: HX711 not found.,3.4317667000000256,2026-05-28T09:16:57.067,2026-05-28T09:32:27.067,-930,,
multimetro,,,,3.667901599999823,2026-05-28T09:16:57.295,2026-05-28T09:32:27.295,-930,6.0,-9.3987e-05
multimetro,,,,4.191882799999803,2026-05-28T09:16:57.825,2026-05-28T09:32:27.825,-930,7.0,-5.507e-06
balanza,5.0,-0.06,,4.42416030000004,2026-05-28T09:16:58.059,2026-05-28T09:32:28.059,-930,,
balanza,6.0,,Error desde Arduino: HX711 not found.,4.447446799999852,2026-05-28T09:16:58.079,2026-05-28T09:32:28.079,-930,,
multimetro,,,,4.715971499999796,2026-05-28T09:16:58.352,2026-05-28T09:32:28.352,-930,8.0,2.6195e-05
multimetro,,,,5.240029699999923,2026-05-28T09:16:58.876,2026-05-28T09:32:28.876,-930,9.0,2.555e-06
balanza,7.0,19.37,,5.439981799999714,2026-05-28T09:16:59.075,2026-05-28T09:32:29.075,-930,,
balanza,8.0,,Error desde Arduino: HX711 not found.,5.463240600000063,2026-05-28T09:16:59.091,2026-05-28T09:32:29.091,-930,,
multimetro,,,,5.76425399999971,2026-05-28T09:16:59.391,2026-05-28T09:32:29.391,-930,10.0,1.2438e-05
multimetro,,,,6.288598499999807,2026-05-28T09:16:59.924,2026-05-28T09:32:29.924,-930,11.0,1.1129e-05
balanza,9.0,19.45,,6.455669800000123,2026-05-28T09:17:00.091,2026-05-28T09:32:30.091,-930,,
balanza,10.0,,Error desde Arduino: HX711 not found.,6.479044499999873,2026-05-28T09:17:00.108,2026-05-28T09:32:30.108,-930,,
multimetro,,,,6.8127801000000545,2026-05-28T09:17:00.441,2026-05-28T09:32:30.441,-930,12.0,3.1514e-05
multimetro,,,,7.336836699999822,2026-05-28T09:17:00.972,2026-05-28T09:32:30.972,-930,13.0,3.2875e-05
balanza,11.0,11.56,,7.471676099999968,2026-05-28T09:17:01.107,2026-05-28T09:32:31.107,-930,,
balanza,12.0,,Error desde Arduino: HX711 not found.,7.494866799999727,2026-05-28T09:17:01.126,2026-05-28T09:32:31.126,-930,,
multimetro,,,,7.861064899999747,2026-05-28T09:17:01.495,2026-05-28T09:32:31.495,-930,14.0,2.252e-05
multimetro,,,,8.385481700000128,2026-05-28T09:17:02.021,2026-05-28T09:32:32.021,-930,15.0,6.554e-06
balanza,13.0,11.14,,8.487333600000056,2026-05-28T09:17:02.118,2026-05-28T09:32:32.118,-930,,
balanza,14.0,,Error desde Arduino: HX711 not found.,8.510620199999721,2026-05-28T09:17:02.141,2026-05-28T09:32:32.141,-930,,
multimetro,,,,8.909761500000059,2026-05-28T09:17:02.544,2026-05-28T09:32:32.544,-930,16.0,1.65e-05
multimetro,,,,9.43413479999981,2026-05-28T09:17:03.070,2026-05-28T09:32:33.070,-930,17.0,1.8406e-05
balanza,15.0,14.3,,9.503030899999885,2026-05-28T09:17:03.135,2026-05-28T09:32:33.135,-930,,
balanza,16.0,,Error desde Arduino: HX711 not found.,9.526335199999721,2026-05-28T09:17:03.158,2026-05-28T09:32:33.158,-930,,
multimetro,,,,9.958324599999742,2026-05-28T09:17:03.591,2026-05-28T09:32:33.591,-930,18.0,2.3662e-05
multimetro,,,,10.482692900000075,2026-05-28T09:17:04.118,2026-05-28T09:32:34.118,-930,19.0,1.2857e-05
balanza,17.0,12.29,,10.51874880000014,2026-05-28T09:17:04.151,2026-05-28T09:32:34.151,-930,,
balanza,18.0,,Error desde Arduino: HX711 not found.,10.542085999999927,2026-05-28T09:17:04.175,2026-05-28T09:32:34.175,-930,,
multimetro,,,,11.007009299999936,2026-05-28T09:17:04.641,2026-05-28T09:32:34.641,-930,20.0,1.1245e-05
multimetro,,,,11.531082900000001,2026-05-28T09:17:05.158,2026-05-28T09:32:35.158,-930,21.0,1.0302e-05
balanza,19.0,13.89,,11.534386499999982,2026-05-28T09:17:05.168,2026-05-28T09:32:35.168,-930,,
balanza,20.0,,Error desde Arduino: HX711 not found.,11.557518600000094,2026-05-28T09:17:05.193,2026-05-28T09:32:35.193,-930,,
multimetro,,,,12.055221399999937,2026-05-28T09:17:05.691,2026-05-28T09:32:35.691,-930,22.0,2.2479e-05
balanza,21.0,10.78,,12.549943199999689,2026-05-28T09:17:06.184,2026-05-28T09:32:36.184,-930,,
balanza,22.0,,Error desde Arduino: HX711 not found.,12.57327529999975,2026-05-28T09:17:06.208,2026-05-28T09:32:36.208,-930,,
multimetro,,,,12.579707999999755,2026-05-28T09:17:06.208,2026-05-28T09:32:36.208,-930,23.0,2.1013e-05
multimetro,,,,13.103923799999848,2026-05-28T09:17:06.735,2026-05-28T09:32:36.735,-930,24.0,1.5589e-05
balanza,23.0,9.85,,13.564579299999878,2026-05-28T09:17:07.191,2026-05-28T09:32:37.191,-930,,
balanza,24.0,,Error desde Arduino: HX711 not found.,13.58771919999981,2026-05-28T09:17:07.218,2026-05-28T09:32:37.218,-930,,
multimetro,,,,13.62824879999971,2026-05-28T09:17:07.258,2026-05-28T09:32:37.258,-930,25.0,1.6825e-05
multimetro,,,,14.152405400000134,2026-05-28T09:17:07.784,2026-05-28T09:32:37.784,-930,26.0,2.6059e-05
balanza,25.0,2.78,,14.579146099999889,2026-05-28T09:17:08.208,2026-05-28T09:32:38.208,-930,,
balanza,26.0,,Error desde Arduino: HX711 not found.,14.602265199999692,2026-05-28T09:17:08.235,2026-05-28T09:32:38.235,-930,,
multimetro,,,,14.676747599999999,2026-05-28T09:17:08.308,2026-05-28T09:32:38.308,-930,27.0,1.7809e-05
multimetro,,,,15.200941099999909,2026-05-28T09:17:08.835,2026-05-28T09:32:38.835,-930,28.0,1.8113e-05
balanza,27.0,8.8,,15.593776400000024,2026-05-28T09:17:09.225,2026-05-28T09:32:39.225,-930,,
balanza,28.0,,Error desde Arduino: HX711 not found.,15.61714260000008,2026-05-28T09:17:09.244,2026-05-28T09:32:39.244,-930,,
multimetro,,,,15.725212100000135,2026-05-28T09:17:09.361,2026-05-28T09:32:39.361,-930,29.0,1.8971e-05
multimetro,,,,16.24925409999969,2026-05-28T09:17:09.885,2026-05-28T09:32:39.885,-930,30.0,1.7087e-05
balanza,29.0,3.44,,16.60842109999976,2026-05-28T09:17:10.241,2026-05-28T09:32:40.241,-930,,
balanza,30.0,3.01,,16.619568000000072,2026-05-28T09:17:10.251,2026-05-28T09:32:40.251,-930,,
balanza,31.0,,Error desde Arduino: HX711 not found.,16.642831099999967,2026-05-28T09:17:10.275,2026-05-28T09:32:40.275,-930,,
multimetro,,,,16.773691099999724,2026-05-28T09:17:10.408,2026-05-28T09:32:40.408,-930,31.0,1.6793e-05
