sensor,indice_balanza,masa_g,error,tiempo_s,fecha_hora_corregida,fecha_hora_pc_sin_corregir,correccion_reloj_s,indice_multimetro,voltaje_V
multimetro,,,,0.5217695999999705,2026-05-28T10:20:20.658,2026-05-28T10:35:50.658,-930,0.0,0.001292377
multimetro,,,,1.047237299999324,2026-05-28T10:20:21.184,2026-05-28T10:35:51.184,-930,1.0,0.001291257
balanza,0.0,,Error desde Arduino: HX711 not found.,1.4080659999999625,2026-05-28T10:20:21.542,2026-05-28T10:35:51.542,-930,,
multimetro,,,,1.572081799999978,2026-05-28T10:20:21.702,2026-05-28T10:35:51.702,-930,2.0,0.001288932
multimetro,,,,2.096790300000066,2026-05-28T10:20:22.234,2026-05-28T10:35:52.234,-930,3.0,0.001247629
balanza,1.0,14.52,,2.4007065999994666,2026-05-28T10:20:22.534,2026-05-28T10:35:52.534,-930,,
balanza,2.0,,Error desde Arduino: HX711 not found.,2.4238226999996186,2026-05-28T10:20:22.561,2026-05-28T10:35:52.561,-930,,
multimetro,,,,2.621436200000062,2026-05-28T10:20:22.758,2026-05-28T10:35:52.758,-930,4.0,0.001102393
multimetro,,,,3.1462633999999525,2026-05-28T10:20:23.283,2026-05-28T10:35:53.283,-930,5.0,0.000738767
balanza,3.0,68.23,,3.4165018999992753,2026-05-28T10:20:23.554,2026-05-28T10:35:53.554,-930,,
balanza,4.0,,Error desde Arduino: HX711 not found.,3.439728099999229,2026-05-28T10:20:23.574,2026-05-28T10:35:53.574,-930,,
multimetro,,,,3.6711170999997194,2026-05-28T10:20:23.808,2026-05-28T10:35:53.808,-930,6.0,0.000506883
multimetro,,,,4.19650989999991,2026-05-28T10:20:24.333,2026-05-28T10:35:54.333,-930,7.0,0.00027748
balanza,5.0,13.5,,4.432319399999869,2026-05-28T10:20:24.569,2026-05-28T10:35:54.569,-930,,
balanza,6.0,,Error desde Arduino: HX711 not found.,4.455564999999297,2026-05-28T10:20:24.586,2026-05-28T10:35:54.586,-930,,
multimetro,,,,4.720966199999566,2026-05-28T10:20:24.858,2026-05-28T10:35:54.858,-930,8.0,7.3372e-05
multimetro,,,,5.245700699999361,2026-05-28T10:20:25.378,2026-05-28T10:35:55.378,-930,9.0,-8.135e-06
balanza,7.0,16.07,,5.448037599999225,2026-05-28T10:20:25.584,2026-05-28T10:35:55.584,-930,,
balanza,8.0,,Error desde Arduino: HX711 not found.,5.471263200000067,2026-05-28T10:20:25.604,2026-05-28T10:35:55.604,-930,,
multimetro,,,,5.770255099999304,2026-05-28T10:20:25.902,2026-05-28T10:35:55.902,-930,10.0,-0.000192309
multimetro,,,,6.2949485999997705,2026-05-28T10:20:26.431,2026-05-28T10:35:56.431,-930,11.0,-0.000423429
balanza,9.0,15.06,,6.463642499999878,2026-05-28T10:20:26.601,2026-05-28T10:35:56.601,-930,,
balanza,10.0,,Error desde Arduino: HX711 not found.,6.4868749999996,2026-05-28T10:20:26.622,2026-05-28T10:35:56.622,-930,,
multimetro,,,,6.819306999999753,2026-05-28T10:20:26.949,2026-05-28T10:35:56.949,-930,12.0,-0.000665647
multimetro,,,,7.343779299999369,2026-05-28T10:20:27.472,2026-05-28T10:35:57.472,-930,13.0,-0.000819824
balanza,11.0,11.64,,7.479324099999758,2026-05-28T10:20:27.612,2026-05-28T10:35:57.612,-930,,
balanza,12.0,,Error desde Arduino: HX711 not found.,7.502494599999409,2026-05-28T10:20:27.634,2026-05-28T10:35:57.634,-930,,
multimetro,,,,7.868238699999893,2026-05-28T10:20:28.003,2026-05-28T10:35:58.003,-930,14.0,-0.000875879
multimetro,,,,8.392684999999801,2026-05-28T10:20:28.527,2026-05-28T10:35:58.527,-930,15.0,-0.001020992
balanza,13.0,11.96,,8.495040399999198,2026-05-28T10:20:28.632,2026-05-28T10:35:58.632,-930,,
balanza,14.0,,Error desde Arduino: HX711 not found.,8.518152399999963,2026-05-28T10:20:28.652,2026-05-28T10:35:58.652,-930,,
multimetro,,,,8.917026499999338,2026-05-28T10:20:29.054,2026-05-28T10:35:59.054,-930,16.0,-0.001111912
multimetro,,,,9.441347199999655,2026-05-28T10:20:29.577,2026-05-28T10:35:59.577,-930,17.0,-0.001160868
balanza,15.0,10.6,,9.510656799999197,2026-05-28T10:20:29.648,2026-05-28T10:35:59.648,-930,,
balanza,16.0,,Error desde Arduino: HX711 not found.,9.533986200000072,2026-05-28T10:20:29.666,2026-05-28T10:35:59.666,-930,,
multimetro,,,,9.965798399999585,2026-05-28T10:20:30.100,2026-05-28T10:36:00.100,-930,18.0,-0.001275722
multimetro,,,,10.490021899999192,2026-05-28T10:20:30.625,2026-05-28T10:36:00.625,-930,19.0,-0.001338163
balanza,17.0,9.91,,10.525302799999736,2026-05-28T10:20:30.654,2026-05-28T10:36:00.654,-930,,
balanza,18.0,,Error desde Arduino: HX711 not found.,10.548479999999472,2026-05-28T10:20:30.684,2026-05-28T10:36:00.684,-930,,
multimetro,,,,11.014292199999545,2026-05-28T10:20:31.151,2026-05-28T10:36:01.151,-930,20.0,-0.001368965
multimetro,,,,11.538796199999524,2026-05-28T10:20:31.675,2026-05-28T10:36:01.675,-930,21.0,-0.001423764
balanza,19.0,13.18,,11.540948099999696,2026-05-28T10:20:31.675,2026-05-28T10:36:01.675,-930,,
balanza,20.0,,Error desde Arduino: HX711 not found.,11.564036699999633,2026-05-28T10:20:31.693,2026-05-28T10:36:01.693,-930,,
multimetro,,,,12.063051499999347,2026-05-28T10:20:32.199,2026-05-28T10:36:02.199,-930,22.0,-0.001486227
balanza,21.0,10.18,,12.556633399999555,2026-05-28T10:20:32.686,2026-05-28T10:36:02.686,-930,,
balanza,22.0,10.92,,12.56879249999929,2026-05-28T10:20:32.702,2026-05-28T10:36:02.702,-930,,
multimetro,,,,12.587410799999816,2026-05-28T10:20:32.721,2026-05-28T10:36:02.721,-930,23.0,-0.001363081
balanza,23.0,,Error desde Arduino: HX711 not found.,12.592048199999226,2026-05-28T10:20:32.721,2026-05-28T10:36:02.721,-930,,
multimetro,,,,13.11172759999954,2026-05-28T10:20:33.244,2026-05-28T10:36:03.244,-930,24.0,-0.001454859
balanza,24.0,10.36,,13.584442800000033,2026-05-28T10:20:33.715,2026-05-28T10:36:03.715,-930,,
balanza,25.0,,Error desde Arduino: HX711 not found.,13.607722400000057,2026-05-28T10:20:33.737,2026-05-28T10:36:03.737,-930,,
multimetro,,,,13.635917999999947,2026-05-28T10:20:33.772,2026-05-28T10:36:03.772,-930,25.0,-0.001623213
multimetro,,,,14.16012529999989,2026-05-28T10:20:34.288,2026-05-28T10:36:04.288,-930,26.0,-0.001554343
balanza,26.0,8.49,,14.599033399999826,2026-05-28T10:20:34.733,2026-05-28T10:36:04.733,-930,,
balanza,27.0,,Error desde Arduino: HX711 not found.,14.622172699999282,2026-05-28T10:20:34.753,2026-05-28T10:36:04.753,-930,,
multimetro,,,,14.684436699999424,2026-05-28T10:20:34.822,2026-05-28T10:36:04.822,-930,27.0,-0.001579062
multimetro,,,,15.208857999999964,2026-05-28T10:20:35.344,2026-05-28T10:36:05.344,-930,28.0,-0.001697538
balanza,28.0,6.33,,15.61351680000007,2026-05-28T10:20:35.751,2026-05-28T10:36:05.751,-930,,
balanza,29.0,,Error desde Arduino: HX711 not found.,15.636691799999426,2026-05-28T10:20:35.765,2026-05-28T10:36:05.765,-930,,
multimetro,,,,15.733085399999254,2026-05-28T10:20:35.865,2026-05-28T10:36:05.865,-930,29.0,-0.001797042
