sensor,indice_balanza,masa_g,error,tiempo_s,fecha_hora_corregida,fecha_hora_pc_sin_corregir,correccion_reloj_s
balanza,0,,Error desde Arduino: HX711 not found.,1.427463899999566,2026-05-28T09:52:13.443,2026-05-28T10:07:43.443,-930
balanza,1,-0.04,,2.419719200000145,2026-05-28T09:52:14.436,2026-05-28T10:07:44.436,-930
balanza,2,,Error desde Arduino: HX711 not found.,2.443156000000272,2026-05-28T09:52:14.452,2026-05-28T10:07:44.452,-930
balanza,3,0.02,,3.4343757999995432,2026-05-28T09:52:15.446,2026-05-28T10:07:45.446,-930
balanza,4,,Error desde Arduino: HX711 not found.,3.4577190999998493,2026-05-28T09:52:15.469,2026-05-28T10:07:45.469,-930
balanza,5,-0.02,,4.449858400000267,2026-05-28T09:52:16.462,2026-05-28T10:07:46.462,-930
balanza,6,-0.01,,4.4619432999998025,2026-05-28T09:52:16.469,2026-05-28T10:07:46.469,-930
balanza,7,,Error desde Arduino: HX711 not found.,4.485084400000233,2026-05-28T09:52:16.498,2026-05-28T10:07:46.498,-930
balanza,8,-0.07,,5.4774601999997685,2026-05-28T09:52:17.494,2026-05-28T10:07:47.494,-930
balanza,9,,Error desde Arduino: HX711 not found.,5.500520900000083,2026-05-28T09:52:17.516,2026-05-28T10:07:47.516,-930
balanza,10,-0.06,,6.492961699999796,2026-05-28T09:52:18.503,2026-05-28T10:07:48.503,-930
balanza,11,,Error desde Arduino: HX711 not found.,6.516054900000199,2026-05-28T09:52:18.532,2026-05-28T10:07:48.532,-930
balanza,12,-0.08,,7.50831990000006,2026-05-28T09:52:19.519,2026-05-28T10:07:49.519,-930
balanza,13,,Error desde Arduino: HX711 not found.,7.531574499999806,2026-05-28T09:52:19.546,2026-05-28T10:07:49.546,-930
balanza,14,-0.04,,8.523790600000211,2026-05-28T09:52:20.536,2026-05-28T10:07:50.536,-930
balanza,15,-0.07,,8.535840300000018,2026-05-28T09:52:20.552,2026-05-28T10:07:50.552,-930
balanza,16,,Error desde Arduino: HX711 not found.,8.559071099999528,2026-05-28T09:52:20.569,2026-05-28T10:07:50.569,-930
balanza,17,-0.12,,9.551439699999719,2026-05-28T09:52:21.566,2026-05-28T10:07:51.566,-930
balanza,18,,Error desde Arduino: HX711 not found.,9.574690499999633,2026-05-28T09:52:21.586,2026-05-28T10:07:51.586,-930
balanza,19,-0.14,,10.566982399999688,2026-05-28T09:52:22.579,2026-05-28T10:07:52.579,-930
balanza,20,,Error desde Arduino: HX711 not found.,10.590144099999634,2026-05-28T09:52:22.602,2026-05-28T10:07:52.602,-930
balanza,21,-0.11,,11.58243130000028,2026-05-28T09:52:23.596,2026-05-28T10:07:53.596,-930
balanza,22,,Error desde Arduino: HX711 not found.,11.60550770000009,2026-05-28T09:52:23.619,2026-05-28T10:07:53.619,-930
balanza,23,-0.07,,12.597706800000196,2026-05-28T09:52:24.613,2026-05-28T10:07:54.613,-930
balanza,24,,Error desde Arduino: HX711 not found.,12.62084909999976,2026-05-28T09:52:24.636,2026-05-28T10:07:54.636,-930
balanza,25,-0.15,,13.613117500000044,2026-05-28T09:52:25.629,2026-05-28T10:07:55.629,-930
balanza,26,,Error desde Arduino: HX711 not found.,13.636198100000001,2026-05-28T09:52:25.652,2026-05-28T10:07:55.652,-930
balanza,27,-0.16,,14.62861890000022,2026-05-28T09:52:26.636,2026-05-28T10:07:56.636,-930
balanza,28,,Error desde Arduino: HX711 not found.,14.651692999999796,2026-05-28T09:52:26.668,2026-05-28T10:07:56.668,-930
balanza,29,-0.11,,15.64406179999969,2026-05-28T09:52:27.660,2026-05-28T10:07:57.660,-930
balanza,30,-0.18,,15.6562243999997,2026-05-28T09:52:27.669,2026-05-28T10:07:57.669,-930
balanza,31,,Error desde Arduino: HX711 not found.,15.679652099999657,2026-05-28T09:52:27.696,2026-05-28T10:07:57.696,-930
balanza,32,-0.14,,16.671698899999683,2026-05-28T09:52:28.687,2026-05-28T10:07:58.687,-930
balanza,33,,Error desde Arduino: HX711 not found.,16.695100099999763,2026-05-28T09:52:28.702,2026-05-28T10:07:58.702,-930
balanza,34,-0.13,,17.687313200000062,2026-05-28T09:52:29.702,2026-05-28T10:07:59.702,-930
balanza,35,,Error desde Arduino: HX711 not found.,17.710597600000256,2026-05-28T09:52:29.721,2026-05-28T10:07:59.721,-930
balanza,36,-0.22,,18.70267309999963,2026-05-28T09:52:30.719,2026-05-28T10:08:00.719,-930
