sensor,indice_balanza,masa_g,error,tiempo_s,fecha_hora_corregida,fecha_hora_pc_sin_corregir,correccion_reloj_s
balanza,53,-0.39,,27.878787000001466,2026-05-28T12:41:49.810,2026-05-28T12:57:19.810,-930
balanza,54,,Error desde Arduino: HX711 not found.,27.90181450000091,2026-05-28T12:41:49.826,2026-05-28T12:57:19.826,-930
balanza,55,-0.31,,28.894186499999705,2026-05-28T12:41:50.826,2026-05-28T12:57:20.826,-930
balanza,56,,Error desde Arduino: HX711 not found.,28.917387900000904,2026-05-28T12:41:50.843,2026-05-28T12:57:20.843,-930
balanza,57,-0.32,,29.909581400001116,2026-05-28T12:41:51.836,2026-05-28T12:57:21.836,-930
balanza,58,,Error desde Arduino: HX711 not found.,29.93138540000109,2026-05-28T12:41:51.864,2026-05-28T12:57:21.864,-930
balanza,59,-0.28,,30.92504370000097,2026-05-28T12:41:52.853,2026-05-28T12:57:22.853,-930
balanza,60,,Error desde Arduino: HX711 not found.,30.94808270000067,2026-05-28T12:41:52.876,2026-05-28T12:57:22.876,-930
balanza,61,-0.3,,31.940395900001022,2026-05-28T12:41:53.873,2026-05-28T12:57:23.873,-930
balanza,62,,Error desde Arduino: HX711 not found.,31.963467100000344,2026-05-28T12:41:53.893,2026-05-28T12:57:23.893,-930
balanza,63,-0.33,,32.95581149999998,2026-05-28T12:41:54.886,2026-05-28T12:57:24.886,-930
balanza,64,,Error desde Arduino: HX711 not found.,32.978921800000535,2026-05-28T12:41:54.910,2026-05-28T12:57:24.910,-930
balanza,65,-0.39,,33.971224599999914,2026-05-28T12:41:55.903,2026-05-28T12:57:25.903,-930
balanza,66,,Error desde Arduino: HX711 not found.,33.99431480000021,2026-05-28T12:41:55.926,2026-05-28T12:57:25.926,-930
balanza,67,-0.4,,34.98664860000099,2026-05-28T12:41:56.916,2026-05-28T12:57:26.916,-930
balanza,68,,Error desde Arduino: HX711 not found.,35.009787800001504,2026-05-28T12:41:56.936,2026-05-28T12:57:26.936,-930
balanza,69,-0.42,,36.00213059999987,2026-05-28T12:41:57.926,2026-05-28T12:57:27.926,-930
