sensor,indice_balanza,masa_g,error,tiempo_s,fecha_hora_corregida,fecha_hora_pc_sin_corregir,correccion_reloj_s,indice_multimetro,voltaje_V
multimetro,,,,0.41536269999960496,2026-05-28T12:35:23.961,2026-05-28T12:50:53.961,-930,0.0,0.001139801
multimetro,,,,0.631329599998935,2026-05-28T12:35:24.177,2026-05-28T12:50:54.177,-930,1.0,0.001139414
multimetro,,,,0.8463727999987896,2026-05-28T12:35:24.394,2026-05-28T12:50:54.394,-930,2.0,0.001138335
multimetro,,,,1.0613741999986814,2026-05-28T12:35:24.611,2026-05-28T12:50:54.611,-930,3.0,0.001136388
multimetro,,,,1.276267999999618,2026-05-28T12:35:24.827,2026-05-28T12:50:54.827,-930,4.0,0.001135582
balanza,0.0,,Error desde Arduino: HX711 not found.,1.4289499999995314,2026-05-28T12:35:24.977,2026-05-28T12:50:54.977,-930,,
multimetro,,,,1.491354899999351,2026-05-28T12:35:25.037,2026-05-28T12:50:55.037,-930,5.0,0.00113399
multimetro,,,,1.7065428999994765,2026-05-28T12:35:25.256,2026-05-28T12:50:55.256,-930,6.0,0.00113153
multimetro,,,,1.9217619999999442,2026-05-28T12:35:25.470,2026-05-28T12:50:55.470,-930,7.0,0.001128578
multimetro,,,,2.136710299999322,2026-05-28T12:35:25.687,2026-05-28T12:50:55.687,-930,8.0,0.001124358
multimetro,,,,2.35177449999901,2026-05-28T12:35:25.894,2026-05-28T12:50:55.894,-930,9.0,0.001119375
balanza,1.0,17.85,,2.4212657999996736,2026-05-28T12:35:25.971,2026-05-28T12:50:55.971,-930,,
balanza,2.0,,Error desde Arduino: HX711 not found.,2.4444728999988,2026-05-28T12:35:25.994,2026-05-28T12:50:55.994,-930,,
multimetro,,,,2.5667495999987295,2026-05-28T12:35:26.118,2026-05-28T12:50:56.118,-930,10.0,0.001112297
multimetro,,,,2.7817519000000175,2026-05-28T12:35:26.328,2026-05-28T12:50:56.328,-930,11.0,0.001103597
multimetro,,,,2.996616099999301,2026-05-28T12:35:26.546,2026-05-28T12:50:56.546,-930,12.0,0.001091996
multimetro,,,,3.212070699999458,2026-05-28T12:35:26.761,2026-05-28T12:50:56.761,-930,13.0,0.001077967
multimetro,,,,3.427084699998886,2026-05-28T12:35:26.977,2026-05-28T12:50:56.977,-930,14.0,0.001061686
balanza,3.0,25.07,,3.4367935999998735,2026-05-28T12:35:26.987,2026-05-28T12:50:56.987,-930,,
balanza,4.0,,Error desde Arduino: HX711 not found.,3.459734499998376,2026-05-28T12:35:27.010,2026-05-28T12:50:57.010,-930,,
multimetro,,,,3.642393899999661,2026-05-28T12:35:27.193,2026-05-28T12:50:57.193,-930,15.0,0.001043228
multimetro,,,,3.8583073999998305,2026-05-28T12:35:27.409,2026-05-28T12:50:57.409,-930,16.0,0.001023283
multimetro,,,,4.073322899999766,2026-05-28T12:35:27.618,2026-05-28T12:50:57.618,-930,17.0,0.001004448
multimetro,,,,4.2883194999994885,2026-05-28T12:35:27.839,2026-05-28T12:50:57.839,-930,18.0,0.000984367
balanza,5.0,25.21,,4.4522402999991755,2026-05-28T12:35:28.003,2026-05-28T12:50:58.003,-930,,
balanza,6.0,24.01,,4.464328999998543,2026-05-28T12:35:28.015,2026-05-28T12:50:58.015,-930,,
balanza,7.0,,Error desde Arduino: HX711 not found.,4.487620799998695,2026-05-28T12:35:28.037,2026-05-28T12:50:58.037,-930,,
multimetro,,,,4.503317599999718,2026-05-28T12:35:28.044,2026-05-28T12:50:58.044,-930,19.0,0.00096304
multimetro,,,,4.718322499998976,2026-05-28T12:35:28.268,2026-05-28T12:50:58.268,-930,20.0,0.000940823
multimetro,,,,4.933183799999824,2026-05-28T12:35:28.484,2026-05-28T12:50:58.484,-930,21.0,0.000917895
multimetro,,,,5.148190399999294,2026-05-28T12:35:28.694,2026-05-28T12:50:58.694,-930,22.0,0.000894861
multimetro,,,,5.362994899998739,2026-05-28T12:35:28.912,2026-05-28T12:50:58.912,-930,23.0,0.000873105
balanza,8.0,22.21,,5.4799781999990955,2026-05-28T12:35:29.022,2026-05-28T12:50:59.022,-930,,
balanza,9.0,,Error desde Arduino: HX711 not found.,5.503037599999516,2026-05-28T12:35:29.053,2026-05-28T12:50:59.053,-930,,
multimetro,,,,5.5779161999998905,2026-05-28T12:35:29.122,2026-05-28T12:50:59.122,-930,24.0,0.000847789
multimetro,,,,5.792854199999056,2026-05-28T12:35:29.339,2026-05-28T12:50:59.339,-930,25.0,0.00082284
multimetro,,,,6.007918899998913,2026-05-28T12:35:29.549,2026-05-28T12:50:59.549,-930,26.0,0.000799785
multimetro,,,,6.222777499999211,2026-05-28T12:35:29.773,2026-05-28T12:50:59.773,-930,27.0,0.000775118
multimetro,,,,6.437742799998887,2026-05-28T12:35:29.985,2026-05-28T12:50:59.985,-930,28.0,0.000749635
balanza,10.0,20.68,,6.495496199999252,2026-05-28T12:35:30.044,2026-05-28T12:51:00.044,-930,,
balanza,11.0,,Error desde Arduino: HX711 not found.,6.518633799998497,2026-05-28T12:35:30.064,2026-05-28T12:51:00.064,-930,,
multimetro,,,,6.652477999999974,2026-05-28T12:35:30.202,2026-05-28T12:51:00.202,-930,29.0,0.000723628
multimetro,,,,6.867409399999815,2026-05-28T12:35:30.410,2026-05-28T12:51:00.410,-930,30.0,0.000697579
multimetro,,,,7.0823844999995345,2026-05-28T12:35:30.633,2026-05-28T12:51:00.633,-930,31.0,0.000672295
multimetro,,,,7.297510599999441,2026-05-28T12:35:30.848,2026-05-28T12:51:00.848,-930,32.0,0.000647199
balanza,12.0,19.38,,7.511195600000065,2026-05-28T12:35:31.061,2026-05-28T12:51:01.061,-930,,
multimetro,,,,7.5131253999988985,2026-05-28T12:35:31.064,2026-05-28T12:51:01.064,-930,33.0,0.000622532
balanza,13.0,,Error desde Arduino: HX711 not found.,7.535932299999331,2026-05-28T12:35:31.080,2026-05-28T12:51:01.080,-930,,
multimetro,,,,7.728035000000091,2026-05-28T12:35:31.278,2026-05-28T12:51:01.278,-930,34.0,0.000599415
multimetro,,,,7.9434660999995685,2026-05-28T12:35:31.494,2026-05-28T12:51:01.494,-930,35.0,0.000570455
multimetro,,,,8.158416099999158,2026-05-28T12:35:31.708,2026-05-28T12:51:01.708,-930,36.0,0.000544574
multimetro,,,,8.373384099999384,2026-05-28T12:35:31.920,2026-05-28T12:51:01.920,-930,37.0,0.00051483
balanza,14.0,19.42,,8.52821959999892,2026-05-28T12:35:32.074,2026-05-28T12:51:02.074,-930,,
balanza,15.0,,Error desde Arduino: HX711 not found.,8.551316499999302,2026-05-28T12:35:32.098,2026-05-28T12:51:02.098,-930,,
multimetro,,,,8.588294799999858,2026-05-28T12:35:32.139,2026-05-28T12:51:02.139,-930,38.0,0.000487367
multimetro,,,,8.80330580000009,2026-05-28T12:35:32.352,2026-05-28T12:51:02.352,-930,39.0,0.000465873
multimetro,,,,9.018142399998396,2026-05-28T12:35:32.562,2026-05-28T12:51:02.562,-930,40.0,0.00043974
multimetro,,,,9.233166199999687,2026-05-28T12:35:32.783,2026-05-28T12:51:02.783,-930,41.0,0.000413273
multimetro,,,,9.448188200000004,2026-05-28T12:35:32.994,2026-05-28T12:51:02.994,-930,42.0,0.000386701
balanza,16.0,16.94,,9.543857099999514,2026-05-28T12:35:33.087,2026-05-28T12:51:03.087,-930,,
balanza,17.0,,Error desde Arduino: HX711 not found.,9.567127299998901,2026-05-28T12:35:33.117,2026-05-28T12:51:03.117,-930,,
multimetro,,,,9.663281399998596,2026-05-28T12:35:33.213,2026-05-28T12:51:03.213,-930,43.0,0.000364526
multimetro,,,,9.878368199999386,2026-05-28T12:35:33.426,2026-05-28T12:51:03.426,-930,44.0,0.000337933
multimetro,,,,10.093529199999466,2026-05-28T12:35:33.644,2026-05-28T12:51:03.644,-930,45.0,0.000312229
multimetro,,,,10.308529399999316,2026-05-28T12:35:33.851,2026-05-28T12:51:03.851,-930,46.0,0.000285919
multimetro,,,,10.523699299999862,2026-05-28T12:35:34.072,2026-05-28T12:51:04.072,-930,47.0,0.000262194
balanza,18.0,15.67,,10.559440499999255,2026-05-28T12:35:34.109,2026-05-28T12:51:04.109,-930,,
balanza,19.0,,Error desde Arduino: HX711 not found.,10.582718999999997,2026-05-28T12:35:34.131,2026-05-28T12:51:04.131,-930,,
multimetro,,,,10.738800699999047,2026-05-28T12:35:34.280,2026-05-28T12:51:04.280,-930,48.0,0.000231507
multimetro,,,,10.953642699998454,2026-05-28T12:35:34.502,2026-05-28T12:51:04.502,-930,49.0,0.000210212
multimetro,,,,11.168574999999691,2026-05-28T12:35:34.715,2026-05-28T12:51:04.715,-930,50.0,0.000183116
multimetro,,,,11.383393699999942,2026-05-28T12:35:34.932,2026-05-28T12:51:04.932,-930,51.0,0.000164825
balanza,20.0,15.57,,11.575082699999257,2026-05-28T12:35:35.123,2026-05-28T12:51:05.123,-930,,
multimetro,,,,11.598280299998805,2026-05-28T12:35:35.143,2026-05-28T12:51:05.143,-930,52.0,0.000141583
balanza,21.0,,Error desde Arduino: HX711 not found.,11.598725699999704,2026-05-28T12:35:35.143,2026-05-28T12:51:05.143,-930,,
multimetro,,,,11.813068699999349,2026-05-28T12:35:35.360,2026-05-28T12:51:05.360,-930,53.0,0.000126988
multimetro,,,,12.028243799999473,2026-05-28T12:35:35.579,2026-05-28T12:51:05.579,-930,54.0,9.6123e-05
multimetro,,,,12.243078699999387,2026-05-28T12:35:35.789,2026-05-28T12:51:05.789,-930,55.0,7.3215e-05
multimetro,,,,12.45817739999984,2026-05-28T12:35:36.005,2026-05-28T12:51:06.005,-930,56.0,4.926e-05
balanza,22.0,14.02,,12.590610399998695,2026-05-28T12:35:36.133,2026-05-28T12:51:06.133,-930,,
balanza,23.0,,Error desde Arduino: HX711 not found.,12.613886099999945,2026-05-28T12:35:36.163,2026-05-28T12:51:06.163,-930,,
multimetro,,,,12.672965299998395,2026-05-28T12:35:36.222,2026-05-28T12:51:06.222,-930,57.0,2.8321e-05
multimetro,,,,12.888214599999628,2026-05-28T12:35:36.436,2026-05-28T12:51:06.436,-930,58.0,9.894e-06
multimetro,,,,13.103266399999484,2026-05-28T12:35:36.647,2026-05-28T12:51:06.647,-930,59.0,-1.1485e-05
multimetro,,,,13.318392899998798,2026-05-28T12:35:36.864,2026-05-28T12:51:06.864,-930,60.0,-3.2519e-05
multimetro,,,,13.533599699998376,2026-05-28T12:35:37.075,2026-05-28T12:51:07.075,-930,61.0,-5.1229e-05
balanza,24.0,12.08,,13.606250999999247,2026-05-28T12:35:37.147,2026-05-28T12:51:07.147,-930,,
balanza,25.0,,Error desde Arduino: HX711 not found.,13.629581999999573,2026-05-28T12:35:37.177,2026-05-28T12:51:07.177,-930,,
multimetro,,,,13.748614000000089,2026-05-28T12:35:37.299,2026-05-28T12:51:07.299,-930,62.0,-7.11e-05
multimetro,,,,13.963606499999514,2026-05-28T12:35:37.508,2026-05-28T12:51:07.508,-930,63.0,-9.8845e-05
multimetro,,,,14.178521699999692,2026-05-28T12:35:37.729,2026-05-28T12:51:07.729,-930,64.0,-0.000122109
multimetro,,,,14.393431999998938,2026-05-28T12:35:37.944,2026-05-28T12:51:07.944,-930,65.0,-0.000146388
multimetro,,,,14.608404299999165,2026-05-28T12:35:38.159,2026-05-28T12:51:08.159,-930,66.0,-0.00017251
balanza,26.0,11.39,,14.621819099998902,2026-05-28T12:35:38.168,2026-05-28T12:51:08.168,-930,,
balanza,27.0,,Error desde Arduino: HX711 not found.,14.644815699999526,2026-05-28T12:35:38.195,2026-05-28T12:51:08.195,-930,,
multimetro,,,,14.82342299999982,2026-05-28T12:35:38.365,2026-05-28T12:51:08.365,-930,67.0,-0.000187147
multimetro,,,,15.038482399999339,2026-05-28T12:35:38.582,2026-05-28T12:51:08.582,-930,68.0,-0.000210683
multimetro,,,,15.253509699999995,2026-05-28T12:35:38.804,2026-05-28T12:51:08.804,-930,69.0,-0.000233015
multimetro,,,,15.468421199999284,2026-05-28T12:35:39.018,2026-05-28T12:51:09.018,-930,70.0,-0.000255808
balanza,28.0,11.34,,15.63728379999884,2026-05-28T12:35:39.182,2026-05-28T12:51:09.182,-930,,
balanza,29.0,,Error desde Arduino: HX711 not found.,15.660461399998894,2026-05-28T12:35:39.210,2026-05-28T12:51:09.210,-930,,
multimetro,,,,15.68356119999953,2026-05-28T12:35:39.234,2026-05-28T12:51:09.234,-930,71.0,-0.000277009
multimetro,,,,15.898624800000107,2026-05-28T12:35:39.445,2026-05-28T12:51:09.445,-930,72.0,-0.000290379
multimetro,,,,16.11362519999966,2026-05-28T12:35:39.656,2026-05-28T12:51:09.656,-930,73.0,-0.000313308
multimetro,,,,16.328661799998372,2026-05-28T12:35:39.875,2026-05-28T12:51:09.875,-930,74.0,-0.000333996
multimetro,,,,16.543887999998333,2026-05-28T12:35:40.095,2026-05-28T12:51:10.095,-930,75.0,-0.000354077
balanza,30.0,9.46,,16.65171989999908,2026-05-28T12:35:40.195,2026-05-28T12:51:10.195,-930,,
balanza,31.0,,Error desde Arduino: HX711 not found.,16.674868199999764,2026-05-28T12:35:40.225,2026-05-28T12:51:10.225,-930,,
multimetro,,,,16.75868420000006,2026-05-28T12:35:40.309,2026-05-28T12:51:10.309,-930,76.0,-0.000373425
multimetro,,,,16.973723699999027,2026-05-28T12:35:40.520,2026-05-28T12:51:10.520,-930,77.0,-0.000387507
multimetro,,,,17.18872519999968,2026-05-28T12:35:40.739,2026-05-28T12:51:10.739,-930,78.0,-0.000413336
multimetro,,,,17.403805899999497,2026-05-28T12:35:40.949,2026-05-28T12:51:10.949,-930,79.0,-0.000436987
multimetro,,,,17.61870159999853,2026-05-28T12:35:41.165,2026-05-28T12:51:11.165,-930,80.0,-0.000455068
balanza,32.0,9.27,,17.666193799999746,2026-05-28T12:35:41.212,2026-05-28T12:51:11.212,-930,,
balanza,33.0,,Error desde Arduino: HX711 not found.,17.689254599999913,2026-05-28T12:35:41.237,2026-05-28T12:51:11.237,-930,,
multimetro,,,,17.833753299999444,2026-05-28T12:35:41.382,2026-05-28T12:51:11.382,-930,81.0,-0.000470281
multimetro,,,,18.049219999998968,2026-05-28T12:35:41.592,2026-05-28T12:51:11.592,-930,82.0,-0.000487849
multimetro,,,,18.264269199999035,2026-05-28T12:35:41.813,2026-05-28T12:51:11.813,-930,83.0,-0.000505093
multimetro,,,,18.47932369999944,2026-05-28T12:35:42.029,2026-05-28T12:51:12.029,-930,84.0,-0.000530273
balanza,34.0,7.76,,18.68076359999941,2026-05-28T12:35:42.229,2026-05-28T12:51:12.229,-930,,
multimetro,,,,18.694468399999096,2026-05-28T12:35:42.239,2026-05-28T12:51:12.239,-930,85.0,-0.000544805
balanza,35.0,,Error desde Arduino: HX711 not found.,18.703882699999667,2026-05-28T12:35:42.249,2026-05-28T12:51:12.249,-930,,
multimetro,,,,18.909523999998783,2026-05-28T12:35:42.454,2026-05-28T12:51:12.454,-930,86.0,-0.000572748
multimetro,,,,19.124555499998678,2026-05-28T12:35:42.674,2026-05-28T12:51:12.674,-930,87.0,-0.000591751
