sensor,indice_balanza,masa_g,error,tiempo_s,fecha_hora_corregida,fecha_hora_pc_sin_corregir,correccion_reloj_s
balanza,0,,Error desde Arduino: HX711 not found.,1.4289499999995314,2026-05-28T12:35:24.977,2026-05-28T12:50:54.977,-930
balanza,1,17.85,,2.4212657999996736,2026-05-28T12:35:25.971,2026-05-28T12:50:55.971,-930
balanza,2,,Error desde Arduino: HX711 not found.,2.4444728999988,2026-05-28T12:35:25.994,2026-05-28T12:50:55.994,-930
balanza,3,25.07,,3.4367935999998735,2026-05-28T12:35:26.987,2026-05-28T12:50:56.987,-930
balanza,4,,Error desde Arduino: HX711 not found.,3.459734499998376,2026-05-28T12:35:27.010,2026-05-28T12:50:57.010,-930
balanza,5,25.21,,4.4522402999991755,2026-05-28T12:35:28.003,2026-05-28T12:50:58.003,-930
balanza,6,24.01,,4.464328999998543,2026-05-28T12:35:28.015,2026-05-28T12:50:58.015,-930
balanza,7,,Error desde Arduino: HX711 not found.,4.487620799998695,2026-05-28T12:35:28.037,2026-05-28T12:50:58.037,-930
balanza,8,22.21,,5.4799781999990955,2026-05-28T12:35:29.022,2026-05-28T12:50:59.022,-930
balanza,9,,Error desde Arduino: HX711 not found.,5.503037599999516,2026-05-28T12:35:29.053,2026-05-28T12:50:59.053,-930
balanza,10,20.68,,6.495496199999252,2026-05-28T12:35:30.044,2026-05-28T12:51:00.044,-930
balanza,11,,Error desde Arduino: HX711 not found.,6.518633799998497,2026-05-28T12:35:30.064,2026-05-28T12:51:00.064,-930
balanza,12,19.38,,7.511195600000065,2026-05-28T12:35:31.061,2026-05-28T12:51:01.061,-930
balanza,13,,Error desde Arduino: HX711 not found.,7.535932299999331,2026-05-28T12:35:31.080,2026-05-28T12:51:01.080,-930
balanza,14,19.42,,8.52821959999892,2026-05-28T12:35:32.074,2026-05-28T12:51:02.074,-930
balanza,15,,Error desde Arduino: HX711 not found.,8.551316499999302,2026-05-28T12:35:32.098,2026-05-28T12:51:02.098,-930
balanza,16,16.94,,9.543857099999514,2026-05-28T12:35:33.087,2026-05-28T12:51:03.087,-930
balanza,17,,Error desde Arduino: HX711 not found.,9.567127299998901,2026-05-28T12:35:33.117,2026-05-28T12:51:03.117,-930
balanza,18,15.67,,10.559440499999255,2026-05-28T12:35:34.109,2026-05-28T12:51:04.109,-930
balanza,19,,Error desde Arduino: HX711 not found.,10.582718999999997,2026-05-28T12:35:34.131,2026-05-28T12:51:04.131,-930
balanza,20,15.57,,11.575082699999257,2026-05-28T12:35:35.123,2026-05-28T12:51:05.123,-930
balanza,21,,Error desde Arduino: HX711 not found.,11.598725699999704,2026-05-28T12:35:35.143,2026-05-28T12:51:05.143,-930
balanza,22,14.02,,12.590610399998695,2026-05-28T12:35:36.133,2026-05-28T12:51:06.133,-930
balanza,23,,Error desde Arduino: HX711 not found.,12.613886099999945,2026-05-28T12:35:36.163,2026-05-28T12:51:06.163,-930
balanza,24,12.08,,13.606250999999247,2026-05-28T12:35:37.147,2026-05-28T12:51:07.147,-930
balanza,25,,Error desde Arduino: HX711 not found.,13.629581999999573,2026-05-28T12:35:37.177,2026-05-28T12:51:07.177,-930
balanza,26,11.39,,14.621819099998902,2026-05-28T12:35:38.168,2026-05-28T12:51:08.168,-930
balanza,27,,Error desde Arduino: HX711 not found.,14.644815699999526,2026-05-28T12:35:38.195,2026-05-28T12:51:08.195,-930
balanza,28,11.34,,15.63728379999884,2026-05-28T12:35:39.182,2026-05-28T12:51:09.182,-930
balanza,29,,Error desde Arduino: HX711 not found.,15.660461399998894,2026-05-28T12:35:39.210,2026-05-28T12:51:09.210,-930
balanza,30,9.46,,16.65171989999908,2026-05-28T12:35:40.195,2026-05-28T12:51:10.195,-930
balanza,31,,Error desde Arduino: HX711 not found.,16.674868199999764,2026-05-28T12:35:40.225,2026-05-28T12:51:10.225,-930
balanza,32,9.27,,17.666193799999746,2026-05-28T12:35:41.212,2026-05-28T12:51:11.212,-930
balanza,33,,Error desde Arduino: HX711 not found.,17.689254599999913,2026-05-28T12:35:41.237,2026-05-28T12:51:11.237,-930
balanza,34,7.76,,18.68076359999941,2026-05-28T12:35:42.229,2026-05-28T12:51:12.229,-930
balanza,35,,Error desde Arduino: HX711 not found.,18.703882699999667,2026-05-28T12:35:42.249,2026-05-28T12:51:12.249,-930
balanza,36,6.73,,19.695141299998795,2026-05-28T12:35:43.245,2026-05-28T12:51:13.245,-930
balanza,37,,Error desde Arduino: HX711 not found.,19.718281999999817,2026-05-28T12:35:43.269,2026-05-28T12:51:13.269,-930
balanza,38,3.98,,20.70950619999894,2026-05-28T12:35:44.257,2026-05-28T12:51:14.257,-930
balanza,39,,Error desde Arduino: HX711 not found.,20.73273319999862,2026-05-28T12:35:44.282,2026-05-28T12:51:14.282,-930
balanza,40,4.95,,21.72390219999943,2026-05-28T12:35:45.272,2026-05-28T12:51:15.272,-930
balanza,41,,Error desde Arduino: HX711 not found.,21.747213799999372,2026-05-28T12:35:45.294,2026-05-28T12:51:15.294,-930
balanza,42,4.2,,22.738255999998728,2026-05-28T12:35:46.289,2026-05-28T12:51:16.289,-930
balanza,43,,Error desde Arduino: HX711 not found.,22.761499999998705,2026-05-28T12:35:46.309,2026-05-28T12:51:16.309,-930
balanza,44,1.97,,23.752634399999806,2026-05-28T12:35:47.299,2026-05-28T12:51:17.299,-930
balanza,45,,Error desde Arduino: HX711 not found.,23.775714899999002,2026-05-28T12:35:47.325,2026-05-28T12:51:17.325,-930
balanza,46,0.88,,24.767104999998992,2026-05-28T12:35:48.310,2026-05-28T12:51:18.310,-930
balanza,47,,Error desde Arduino: HX711 not found.,24.790177199998652,2026-05-28T12:35:48.341,2026-05-28T12:51:18.341,-930
balanza,48,0.33,,25.781646599998567,2026-05-28T12:35:49.327,2026-05-28T12:51:19.327,-930
balanza,49,,Error desde Arduino: HX711 not found.,25.80470729999979,2026-05-28T12:35:49.354,2026-05-28T12:51:19.354,-930
balanza,50,-1.75,,26.797032099999342,2026-05-28T12:35:50.345,2026-05-28T12:51:20.345,-930
balanza,51,,Error desde Arduino: HX711 not found.,26.820309899998392,2026-05-28T12:35:50.365,2026-05-28T12:51:20.365,-930
balanza,52,-2.08,,27.81234029999905,2026-05-28T12:35:51.362,2026-05-28T12:51:21.362,-930
balanza,53,,Error desde Arduino: HX711 not found.,27.835618899998735,2026-05-28T12:35:51.385,2026-05-28T12:51:21.385,-930
balanza,54,-1.29,,28.827766399999746,2026-05-28T12:35:52.378,2026-05-28T12:51:22.378,-930
balanza,55,,Error desde Arduino: HX711 not found.,28.85090399999899,2026-05-28T12:35:52.394,2026-05-28T12:51:22.394,-930
balanza,56,-3.45,,29.843166499998915,2026-05-28T12:35:53.385,2026-05-28T12:51:23.385,-930
balanza,57,,Error desde Arduino: HX711 not found.,29.866417199998978,2026-05-28T12:35:53.416,2026-05-28T12:51:23.416,-930
balanza,58,-5.15,,30.8585267999988,2026-05-28T12:35:54.402,2026-05-28T12:51:24.402,-930
balanza,59,,Error desde Arduino: HX711 not found.,30.88179080000009,2026-05-28T12:35:54.423,2026-05-28T12:51:24.423,-930
balanza,60,-5.79,,31.874007899999924,2026-05-28T12:35:55.421,2026-05-28T12:51:25.421,-930
balanza,61,,Error desde Arduino: HX711 not found.,31.897266599999057,2026-05-28T12:35:55.442,2026-05-28T12:51:25.442,-930
balanza,62,-4.91,,32.889341399999466,2026-05-28T12:35:56.438,2026-05-28T12:51:26.438,-930
balanza,63,,Error desde Arduino: HX711 not found.,32.91270369999984,2026-05-28T12:35:56.461,2026-05-28T12:51:26.461,-930
