ind_hp,error_hp,voltaje_V,t_hp,fecha_hora_corregida_hp,fecha_hora_pc_hp,sensor_hp,tiempo_s,ind_bal,error_bal,t_bal,fecha_hora_corregida_bal,fecha_hora_pc_bal,masa_g,sensor_bal,delta_t_s
0,,4.617e-06,0.41513910000003307,2026-05-28T08:51:12.288,2026-05-28T09:06:42.288,multimetro,0.41513910000003307,,,,,,,,
1,,2.162e-05,0.6311611000000994,2026-05-28T08:51:12.505,2026-05-28T09:06:42.505,multimetro,0.6311611000000994,,,,,,,,
2,,5.141e-06,0.8460988000001635,2026-05-28T08:51:12.720,2026-05-28T09:06:42.720,multimetro,0.8460988000001635,,,,,,,,
3,,7.297e-06,1.0612403999998605,2026-05-28T08:51:12.932,2026-05-28T09:06:42.932,multimetro,1.0612403999998605,0.0,Error Arduino: HX711 not found.,1.9739780999998402,2026-05-28T08:51:13.848,2026-05-28T09:06:43.848,,balanza,0.9127376999999797
4,,1.7621e-05,1.2762801999997464,2026-05-28T08:51:13.148,2026-05-28T09:06:43.148,multimetro,1.2762801999997464,0.0,Error Arduino: HX711 not found.,1.9739780999998402,2026-05-28T08:51:13.848,2026-05-28T09:06:43.848,,balanza,0.6976979000000938
5,,1.6458e-05,1.4913112999997793,2026-05-28T08:51:13.362,2026-05-28T09:06:43.362,multimetro,1.4913112999997793,0.0,Error Arduino: HX711 not found.,1.9739780999998402,2026-05-28T08:51:13.848,2026-05-28T09:06:43.848,,balanza,0.4826668000000609
6,,1.917e-05,1.7151153999998314,2026-05-28T08:51:13.589,2026-05-28T09:06:43.589,multimetro,1.7151153999998314,0.0,Error Arduino: HX711 not found.,1.9739780999998402,2026-05-28T08:51:13.848,2026-05-28T09:06:43.848,,balanza,0.25886270000000877
7,,4.994e-06,1.9648873000001004,2026-05-28T08:51:13.839,2026-05-28T09:06:43.839,multimetro,1.9648873000001004,0.0,Error Arduino: HX711 not found.,1.9739780999998402,2026-05-28T08:51:13.848,2026-05-28T09:06:43.848,,balanza,0.00909079999973983
8,,1.8511e-05,2.2146867999999813,2026-05-28T08:51:14.089,2026-05-28T09:06:44.089,multimetro,2.2146867999999813,0.0,Error Arduino: HX711 not found.,1.9739780999998402,2026-05-28T08:51:13.848,2026-05-28T09:06:43.848,,balanza,-0.2407087000001411
9,,8.522e-06,2.4667380000000776,2026-05-28T08:51:14.336,2026-05-28T09:06:44.336,multimetro,2.4667380000000776,0.0,Error Arduino: HX711 not found.,1.9739780999998402,2026-05-28T08:51:13.848,2026-05-28T09:06:43.848,,balanza,-0.4927599000002374
10,,1.6019e-05,2.7147737999998753,2026-05-28T08:51:14.586,2026-05-28T09:06:44.586,multimetro,2.7147737999998753,1.0,,2.966458099999727,2026-05-28T08:51:14.836,2026-05-28T09:06:44.836,-0.01,balanza,0.25168429999985165
11,,5.769e-06,2.964744399999745,2026-05-28T08:51:14.836,2026-05-28T09:06:44.836,multimetro,2.964744399999745,1.0,,2.966458099999727,2026-05-28T08:51:14.836,2026-05-28T09:06:44.836,-0.01,balanza,0.0017136999999820546
12,,1.5663e-05,3.2147438000001785,2026-05-28T08:51:15.085,2026-05-28T09:06:45.085,multimetro,3.2147438000001785,2.0,Error Arduino: HX711 not found.,2.989473999999973,2026-05-28T08:51:14.864,2026-05-28T09:06:44.864,,balanza,-0.22526980000020558
13,,7.172e-06,3.4646277000001646,2026-05-28T08:51:15.336,2026-05-28T09:06:45.336,multimetro,3.4646277000001646,2.0,Error Arduino: HX711 not found.,2.989473999999973,2026-05-28T08:51:14.864,2026-05-28T09:06:44.864,,balanza,-0.47515370000019175
14,,1.404e-05,3.714706599999772,2026-05-28T08:51:15.585,2026-05-28T09:06:45.585,multimetro,3.714706599999772,3.0,,3.981058999999732,2026-05-28T08:51:15.855,2026-05-28T09:06:45.855,0.0,balanza,0.26635239999995974
15,,1.2312e-05,3.9648082999997314,2026-05-28T08:51:15.837,2026-05-28T09:06:45.837,multimetro,3.9648082999997314,3.0,,3.981058999999732,2026-05-28T08:51:15.855,2026-05-28T09:06:45.855,0.0,balanza,0.016250700000000506
16,,2.0154e-05,4.214625399999932,2026-05-28T08:51:16.085,2026-05-28T09:06:46.085,multimetro,4.214625399999932,4.0,Error Arduino: HX711 not found.,4.004170000000158,2026-05-28T08:51:15.878,2026-05-28T09:06:45.878,,balanza,-0.21045539999977336
