indice,error,tiempo_s,fecha_hora_corregida,fecha_hora_pc,masa_g
62,Error Arduino: HX711 not found.,32.45656890000009,2026-05-28T08:51:44.330,2026-05-28T09:07:14.330,
63,,33.449160499999834,2026-05-28T08:51:45.323,2026-05-28T09:07:15.323,-0.05
64,Error Arduino: HX711 not found.,33.47248179999997,2026-05-28T08:51:45.345,2026-05-28T09:07:15.345,
65,,34.46509759999981,2026-05-28T08:51:46.339,2026-05-28T09:07:16.339,-0.09
66,Error Arduino: HX711 not found.,34.488161599999785,2026-05-28T08:51:46.362,2026-05-28T09:07:16.362,
67,,35.48067409999976,2026-05-28T08:51:47.355,2026-05-28T09:07:17.355,-0.01
68,Error Arduino: HX711 not found.,35.50382219999983,2026-05-28T08:51:47.378,2026-05-28T09:07:17.378,
69,,36.496212099999866,2026-05-28T08:51:48.362,2026-05-28T09:07:18.362,-0.05
70,Error Arduino: HX711 not found.,36.519375599999876,2026-05-28T08:51:48.391,2026-05-28T09:07:18.391,
71,,37.511777000000166,2026-05-28T08:51:49.379,2026-05-28T09:07:19.379,-0.08
72,Error Arduino: HX711 not found.,37.53508000000011,2026-05-28T08:51:49.409,2026-05-28T09:07:19.409,
73,,38.52746879999995,2026-05-28T08:51:50.398,2026-05-28T09:07:20.398,-0.05
74,Error Arduino: HX711 not found.,38.55073309999989,2026-05-28T08:51:50.422,2026-05-28T09:07:20.422,
75,,39.54304309999998,2026-05-28T08:51:51.413,2026-05-28T09:07:21.413,-0.03
76,Error Arduino: HX711 not found.,39.56619159999991,2026-05-28T08:51:51.439,2026-05-28T09:07:21.439,
77,,40.55870019999975,2026-05-28T08:51:52.432,2026-05-28T09:07:22.432,-0.05
78,Error Arduino: HX711 not found.,40.58194409999987,2026-05-28T08:51:52.455,2026-05-28T09:07:22.455,
79,,41.5743766999999,2026-05-28T08:51:53.445,2026-05-28T09:07:23.445,-0.0
80,Error Arduino: HX711 not found.,41.597669100000076,2026-05-28T08:51:53.472,2026-05-28T09:07:23.472,
81,,42.589909700000135,2026-05-28T08:51:54.462,2026-05-28T09:07:24.462,-0.03
82,Error Arduino: HX711 not found.,42.613088999999945,2026-05-28T08:51:54.479,2026-05-28T09:07:24.479,
83,,43.605553999999756,2026-05-28T08:51:55.479,2026-05-28T09:07:25.479,-0.08
84,Error Arduino: HX711 not found.,43.62860779999983,2026-05-28T08:51:55.503,2026-05-28T09:07:25.503,
85,,44.621076099999755,2026-05-28T08:51:56.495,2026-05-28T09:07:26.495,-0.02
86,Error Arduino: HX711 not found.,44.644150399999944,2026-05-28T08:51:56.512,2026-05-28T09:07:26.512,
87,,45.636774499999774,2026-05-28T08:51:57.511,2026-05-28T09:07:27.511,-0.08
88,,45.64896420000014,2026-05-28T08:51:57.521,2026-05-28T09:07:27.521,-0.07
89,Error Arduino: HX711 not found.,45.67222270000002,2026-05-28T08:51:57.546,2026-05-28T09:07:27.546,
90,,46.66466720000017,2026-05-28T08:51:58.538,2026-05-28T09:07:28.538,-0.03
91,Error Arduino: HX711 not found.,46.6877986999998,2026-05-28T08:51:58.562,2026-05-28T09:07:28.562,
92,,47.68014230000017,2026-05-28T08:51:59.545,2026-05-28T09:07:29.545,-0.07
93,Error Arduino: HX711 not found.,47.70324290000008,2026-05-28T08:51:59.577,2026-05-28T09:07:29.577,
94,,48.69578450000017,2026-05-28T08:52:00.562,2026-05-28T09:07:30.562,-0.01
95,Error Arduino: HX711 not found.,48.719102199999725,2026-05-28T08:52:00.593,2026-05-28T09:07:30.593,
96,,49.71139589999984,2026-05-28T08:52:01.586,2026-05-28T09:07:31.586,-0.07
97,Error Arduino: HX711 not found.,49.73471930000005,2026-05-28T08:52:01.609,2026-05-28T09:07:31.609,
98,,50.72712509999974,2026-05-28T08:52:02.601,2026-05-28T09:07:32.601,-0.08
