indice,error,voltaje_V,tiempo_s,fecha_hora_corregida,fecha_hora_pc
0,,4.617e-06,0.41513910000003307,2026-05-28T08:51:12.288,2026-05-28T09:06:42.288
1,,2.162e-05,0.6311611000000994,2026-05-28T08:51:12.505,2026-05-28T09:06:42.505
2,,5.141e-06,0.8460988000001635,2026-05-28T08:51:12.720,2026-05-28T09:06:42.720
3,,7.297e-06,1.0612403999998605,2026-05-28T08:51:12.932,2026-05-28T09:06:42.932
4,,1.7621e-05,1.2762801999997464,2026-05-28T08:51:13.148,2026-05-28T09:06:43.148
5,,1.6458e-05,1.4913112999997793,2026-05-28T08:51:13.362,2026-05-28T09:06:43.362
6,,1.917e-05,1.7151153999998314,2026-05-28T08:51:13.589,2026-05-28T09:06:43.589
7,,4.994e-06,1.9648873000001004,2026-05-28T08:51:13.839,2026-05-28T09:06:43.839
8,,1.8511e-05,2.2146867999999813,2026-05-28T08:51:14.089,2026-05-28T09:06:44.089
9,,8.522e-06,2.4667380000000776,2026-05-28T08:51:14.336,2026-05-28T09:06:44.336
10,,1.6019e-05,2.7147737999998753,2026-05-28T08:51:14.586,2026-05-28T09:06:44.586
11,,5.769e-06,2.964744399999745,2026-05-28T08:51:14.836,2026-05-28T09:06:44.836
12,,1.5663e-05,3.2147438000001785,2026-05-28T08:51:15.085,2026-05-28T09:06:45.085
13,,7.172e-06,3.4646277000001646,2026-05-28T08:51:15.336,2026-05-28T09:06:45.336
14,,1.404e-05,3.714706599999772,2026-05-28T08:51:15.585,2026-05-28T09:06:45.585
15,,1.2312e-05,3.9648082999997314,2026-05-28T08:51:15.837,2026-05-28T09:06:45.837
16,,2.0154e-05,4.214625399999932,2026-05-28T08:51:16.085,2026-05-28T09:06:46.085
17,,1.0679e-05,4.464730900000177,2026-05-28T08:51:16.339,2026-05-28T09:06:46.339
18,,1.3967e-05,4.715021699999852,2026-05-28T08:51:16.583,2026-05-28T09:06:46.583
19,,1.6071e-05,4.964678400000139,2026-05-28T08:51:16.839,2026-05-28T09:06:46.839
20,,1.6982e-05,5.215009500000178,2026-05-28T08:51:17.089,2026-05-28T09:06:47.089
21,,-3.13e-06,5.465155999999752,2026-05-28T08:51:17.340,2026-05-28T09:06:47.340
22,,1.2658e-05,5.715128100000129,2026-05-28T08:51:17.590,2026-05-28T09:06:47.590
23,,7.894e-06,5.965020300000106,2026-05-28T08:51:17.839,2026-05-28T09:06:47.839
24,,1.6375e-05,6.214685599999939,2026-05-28T08:51:18.089,2026-05-28T09:06:48.089
25,,1.2114e-05,6.465005900000051,2026-05-28T08:51:18.339,2026-05-28T09:06:48.339
26,,6.24e-06,6.714692799999739,2026-05-28T08:51:18.582,2026-05-28T09:06:48.582
27,,-1.1412e-05,6.965069599999879,2026-05-28T08:51:18.839,2026-05-28T09:06:48.839
28,,4.2214e-05,7.215361900000062,2026-05-28T08:51:19.090,2026-05-28T09:06:49.090
29,,1.47e-05,7.464948400000139,2026-05-28T08:51:19.339,2026-05-28T09:06:49.339
