sensor,indice_multimetro,voltaje_V,error,tiempo_s,fecha_hora_corregida,fecha_hora_pc_sin_corregir,correccion_reloj_s
multimetro,0,2.0981e-05,,0.5213823000003686,2026-05-28T09:48:53.361,2026-05-28T10:04:23.361,-930
multimetro,1,1.6574e-05,,1.0464592000007542,2026-05-28T09:48:53.886,2026-05-28T10:04:23.886,-930
multimetro,2,1.4563e-05,,1.5706896000001507,2026-05-28T09:48:54.407,2026-05-28T10:04:24.407,-930
multimetro,3,1.9872e-05,,2.0948064000003797,2026-05-28T09:48:54.933,2026-05-28T10:04:24.933,-930
multimetro,4,1.9526e-05,,2.618757100000039,2026-05-28T09:48:55.459,2026-05-28T10:04:25.459,-930
multimetro,5,1.6919e-05,,3.1426924000006693,2026-05-28T09:48:55.983,2026-05-28T10:04:25.983,-930
multimetro,6,1.7233e-05,,3.6667057000004206,2026-05-28T09:48:56.507,2026-05-28T10:04:26.507,-930
multimetro,7,1.7788e-05,,4.190706500000488,2026-05-28T09:48:57.030,2026-05-28T10:04:27.030,-930
multimetro,8,1.9945e-05,,4.714898200000789,2026-05-28T09:48:57.555,2026-05-28T10:04:27.555,-930
multimetro,9,1.8709e-05,,5.239052400000219,2026-05-28T09:48:58.075,2026-05-28T10:04:28.075,-930
multimetro,10,2.0249e-05,,5.763430800000606,2026-05-28T09:48:58.604,2026-05-28T10:04:28.604,-930
multimetro,11,2.1599e-05,,6.287523700000747,2026-05-28T09:48:59.123,2026-05-28T10:04:29.123,-930
multimetro,12,2.094e-05,,6.8116164000002755,2026-05-28T09:48:59.650,2026-05-28T10:04:29.650,-930
multimetro,13,1.5527e-05,,7.335840500000813,2026-05-28T09:49:00.167,2026-05-28T10:04:30.167,-930
multimetro,14,1.828e-05,,7.8598369000001185,2026-05-28T09:49:00.694,2026-05-28T10:04:30.694,-930
multimetro,15,2.0311e-05,,8.383784100000412,2026-05-28T09:49:01.217,2026-05-28T10:04:31.217,-930
multimetro,16,2.2876e-05,,8.907780200000161,2026-05-28T09:49:01.743,2026-05-28T10:04:31.743,-930
multimetro,17,2.2091e-05,,9.431755900000098,2026-05-28T09:49:02.270,2026-05-28T10:04:32.270,-930
multimetro,18,1.6092e-05,,9.956002200000512,2026-05-28T09:49:02.795,2026-05-28T10:04:32.795,-930
multimetro,19,1.3506e-05,,10.480110000000423,2026-05-28T09:49:03.320,2026-05-28T10:04:33.320,-930
multimetro,20,2.1494e-05,,11.004265900000064,2026-05-28T09:49:03.840,2026-05-28T10:04:33.840,-930
multimetro,21,2.5902e-05,,11.528241600000001,2026-05-28T09:49:04.366,2026-05-28T10:04:34.366,-930
multimetro,22,2.4604e-05,,12.052471800000603,2026-05-28T09:49:04.890,2026-05-28T10:04:34.890,-930
multimetro,23,1.8511e-05,,12.576655100000607,2026-05-28T09:49:05.415,2026-05-28T10:04:35.415,-930
multimetro,24,1.5045e-05,,13.100964600000225,2026-05-28T09:49:05.936,2026-05-28T10:04:35.936,-930
multimetro,25,2.2049e-05,,13.625040700000682,2026-05-28T09:49:06.465,2026-05-28T10:04:36.465,-930
multimetro,26,2.2855e-05,,14.149310600000717,2026-05-28T09:49:06.986,2026-05-28T10:04:36.986,-930
multimetro,27,2.2855e-05,,14.67348519999996,2026-05-28T09:49:07.513,2026-05-28T10:04:37.513,-930
multimetro,28,1.5024e-05,,15.197837300000174,2026-05-28T09:49:08.036,2026-05-28T10:04:38.036,-930
multimetro,29,1.6951e-05,,15.722097800000483,2026-05-28T09:49:08.562,2026-05-28T10:04:38.562,-930
multimetro,30,1.9987e-05,,16.246418900000208,2026-05-28T09:49:09.086,2026-05-28T10:04:39.086,-930
multimetro,31,2.4342e-05,,16.770685800000138,2026-05-28T09:49:09.603,2026-05-28T10:04:39.603,-930
multimetro,32,2.1746e-05,,17.295017600000392,2026-05-28T09:49:10.131,2026-05-28T10:04:40.131,-930
multimetro,33,1.939e-05,,17.819221600000674,2026-05-28T09:49:10.653,2026-05-28T10:04:40.653,-930
multimetro,34,1.3799e-05,,18.34333830000014,2026-05-28T09:49:11.183,2026-05-28T10:04:41.183,-930
multimetro,35,2.0112e-05,,18.867559000000256,2026-05-28T09:49:11.703,2026-05-28T10:04:41.703,-930
multimetro,36,2.1767e-05,,19.391886600000362,2026-05-28T09:49:12.230,2026-05-28T10:04:42.230,-930
multimetro,37,1.6919e-05,,19.91608180000003,2026-05-28T09:49:12.756,2026-05-28T10:04:42.756,-930
multimetro,38,1.6846e-05,,20.4405383000003,2026-05-28T09:49:13.280,2026-05-28T10:04:43.280,-930
multimetro,39,1.761e-05,,20.96478879999995,2026-05-28T09:49:13.803,2026-05-28T10:04:43.803,-930
multimetro,40,1.9296e-05,,21.48905140000079,2026-05-28T09:49:14.320,2026-05-28T10:04:44.320,-930
multimetro,41,1.917e-05,,22.013556800000515,2026-05-28T09:49:14.853,2026-05-28T10:04:44.853,-930
multimetro,42,1.8406e-05,,22.537532800000008,2026-05-28T09:49:15.370,2026-05-28T10:04:45.370,-930
multimetro,43,2.0133e-05,,23.061728399999993,2026-05-28T09:49:15.896,2026-05-28T10:04:45.896,-930
multimetro,44,1.894e-05,,23.58612979999998,2026-05-28T09:49:16.422,2026-05-28T10:04:46.422,-930
multimetro,45,1.8301e-05,,24.1105778000001,2026-05-28T09:49:16.949,2026-05-28T10:04:46.949,-930
multimetro,46,1.939e-05,,24.634723300000587,2026-05-28T09:49:17.470,2026-05-28T10:04:47.470,-930
multimetro,47,1.9652e-05,,25.158976100000473,2026-05-28T09:49:17.996,2026-05-28T10:04:47.996,-930
multimetro,48,1.9526e-05,,25.683177400000204,2026-05-28T09:49:18.520,2026-05-28T10:04:48.520,-930
multimetro,49,1.7485e-05,,26.20764870000039,2026-05-28T09:49:19.040,2026-05-28T10:04:49.040,-930
multimetro,50,1.5642e-05,,26.731674900000144,2026-05-28T09:49:19.571,2026-05-28T10:04:49.571,-930
multimetro,51,1.9578e-05,,27.256120700000793,2026-05-28T09:49:20.096,2026-05-28T10:04:50.096,-930
multimetro,52,2.2929e-05,,27.78068130000065,2026-05-28T09:49:20.620,2026-05-28T10:04:50.620,-930
multimetro,53,1.9118e-05,,28.304745000000366,2026-05-28T09:49:21.145,2026-05-28T10:04:51.145,-930
multimetro,54,1.5171e-05,,28.82910560000073,2026-05-28T09:49:21.669,2026-05-28T10:04:51.669,-930
multimetro,55,1.537e-05,,29.353299100000186,2026-05-28T09:49:22.186,2026-05-28T10:04:52.186,-930
multimetro,56,2.3033e-05,,29.877724599999965,2026-05-28T09:49:22.713,2026-05-28T10:04:52.713,-930
multimetro,57,2.3609e-05,,30.401823800000784,2026-05-28T09:49:23.242,2026-05-28T10:04:53.242,-930
multimetro,58,1.7181e-05,,30.92607450000014,2026-05-28T09:49:23.762,2026-05-28T10:04:53.762,-930
multimetro,59,1.471e-05,,31.450237500000185,2026-05-28T09:49:24.286,2026-05-28T10:04:54.286,-930
multimetro,60,1.7129e-05,,31.974696000000222,2026-05-28T09:49:24.813,2026-05-28T10:04:54.813,-930
multimetro,61,2.3473e-05,,32.49887730000046,2026-05-28T09:49:25.339,2026-05-28T10:04:55.339,-930
multimetro,62,2.051e-05,,33.02322989999993,2026-05-28T09:49:25.856,2026-05-28T10:04:55.856,-930
multimetro,63,1.3831e-05,,33.54756140000063,2026-05-28T09:49:26.386,2026-05-28T10:04:56.386,-930
multimetro,64,1.7212e-05,,34.07183239999995,2026-05-28T09:49:26.904,2026-05-28T10:04:56.904,-930
multimetro,65,2.3902e-05,,34.59615510000003,2026-05-28T09:49:27.436,2026-05-28T10:04:57.436,-930
multimetro,66,2.0584e-05,,35.12037760000021,2026-05-28T09:49:27.953,2026-05-28T10:04:57.953,-930
multimetro,67,1.7788e-05,,35.64482700000008,2026-05-28T09:49:28.481,2026-05-28T10:04:58.481,-930
multimetro,68,1.7181e-05,,36.168932500000665,2026-05-28T09:49:29.004,2026-05-28T10:04:59.004,-930
multimetro,69,2.1955e-05,,36.6930811000002,2026-05-28T09:49:29.530,2026-05-28T10:04:59.530,-930
multimetro,70,2.2971e-05,,37.217457200000354,2026-05-28T09:49:30.054,2026-05-28T10:05:00.054,-930
multimetro,71,1.8856e-05,,37.741817200000696,2026-05-28T09:49:30.573,2026-05-28T10:05:00.573,-930
multimetro,72,1.7097e-05,,38.26605500000005,2026-05-28T09:49:31.103,2026-05-28T10:05:01.103,-930
multimetro,73,1.7066e-05,,38.79039280000052,2026-05-28T09:49:31.630,2026-05-28T10:05:01.630,-930
multimetro,74,2.0259e-05,,39.31453910000073,2026-05-28T09:49:32.153,2026-05-28T10:05:02.153,-930
multimetro,75,2.0437e-05,,39.83886320000056,2026-05-28T09:49:32.670,2026-05-28T10:05:02.670,-930
multimetro,76,2.0081e-05,,40.36307930000021,2026-05-28T09:49:33.203,2026-05-28T10:05:03.203,-930
multimetro,77,1.7998e-05,,40.88730740000028,2026-05-28T09:49:33.720,2026-05-28T10:05:03.720,-930
multimetro,78,1.8846e-05,,41.41148870000052,2026-05-28T09:49:34.251,2026-05-28T10:05:04.251,-930
multimetro,79,2.4217e-05,,41.93595030000051,2026-05-28T09:49:34.770,2026-05-28T10:05:04.770,-930
multimetro,80,2.1505e-05,,42.46012289999999,2026-05-28T09:49:35.296,2026-05-28T10:05:05.296,-930
multimetro,81,1.6898e-05,,42.98445470000024,2026-05-28T09:49:35.820,2026-05-28T10:05:05.820,-930
multimetro,82,1.7275e-05,,43.50868460000038,2026-05-28T09:49:36.349,2026-05-28T10:05:06.349,-930
multimetro,83,1.9411e-05,,44.03293570000005,2026-05-28T09:49:36.873,2026-05-28T10:05:06.873,-930
multimetro,84,2.095e-05,,44.5573159000005,2026-05-28T09:49:37.396,2026-05-28T10:05:07.396,-930
multimetro,85,2.1348e-05,,45.081308400000125,2026-05-28T09:49:37.920,2026-05-28T10:05:07.920,-930
multimetro,86,1.8395e-05,,45.60550300000068,2026-05-28T09:49:38.446,2026-05-28T10:05:08.446,-930
multimetro,87,1.8657e-05,,46.1297553000004,2026-05-28T09:49:38.970,2026-05-28T10:05:08.970,-930
multimetro,88,1.9222e-05,,46.654014100000495,2026-05-28T09:49:39.486,2026-05-28T10:05:09.486,-930
multimetro,89,1.9149e-05,,47.17830630000026,2026-05-28T09:49:40.013,2026-05-28T10:05:10.013,-930
multimetro,90,1.7013e-05,,47.70260660000076,2026-05-28T09:49:40.543,2026-05-28T10:05:10.543,-930
multimetro,91,2.1453e-05,,48.22695610000028,2026-05-28T09:49:41.066,2026-05-28T10:05:11.066,-930
multimetro,92,1.6239e-05,,48.75120150000021,2026-05-28T09:49:41.588,2026-05-28T10:05:11.588,-930
multimetro,93,1.7547e-05,,49.27548400000069,2026-05-28T09:49:42.106,2026-05-28T10:05:12.106,-930
multimetro,94,1.849e-05,,49.79965640000046,2026-05-28T09:49:42.639,2026-05-28T10:05:12.639,-930
multimetro,95,1.6982e-05,,50.32402690000072,2026-05-28T09:49:43.162,2026-05-28T10:05:13.162,-930
multimetro,96,1.9411e-05,,50.84817770000063,2026-05-28T09:49:43.686,2026-05-28T10:05:13.686,-930
multimetro,97,-2.2123e-05,,51.372593800000686,2026-05-28T09:49:44.212,2026-05-28T10:05:14.212,-930
multimetro,98,-2.2154e-05,,51.89681010000004,2026-05-28T09:49:44.737,2026-05-28T10:05:14.737,-930
multimetro,99,2.2698e-05,,52.421233300000495,2026-05-28T09:49:45.257,2026-05-28T10:05:15.257,-930
