sensor,indice_balanza,masa_g,error,tiempo_s,fecha_hora_corregida,fecha_hora_pc_sin_corregir,correccion_reloj_s
balanza,0,,Error desde Arduino: HX711 not found.,1.4131016999999702,2026-05-28T09:45:05.920,2026-05-28T10:00:35.920,-930
balanza,1,11.08,,2.40543979999984,2026-05-28T09:45:06.913,2026-05-28T10:00:36.913,-930
balanza,2,,Error desde Arduino: HX711 not found.,2.4286401999997906,2026-05-28T09:45:06.937,2026-05-28T10:00:36.937,-930
balanza,3,17.77,,3.4211255000000165,2026-05-28T09:45:07.930,2026-05-28T10:00:37.930,-930
balanza,4,,Error desde Arduino: HX711 not found.,3.444510799999989,2026-05-28T09:45:07.954,2026-05-28T10:00:37.954,-930
balanza,5,17.67,,4.436893000000055,2026-05-28T09:45:08.947,2026-05-28T10:00:38.947,-930
balanza,6,,Error desde Arduino: HX711 not found.,4.460192300000017,2026-05-28T09:45:08.970,2026-05-28T10:00:38.970,-930
balanza,7,14.35,,5.452663200000643,2026-05-28T09:45:09.964,2026-05-28T10:00:39.964,-930
balanza,8,,Error desde Arduino: HX711 not found.,5.475869900000362,2026-05-28T09:45:09.987,2026-05-28T10:00:39.987,-930
balanza,9,13.97,,6.4683757000002515,2026-05-28T09:45:10.980,2026-05-28T10:00:40.980,-930
balanza,10,,Error desde Arduino: HX711 not found.,6.491435400000228,2026-05-28T09:45:11.004,2026-05-28T10:00:41.004,-930
balanza,11,10.39,,7.484109800000624,2026-05-28T09:45:11.987,2026-05-28T10:00:41.987,-930
balanza,12,,Error desde Arduino: HX711 not found.,7.507317200000216,2026-05-28T09:45:12.020,2026-05-28T10:00:42.020,-930
balanza,13,,Error desde Arduino: HX711 not found.,8.51077239999995,2026-05-28T09:45:13.020,2026-05-28T10:00:43.020,-930
balanza,14,6.18,,9.502157599999919,2026-05-28T09:45:14.014,2026-05-28T10:00:44.014,-930
balanza,15,,Error desde Arduino: HX711 not found.,9.525389700000233,2026-05-28T09:45:14.037,2026-05-28T10:00:44.037,-930
balanza,16,4.54,,10.516633799999909,2026-05-28T09:45:15.021,2026-05-28T10:00:45.021,-930
balanza,17,,Error desde Arduino: HX711 not found.,10.53983049999988,2026-05-28T09:45:15.047,2026-05-28T10:00:45.047,-930
balanza,18,1.63,,11.531199699999888,2026-05-28T09:45:16.037,2026-05-28T10:00:46.037,-930
balanza,19,,Error desde Arduino: HX711 not found.,11.554315400000633,2026-05-28T09:45:16.064,2026-05-28T10:00:46.064,-930
balanza,20,0.92,,12.545796299999893,2026-05-28T09:45:17.054,2026-05-28T10:00:47.054,-930
balanza,21,,Error desde Arduino: HX711 not found.,12.569017499999973,2026-05-28T09:45:17.081,2026-05-28T10:00:47.081,-930
balanza,22,-1.41,,13.561362000000372,2026-05-28T09:45:18.074,2026-05-28T10:00:48.074,-930
balanza,23,,Error desde Arduino: HX711 not found.,13.584414699999797,2026-05-28T09:45:18.097,2026-05-28T10:00:48.097,-930
balanza,24,-3.79,,14.577014999999847,2026-05-28T09:45:19.087,2026-05-28T10:00:49.087,-930
balanza,25,,Error desde Arduino: HX711 not found.,14.600333700000192,2026-05-28T09:45:19.104,2026-05-28T10:00:49.104,-930
balanza,26,-6.65,,15.592575100000431,2026-05-28T09:45:20.104,2026-05-28T10:00:50.104,-930
balanza,27,-3.79,,15.604741400000421,2026-05-28T09:45:20.116,2026-05-28T10:00:50.116,-930
balanza,28,,Error desde Arduino: HX711 not found.,15.62783860000036,2026-05-28T09:45:20.138,2026-05-28T10:00:50.138,-930
balanza,29,-6.9,,16.620149700000184,2026-05-28T09:45:21.131,2026-05-28T10:00:51.131,-930
balanza,30,,Error desde Arduino: HX711 not found.,16.643198300000222,2026-05-28T09:45:21.156,2026-05-28T10:00:51.156,-930
balanza,31,-8.64,,17.63579269999991,2026-05-28T09:45:22.147,2026-05-28T10:00:52.147,-930
balanza,32,,Error desde Arduino: HX711 not found.,17.659108599999854,2026-05-28T09:45:22.170,2026-05-28T10:00:52.170,-930
balanza,33,-7.73,,18.65133010000045,2026-05-28T09:45:23.164,2026-05-28T10:00:53.164,-930
balanza,34,,Error desde Arduino: HX711 not found.,18.67467140000008,2026-05-28T09:45:23.186,2026-05-28T10:00:53.186,-930
balanza,35,-9.4,,19.666802100000496,2026-05-28T09:45:24.171,2026-05-28T10:00:54.171,-930
balanza,36,-11.58,,19.67992420000064,2026-05-28T09:45:24.187,2026-05-28T10:00:54.187,-930
balanza,37,,Error desde Arduino: HX711 not found.,19.702927100000124,2026-05-28T09:45:24.214,2026-05-28T10:00:54.214,-930
balanza,38,-11.7,,20.696464700000433,2026-05-28T09:45:25.209,2026-05-28T10:00:55.209,-930
balanza,39,,Error desde Arduino: HX711 not found.,20.719736699999885,2026-05-28T09:45:25.230,2026-05-28T10:00:55.230,-930
balanza,40,-13.33,,21.713180300000204,2026-05-28T09:45:26.225,2026-05-28T10:00:56.225,-930
