sensor,indice_balanza,masa_g,error,tiempo_s,fecha_hora_corregida,fecha_hora_pc_sin_corregir,correccion_reloj_s,indice_multimetro,voltaje_V
multimetro,,,,0.41575399999965157,2026-05-28T10:38:45.228,2026-05-28T10:54:15.228,-930,0.0,0.001140576
multimetro,,,,0.6321996000006038,2026-05-28T10:38:45.438,2026-05-28T10:54:15.438,-930,1.0,0.001138262
multimetro,,,,0.8474638999996387,2026-05-28T10:38:45.655,2026-05-28T10:54:15.655,-930,2.0,0.001136681
multimetro,,,,1.0625185999997484,2026-05-28T10:38:45.872,2026-05-28T10:54:15.872,-930,3.0,0.001133373
multimetro,,,,1.277454500001113,2026-05-28T10:38:46.088,2026-05-28T10:54:16.088,-930,4.0,0.00113399
balanza,0.0,,Error desde Arduino: HX711 not found.,1.4341013000012026,2026-05-28T10:38:46.245,2026-05-28T10:54:16.245,-930,,
multimetro,,,,1.4924604999996518,2026-05-28T10:38:46.295,2026-05-28T10:54:16.295,-930,5.0,0.001137571
multimetro,,,,1.7077758000014,2026-05-28T10:38:46.512,2026-05-28T10:54:16.512,-930,6.0,0.00113465
multimetro,,,,1.9226885000007314,2026-05-28T10:38:46.729,2026-05-28T10:54:16.729,-930,7.0,0.001036035
multimetro,,,,2.1376889000002848,2026-05-28T10:38:46.945,2026-05-28T10:54:16.945,-930,8.0,0.000892181
multimetro,,,,2.35264830000051,2026-05-28T10:38:47.162,2026-05-28T10:54:17.162,-930,9.0,0.000795566
balanza,1.0,15.63,,2.426412500000879,2026-05-28T10:38:47.239,2026-05-28T10:54:17.239,-930,,
balanza,2.0,,Error desde Arduino: HX711 not found.,2.4496154000007664,2026-05-28T10:38:47.262,2026-05-28T10:54:17.262,-930,,
multimetro,,,,2.5678255000002537,2026-05-28T10:38:47.379,2026-05-28T10:54:17.379,-930,10.0,0.000551243
multimetro,,,,2.782812700001159,2026-05-28T10:38:47.595,2026-05-28T10:54:17.595,-930,11.0,0.000584003
multimetro,,,,2.9980119000010745,2026-05-28T10:38:47.805,2026-05-28T10:54:17.805,-930,12.0,0.000520263
multimetro,,,,3.212953500000367,2026-05-28T10:38:48.022,2026-05-28T10:54:18.022,-930,13.0,0.000409546
multimetro,,,,3.42784759999995,2026-05-28T10:38:48.238,2026-05-28T10:54:18.238,-930,14.0,0.000192193
balanza,3.0,16.91,,3.4421149999998306,2026-05-28T10:38:48.247,2026-05-28T10:54:18.247,-930,,
