sensor,indice_balanza,masa_g,error,tiempo_s,fecha_hora_corregida,fecha_hora_pc_sin_corregir,correccion_reloj_s
balanza,0,,Error desde Arduino: HX711 not found.,1.4026696000000811,2026-05-28T10:14:02.932,2026-05-28T10:29:32.932,-930
balanza,1,-0.04,,2.3951380999997127,2026-05-28T10:14:03.919,2026-05-28T10:29:33.919,-930
balanza,2,,Error desde Arduino: HX711 not found.,2.4183423999993465,2026-05-28T10:14:03.939,2026-05-28T10:29:33.939,-930
balanza,3,0.03,,3.4097666999996363,2026-05-28T10:14:04.932,2026-05-28T10:29:34.932,-930
balanza,4,,Error desde Arduino: HX711 not found.,3.4330332999998063,2026-05-28T10:14:04.959,2026-05-28T10:29:34.959,-930
balanza,5,-0.03,,4.425468699999328,2026-05-28T10:14:05.952,2026-05-28T10:29:35.952,-930
balanza,6,,Error desde Arduino: HX711 not found.,4.448656999999912,2026-05-28T10:14:05.978,2026-05-28T10:29:35.978,-930
balanza,7,-0.02,,5.4411937999993825,2026-05-28T10:14:06.970,2026-05-28T10:29:36.970,-930
