tiempo_s,tiempo_multimetro_s,voltaje_V,indice_multimetro,fecha_hora_corregida_hp,fecha_hora_pc_sin_corregir_hp,error_hp,tiempo_balanza_s,masa_g,indice_balanza,fecha_hora_corregida_balanza,fecha_hora_pc_sin_corregir_balanza,error_balanza,delta_t_balanza_multimetro_s
0.5215124999995169,0.5215124999995169,0.000806611,0,2026-05-28T10:14:02.043,2026-05-28T10:29:32.043,,1.4026696000000811,,0,2026-05-28T10:14:02.932,2026-05-28T10:29:32.932,Error desde Arduino: HX711 not found.,0.8811571000005642
1.046466099999634,1.046466099999634,0.000799733,1,2026-05-28T10:14:02.576,2026-05-28T10:29:32.576,,1.4026696000000811,,0,2026-05-28T10:14:02.932,2026-05-28T10:29:32.932,Error desde Arduino: HX711 not found.,0.3562035000004471
1.5703823999992892,1.5703823999992892,0.000792195,2,2026-05-28T10:14:03.100,2026-05-28T10:29:33.100,,1.4026696000000811,,0,2026-05-28T10:14:02.932,2026-05-28T10:29:32.932,Error desde Arduino: HX711 not found.,-0.16771279999920807
2.094578299999739,2.094578299999739,0.000785232,3,2026-05-28T10:14:03.623,2026-05-28T10:29:33.623,,2.3951380999997127,-0.04,1,2026-05-28T10:14:03.919,2026-05-28T10:29:33.919,,0.3005597999999736
2.6186569999999847,2.6186569999999847,0.000778322,4,2026-05-28T10:14:04.143,2026-05-28T10:29:34.143,,2.4183423999993465,,2,2026-05-28T10:14:03.939,2026-05-28T10:29:33.939,Error desde Arduino: HX711 not found.,-0.20031460000063817
3.143094000000019,3.143094000000019,0.000772522,5,2026-05-28T10:14:04.673,2026-05-28T10:29:34.673,,3.4097666999996363,0.03,3,2026-05-28T10:14:04.932,2026-05-28T10:29:34.932,,0.2666726999996172
3.6672834000000876,3.6672834000000876,0.000766941,6,2026-05-28T10:14:05.193,2026-05-28T10:29:35.193,,3.4330332999998063,,4,2026-05-28T10:14:04.959,2026-05-28T10:29:34.959,Error desde Arduino: HX711 not found.,-0.23425010000028124
4.1915775999996185,4.1915775999996185,0.000761361,7,2026-05-28T10:14:05.711,2026-05-28T10:29:35.711,,4.425468699999328,-0.03,5,2026-05-28T10:14:05.952,2026-05-28T10:29:35.952,,0.2338910999997097
4.715697399999954,4.715697399999954,0.000755749,8,2026-05-28T10:14:06.235,2026-05-28T10:29:36.235,,4.448656999999912,,6,2026-05-28T10:14:05.978,2026-05-28T10:29:35.978,Error desde Arduino: HX711 not found.,-0.2670404000000417
5.2398176999995485,5.2398176999995485,0.000750357,9,2026-05-28T10:14:06.769,2026-05-28T10:29:36.769,,5.4411937999993825,-0.02,7,2026-05-28T10:14:06.970,2026-05-28T10:29:36.970,,0.20137609999983397
