sensor,indice_balanza,masa_g,error,tiempo_s,fecha_hora_corregida,fecha_hora_pc_sin_corregir,correccion_reloj_s
balanza,0,,Error desde Arduino: HX711 not found.,1.4206370000001698,2026-05-28T10:29:19.157,2026-05-28T10:44:49.157,-930
balanza,1,0.05,,2.4118459999999686,2026-05-28T10:29:20.150,2026-05-28T10:44:50.150,-930
balanza,2,,Error desde Arduino: HX711 not found.,2.4348789000005127,2026-05-28T10:29:20.164,2026-05-28T10:44:50.164,-930
balanza,3,15.75,,3.4274959000003946,2026-05-28T10:29:21.164,2026-05-28T10:44:51.164,-930
balanza,4,,Error desde Arduino: HX711 not found.,3.4508395000002565,2026-05-28T10:29:21.189,2026-05-28T10:44:51.189,-930
balanza,5,17.85,,4.443291500000669,2026-05-28T10:29:22.182,2026-05-28T10:44:52.182,-930
balanza,6,,Error desde Arduino: HX711 not found.,4.466652900000554,2026-05-28T10:29:22.197,2026-05-28T10:44:52.197,-930
balanza,7,17.46,,5.458967399999892,2026-05-28T10:29:23.197,2026-05-28T10:44:53.197,-930
balanza,8,,Error desde Arduino: HX711 not found.,5.482333700000709,2026-05-28T10:29:23.213,2026-05-28T10:44:53.213,-930
balanza,9,8.24,,6.473525500000505,2026-05-28T10:29:24.207,2026-05-28T10:44:54.207,-930
balanza,10,,Error desde Arduino: HX711 not found.,6.4965172000001985,2026-05-28T10:29:24.234,2026-05-28T10:44:54.234,-930
balanza,11,7.2,,7.488158900000599,2026-05-28T10:29:25.223,2026-05-28T10:44:55.223,-930
balanza,12,,Error desde Arduino: HX711 not found.,7.511253500000748,2026-05-28T10:29:25.247,2026-05-28T10:44:55.247,-930
balanza,13,2.7,,8.502672800000255,2026-05-28T10:29:26.239,2026-05-28T10:44:56.239,-930
balanza,14,2.77,,8.513739800000621,2026-05-28T10:29:26.250,2026-05-28T10:44:56.250,-930
balanza,15,,Error desde Arduino: HX711 not found.,8.53707410000061,2026-05-28T10:29:26.276,2026-05-28T10:44:56.276,-930
balanza,16,-3.55,,9.529350400000112,2026-05-28T10:29:27.268,2026-05-28T10:44:57.268,-930
balanza,17,,Error desde Arduino: HX711 not found.,9.552461799999946,2026-05-28T10:29:27.290,2026-05-28T10:44:57.290,-930
