sensor,indice_balanza,masa_g,error,tiempo_s,fecha_hora_corregida,fecha_hora_pc_sin_corregir,correccion_reloj_s
balanza,0,,Error desde Arduino: HX711 not found.,1.076949100001002,2026-05-28T12:03:43.682,2026-05-28T12:19:13.682,-930
balanza,1,12.32,,2.069204200000968,2026-05-28T12:03:44.682,2026-05-28T12:19:14.682,-930
balanza,2,,Error desde Arduino: HX711 not found.,2.0923562000007223,2026-05-28T12:03:44.699,2026-05-28T12:19:14.699,-930
balanza,3,27.67,,3.084754500001509,2026-05-28T12:03:45.692,2026-05-28T12:19:15.692,-930
balanza,4,,Error desde Arduino: HX711 not found.,3.107875400000921,2026-05-28T12:03:45.716,2026-05-28T12:19:15.716,-930
balanza,5,32.23,,4.100326500001756,2026-05-28T12:03:46.709,2026-05-28T12:19:16.709,-930
balanza,6,,Error desde Arduino: HX711 not found.,4.123610800001188,2026-05-28T12:03:46.732,2026-05-28T12:19:16.732,-930
balanza,7,30.19,,5.115918200001033,2026-05-28T12:03:47.725,2026-05-28T12:19:17.725,-930
balanza,8,,Error desde Arduino: HX711 not found.,5.138931900000898,2026-05-28T12:03:47.749,2026-05-28T12:19:17.749,-930
balanza,9,29.28,,6.131348600001729,2026-05-28T12:03:48.742,2026-05-28T12:19:18.742,-930
balanza,10,,Error desde Arduino: HX711 not found.,6.1544146000014734,2026-05-28T12:03:48.766,2026-05-28T12:19:18.766,-930
balanza,11,27.19,,7.146919400000115,2026-05-28T12:03:49.759,2026-05-28T12:19:19.759,-930
balanza,12,,Error desde Arduino: HX711 not found.,7.169971200000873,2026-05-28T12:03:49.782,2026-05-28T12:19:19.782,-930
balanza,13,27.0,,8.1623524000006,2026-05-28T12:03:50.774,2026-05-28T12:19:20.774,-930
balanza,14,,Error desde Arduino: HX711 not found.,8.186664500000916,2026-05-28T12:03:50.799,2026-05-28T12:19:20.799,-930
balanza,15,26.25,,9.179082800001197,2026-05-28T12:03:51.792,2026-05-28T12:19:21.792,-930
balanza,16,,Error desde Arduino: HX711 not found.,9.2024435000003,2026-05-28T12:03:51.815,2026-05-28T12:19:21.815,-930
balanza,17,24.83,,10.194705000001704,2026-05-28T12:03:52.799,2026-05-28T12:19:22.799,-930
balanza,18,,Error desde Arduino: HX711 not found.,10.217838600001414,2026-05-28T12:03:52.826,2026-05-28T12:19:22.826,-930
balanza,19,23.52,,11.210227800000212,2026-05-28T12:03:53.816,2026-05-28T12:19:23.816,-930
balanza,20,,Error desde Arduino: HX711 not found.,11.233557200001087,2026-05-28T12:03:53.842,2026-05-28T12:19:23.842,-930
balanza,21,22.8,,12.225824000001012,2026-05-28T12:03:54.832,2026-05-28T12:19:24.832,-930
balanza,22,,Error desde Arduino: HX711 not found.,12.249081700001625,2026-05-28T12:03:54.861,2026-05-28T12:19:24.861,-930
balanza,23,22.3,,13.241265600001498,2026-05-28T12:03:55.854,2026-05-28T12:19:25.854,-930
balanza,24,,Error desde Arduino: HX711 not found.,13.264453100000537,2026-05-28T12:03:55.875,2026-05-28T12:19:25.875,-930
balanza,25,21.2,,14.256730000000971,2026-05-28T12:03:56.865,2026-05-28T12:19:26.865,-930
balanza,26,,Error desde Arduino: HX711 not found.,14.279916200001026,2026-05-28T12:03:56.892,2026-05-28T12:19:26.892,-930
balanza,27,20.23,,15.27220110000053,2026-05-28T12:03:57.882,2026-05-28T12:19:27.882,-930
balanza,28,20.73,,15.284261600001628,2026-05-28T12:03:57.892,2026-05-28T12:19:27.892,-930
balanza,29,,Error desde Arduino: HX711 not found.,15.307362800000192,2026-05-28T12:03:57.916,2026-05-28T12:19:27.916,-930
balanza,30,20.05,,16.299777000000176,2026-05-28T12:03:58.909,2026-05-28T12:19:28.909,-930
