sensor,indice_balanza,masa_g,error,tiempo_s,fecha_hora_corregida,fecha_hora_pc_sin_corregir,correccion_reloj_s,indice_multimetro,voltaje_V
multimetro,,,,0.41532920000099693,2026-05-28T12:03:43.027,2026-05-28T12:19:13.027,-930,0.0,0.001099074
multimetro,,,,0.6312624000001961,2026-05-28T12:03:43.242,2026-05-28T12:19:13.242,-930,1.0,0.001098215
multimetro,,,,0.846219300001394,2026-05-28T12:03:43.458,2026-05-28T12:19:13.458,-930,2.0,0.001098383
multimetro,,,,1.0612744000009116,2026-05-28T12:03:43.666,2026-05-28T12:19:13.666,-930,3.0,0.001097231
balanza,0.0,,Error desde Arduino: HX711 not found.,1.076949100001002,2026-05-28T12:03:43.682,2026-05-28T12:19:13.682,-930,,
multimetro,,,,1.276445600000443,2026-05-28T12:03:43.882,2026-05-28T12:19:13.882,-930,4.0,0.00109588
multimetro,,,,1.4916021000008186,2026-05-28T12:03:44.099,2026-05-28T12:19:14.099,-930,5.0,0.001094467
multimetro,,,,1.706781900000351,2026-05-28T12:03:44.316,2026-05-28T12:19:14.316,-930,6.0,0.001089839
multimetro,,,,1.921808000000965,2026-05-28T12:03:44.532,2026-05-28T12:19:14.532,-930,7.0,0.001087379
balanza,1.0,12.32,,2.069204200000968,2026-05-28T12:03:44.682,2026-05-28T12:19:14.682,-930,,
balanza,2.0,,Error desde Arduino: HX711 not found.,2.0923562000007223,2026-05-28T12:03:44.699,2026-05-28T12:19:14.699,-930,,
multimetro,,,,2.137049599999955,2026-05-28T12:03:44.749,2026-05-28T12:19:14.749,-930,8.0,0.001082207
multimetro,,,,2.3522017000013875,2026-05-28T12:03:44.959,2026-05-28T12:19:14.959,-930,9.0,0.001063246
multimetro,,,,2.5671260000017355,2026-05-28T12:03:45.177,2026-05-28T12:19:15.177,-930,10.0,0.001047144
multimetro,,,,2.782185500000196,2026-05-28T12:03:45.392,2026-05-28T12:19:15.392,-930,11.0,0.001029879
multimetro,,,,2.9972522000007302,2026-05-28T12:03:45.609,2026-05-28T12:19:15.609,-930,12.0,0.000985864
balanza,3.0,27.67,,3.084754500001509,2026-05-28T12:03:45.692,2026-05-28T12:19:15.692,-930,,
balanza,4.0,,Error desde Arduino: HX711 not found.,3.107875400000921,2026-05-28T12:03:45.716,2026-05-28T12:19:15.716,-930,,
multimetro,,,,3.212065800000346,2026-05-28T12:03:45.816,2026-05-28T12:19:15.816,-930,13.0,0.000862604
multimetro,,,,3.42714530000012,2026-05-28T12:03:46.039,2026-05-28T12:19:16.039,-930,14.0,0.000679226
multimetro,,,,3.64222510000036,2026-05-28T12:03:46.249,2026-05-28T12:19:16.249,-930,15.0,0.00052263
multimetro,,,,3.8572945000014442,2026-05-28T12:03:46.466,2026-05-28T12:19:16.466,-930,16.0,0.000511218
multimetro,,,,4.072117300000173,2026-05-28T12:03:46.682,2026-05-28T12:19:16.682,-930,17.0,0.000456597
balanza,5.0,32.23,,4.100326500001756,2026-05-28T12:03:46.709,2026-05-28T12:19:16.709,-930,,
balanza,6.0,,Error desde Arduino: HX711 not found.,4.123610800001188,2026-05-28T12:03:46.732,2026-05-28T12:19:16.732,-930,,
multimetro,,,,4.2872714000004635,2026-05-28T12:03:46.899,2026-05-28T12:19:16.899,-930,18.0,0.000347418
multimetro,,,,4.502307500000825,2026-05-28T12:03:47.109,2026-05-28T12:19:17.109,-930,19.0,0.000229424
