tiempo_s,tiempo_multimetro_s,voltaje_V,indice_multimetro,fecha_hora_corregida_hp,fecha_hora_pc_sin_corregir_hp,error_hp,tiempo_balanza_s,masa_g,indice_balanza,fecha_hora_corregida_balanza,fecha_hora_pc_sin_corregir_balanza,error_balanza,delta_t_balanza_multimetro_s
0.41532920000099693,0.41532920000099693,0.001099074,0,2026-05-28T12:03:43.027,2026-05-28T12:19:13.027,,1.076949100001002,,0,2026-05-28T12:03:43.682,2026-05-28T12:19:13.682,Error desde Arduino: HX711 not found.,0.6616199000000051
0.6312624000001961,0.6312624000001961,0.001098215,1,2026-05-28T12:03:43.242,2026-05-28T12:19:13.242,,1.076949100001002,,0,2026-05-28T12:03:43.682,2026-05-28T12:19:13.682,Error desde Arduino: HX711 not found.,0.445686700000806
0.846219300001394,0.846219300001394,0.001098383,2,2026-05-28T12:03:43.458,2026-05-28T12:19:13.458,,1.076949100001002,,0,2026-05-28T12:03:43.682,2026-05-28T12:19:13.682,Error desde Arduino: HX711 not found.,0.23072979999960808
1.0612744000009116,1.0612744000009116,0.001097231,3,2026-05-28T12:03:43.666,2026-05-28T12:19:13.666,,1.076949100001002,,0,2026-05-28T12:03:43.682,2026-05-28T12:19:13.682,Error desde Arduino: HX711 not found.,0.015674700000090525
1.276445600000443,1.276445600000443,0.00109588,4,2026-05-28T12:03:43.882,2026-05-28T12:19:13.882,,1.076949100001002,,0,2026-05-28T12:03:43.682,2026-05-28T12:19:13.682,Error desde Arduino: HX711 not found.,-0.19949649999944086
1.4916021000008186,1.4916021000008186,0.001094467,5,2026-05-28T12:03:44.099,2026-05-28T12:19:14.099,,1.076949100001002,,0,2026-05-28T12:03:43.682,2026-05-28T12:19:13.682,Error desde Arduino: HX711 not found.,-0.41465299999981653
1.706781900000351,1.706781900000351,0.001089839,6,2026-05-28T12:03:44.316,2026-05-28T12:19:14.316,,2.069204200000968,12.32,1,2026-05-28T12:03:44.682,2026-05-28T12:19:14.682,,0.3624223000006168
1.921808000000965,1.921808000000965,0.001087379,7,2026-05-28T12:03:44.532,2026-05-28T12:19:14.532,,2.069204200000968,12.32,1,2026-05-28T12:03:44.682,2026-05-28T12:19:14.682,,0.14739620000000286
2.137049599999955,2.137049599999955,0.001082207,8,2026-05-28T12:03:44.749,2026-05-28T12:19:14.749,,2.0923562000007223,,2,2026-05-28T12:03:44.699,2026-05-28T12:19:14.699,Error desde Arduino: HX711 not found.,-0.0446933999992325
2.3522017000013875,2.3522017000013875,0.001063246,9,2026-05-28T12:03:44.959,2026-05-28T12:19:14.959,,2.0923562000007223,,2,2026-05-28T12:03:44.699,2026-05-28T12:19:14.699,Error desde Arduino: HX711 not found.,-0.2598455000006652
2.5671260000017355,2.5671260000017355,0.001047144,10,2026-05-28T12:03:45.177,2026-05-28T12:19:15.177,,2.0923562000007223,,2,2026-05-28T12:03:44.699,2026-05-28T12:19:14.699,Error desde Arduino: HX711 not found.,-0.4747698000010132
2.782185500000196,2.782185500000196,0.001029879,11,2026-05-28T12:03:45.392,2026-05-28T12:19:15.392,,3.084754500001509,27.67,3,2026-05-28T12:03:45.692,2026-05-28T12:19:15.692,,0.3025690000013128
2.9972522000007302,2.9972522000007302,0.000985864,12,2026-05-28T12:03:45.609,2026-05-28T12:19:15.609,,3.084754500001509,27.67,3,2026-05-28T12:03:45.692,2026-05-28T12:19:15.692,,0.08750230000077863
3.212065800000346,3.212065800000346,0.000862604,13,2026-05-28T12:03:45.816,2026-05-28T12:19:15.816,,3.107875400000921,,4,2026-05-28T12:03:45.716,2026-05-28T12:19:15.716,Error desde Arduino: HX711 not found.,-0.1041903999994247
3.42714530000012,3.42714530000012,0.000679226,14,2026-05-28T12:03:46.039,2026-05-28T12:19:16.039,,3.107875400000921,,4,2026-05-28T12:03:45.716,2026-05-28T12:19:15.716,Error desde Arduino: HX711 not found.,-0.31926989999919897
3.64222510000036,3.64222510000036,0.00052263,15,2026-05-28T12:03:46.249,2026-05-28T12:19:16.249,,4.100326500001756,32.23,5,2026-05-28T12:03:46.709,2026-05-28T12:19:16.709,,0.45810140000139654
3.8572945000014442,3.8572945000014442,0.000511218,16,2026-05-28T12:03:46.466,2026-05-28T12:19:16.466,,4.100326500001756,32.23,5,2026-05-28T12:03:46.709,2026-05-28T12:19:16.709,,0.2430320000003121
4.072117300000173,4.072117300000173,0.000456597,17,2026-05-28T12:03:46.682,2026-05-28T12:19:16.682,,4.100326500001756,32.23,5,2026-05-28T12:03:46.709,2026-05-28T12:19:16.709,,0.028209200001583667
4.2872714000004635,4.2872714000004635,0.000347418,18,2026-05-28T12:03:46.899,2026-05-28T12:19:16.899,,4.123610800001188,,6,2026-05-28T12:03:46.732,2026-05-28T12:19:16.732,Error desde Arduino: HX711 not found.,-0.1636605999992753
