tiempo_s,tiempo_multimetro_s,voltaje_V,indice_multimetro,fecha_hora_corregida_hp,fecha_hora_pc_sin_corregir_hp,error_hp,tiempo_balanza_s,masa_g,indice_balanza,fecha_hora_corregida_balanza,fecha_hora_pc_sin_corregir_balanza,error_balanza,delta_t_balanza_multimetro_s
0.5215261000003011,0.5215261000003011,1.9003e-05,0,2026-05-28T10:04:28.717,2026-05-28T10:19:58.717,,1.321820399999524,,0,2026-05-28T10:04:29.518,2026-05-28T10:19:59.518,Error desde Arduino: HX711 not found.,0.8002942999992229
1.047577100000126,1.047577100000126,2.0521e-05,1,2026-05-28T10:04:29.244,2026-05-28T10:19:59.244,,1.321820399999524,,0,2026-05-28T10:04:29.518,2026-05-28T10:19:59.518,Error desde Arduino: HX711 not found.,0.274243299999398
1.5727142999994612,1.5727142999994612,1.9516e-05,2,2026-05-28T10:04:29.770,2026-05-28T10:19:59.770,,1.321820399999524,,0,2026-05-28T10:04:29.518,2026-05-28T10:19:59.518,Error desde Arduino: HX711 not found.,-0.2508938999999373
2.0978306999995766,2.0978306999995766,1.9746e-05,3,2026-05-28T10:04:30.289,2026-05-28T10:20:00.289,,2.31395909999992,-0.05,1,2026-05-28T10:04:30.510,2026-05-28T10:20:00.510,,0.2161284000003434
2.6225852999996278,2.6225852999996278,2.0573e-05,4,2026-05-28T10:04:30.816,2026-05-28T10:20:00.816,,2.337011900000107,,2,2026-05-28T10:04:30.534,2026-05-28T10:20:00.534,Error desde Arduino: HX711 not found.,-0.2855733999995209
3.147350899999765,3.147350899999765,2.0217e-05,5,2026-05-28T10:04:31.338,2026-05-28T10:20:01.338,,3.3296135999999024,-0.02,3,2026-05-28T10:04:31.523,2026-05-28T10:20:01.523,,0.18226270000013756
3.6720810999995592,3.6720810999995592,1.9243e-05,6,2026-05-28T10:04:31.862,2026-05-28T10:20:01.862,,3.3526868999997532,,4,2026-05-28T10:04:31.542,2026-05-28T10:20:01.542,Error desde Arduino: HX711 not found.,-0.319394199999806
4.196901600000274,4.196901600000274,1.9736e-05,7,2026-05-28T10:04:32.387,2026-05-28T10:20:02.387,,4.345137299999806,-0.07,5,2026-05-28T10:04:32.535,2026-05-28T10:20:02.535,,0.1482356999995318
4.721755200000189,4.721755200000189,2.1316e-05,8,2026-05-28T10:04:32.919,2026-05-28T10:20:02.919,,4.368269800000235,,6,2026-05-28T10:04:32.565,2026-05-28T10:20:02.565,Error desde Arduino: HX711 not found.,-0.3534853999999541
5.2465290999998615,5.2465290999998615,1.939e-05,9,2026-05-28T10:04:33.437,2026-05-28T10:20:03.437,,5.3605571999996755,-0.09,7,2026-05-28T10:04:33.557,2026-05-28T10:20:03.557,,0.114028099999814
