sensor,indice_balanza,masa_g,error,tiempo_s,fecha_hora_corregida,fecha_hora_pc_sin_corregir,correccion_reloj_s,indice_multimetro,voltaje_V
multimetro,,,,0.5215261000003011,2026-05-28T10:04:28.717,2026-05-28T10:19:58.717,-930,0.0,1.9003e-05
multimetro,,,,1.047577100000126,2026-05-28T10:04:29.244,2026-05-28T10:19:59.244,-930,1.0,2.0521e-05
balanza,0.0,,Error desde Arduino: HX711 not found.,1.321820399999524,2026-05-28T10:04:29.518,2026-05-28T10:19:59.518,-930,,
multimetro,,,,1.5727142999994612,2026-05-28T10:04:29.770,2026-05-28T10:19:59.770,-930,2.0,1.9516e-05
multimetro,,,,2.0978306999995766,2026-05-28T10:04:30.289,2026-05-28T10:20:00.289,-930,3.0,1.9746e-05
balanza,1.0,-0.05,,2.31395909999992,2026-05-28T10:04:30.510,2026-05-28T10:20:00.510,-930,,
balanza,2.0,,Error desde Arduino: HX711 not found.,2.337011900000107,2026-05-28T10:04:30.534,2026-05-28T10:20:00.534,-930,,
multimetro,,,,2.6225852999996278,2026-05-28T10:04:30.816,2026-05-28T10:20:00.816,-930,4.0,2.0573e-05
multimetro,,,,3.147350899999765,2026-05-28T10:04:31.338,2026-05-28T10:20:01.338,-930,5.0,2.0217e-05
balanza,3.0,-0.02,,3.3296135999999024,2026-05-28T10:04:31.523,2026-05-28T10:20:01.523,-930,,
balanza,4.0,,Error desde Arduino: HX711 not found.,3.3526868999997532,2026-05-28T10:04:31.542,2026-05-28T10:20:01.542,-930,,
multimetro,,,,3.6720810999995592,2026-05-28T10:04:31.862,2026-05-28T10:20:01.862,-930,6.0,1.9243e-05
multimetro,,,,4.196901600000274,2026-05-28T10:04:32.387,2026-05-28T10:20:02.387,-930,7.0,1.9736e-05
balanza,5.0,-0.07,,4.345137299999806,2026-05-28T10:04:32.535,2026-05-28T10:20:02.535,-930,,
balanza,6.0,,Error desde Arduino: HX711 not found.,4.368269800000235,2026-05-28T10:04:32.565,2026-05-28T10:20:02.565,-930,,
multimetro,,,,4.721755200000189,2026-05-28T10:04:32.919,2026-05-28T10:20:02.919,-930,8.0,2.1316e-05
multimetro,,,,5.2465290999998615,2026-05-28T10:04:33.437,2026-05-28T10:20:03.437,-930,9.0,1.939e-05
balanza,7.0,-0.09,,5.3605571999996755,2026-05-28T10:04:33.557,2026-05-28T10:20:03.557,-930,,
