tiempo_s,tiempo_multimetro_s,voltaje_V,indice_multimetro,fecha_hora_corregida_hp,fecha_hora_pc_sin_corregir_hp,error_hp,tiempo_balanza_s,masa_g,indice_balanza,fecha_hora_corregida_balanza,fecha_hora_pc_sin_corregir_balanza,error_balanza,delta_t_balanza_multimetro_s
0.415336699999898,0.415336699999898,0.000723209,0,2026-05-28T13:54:49.573,2026-05-28T14:10:19.573,,0.9948411000004853,,0,2026-05-28T13:54:50.152,2026-05-28T14:10:20.152,Error desde Arduino: HX711 not found.,0.5795044000005873
0.6314807999988261,0.6314807999988261,0.000702374,1,2026-05-28T13:54:49.791,2026-05-28T14:10:19.791,,0.9948411000004853,,0,2026-05-28T13:54:50.152,2026-05-28T14:10:20.152,Error desde Arduino: HX711 not found.,0.3633603000016592
0.8462515999999596,0.8462515999999596,0.000716728,2,2026-05-28T13:54:50.006,2026-05-28T14:10:20.006,,0.9948411000004853,,0,2026-05-28T13:54:50.152,2026-05-28T14:10:20.152,Error desde Arduino: HX711 not found.,0.14858950000052573
1.0614481000011438,1.0614481000011438,0.000723146,3,2026-05-28T13:54:50.216,2026-05-28T14:10:20.216,,0.9948411000004853,,0,2026-05-28T13:54:50.152,2026-05-28T14:10:20.152,Error desde Arduino: HX711 not found.,-0.06660700000065845
1.276699499998358,1.276699499998358,0.000697799,4,2026-05-28T13:54:50.435,2026-05-28T14:10:20.435,,0.9948411000004853,,0,2026-05-28T13:54:50.152,2026-05-28T14:10:20.152,Error desde Arduino: HX711 not found.,-0.28185839999787277
1.4917024999995192,1.4917024999995192,0.000672117,5,2026-05-28T13:54:50.643,2026-05-28T14:10:20.643,,1.9861066000012215,0.0,1,2026-05-28T13:54:51.142,2026-05-28T14:10:21.142,,0.4944041000017023
1.7067825000012817,1.7067825000012817,0.000646204,6,2026-05-28T13:54:50.863,2026-05-28T14:10:20.863,,1.9861066000012215,0.0,1,2026-05-28T13:54:51.142,2026-05-28T14:10:21.142,,0.2793240999999398
1.9216710000000603,1.9216710000000603,0.000663134,7,2026-05-28T13:54:51.073,2026-05-28T14:10:21.073,,1.9861066000012215,0.0,1,2026-05-28T13:54:51.142,2026-05-28T14:10:21.142,,0.06443560000116122
2.1367815000012342,2.1367815000012342,0.000460596,8,2026-05-28T13:54:51.289,2026-05-28T14:10:21.289,,2.0092097999986436,,2,2026-05-28T13:54:51.162,2026-05-28T14:10:21.162,Error desde Arduino: HX711 not found.,-0.12757170000259066
2.351868199999444,2.351868199999444,0.000359008,9,2026-05-28T13:54:51.504,2026-05-28T14:10:21.504,,2.0092097999986436,,2,2026-05-28T13:54:51.162,2026-05-28T14:10:21.162,Error desde Arduino: HX711 not found.,-0.3426584000008006
2.566946300001291,2.566946300001291,0.000337189,10,2026-05-28T13:54:51.721,2026-05-28T14:10:21.721,,3.0008742999998503,0.0,3,2026-05-28T13:54:52.152,2026-05-28T14:10:22.152,,0.43392799999855924
2.8142029000009643,2.8142029000009643,0.000256268,11,2026-05-28T13:54:51.974,2026-05-28T14:10:21.974,,3.0008742999998503,0.0,3,2026-05-28T13:54:52.152,2026-05-28T14:10:22.152,,0.18667139999888605
3.0289685999996436,3.0289685999996436,0.000222325,12,2026-05-28T13:54:52.183,2026-05-28T14:10:22.183,,3.0240263999985473,,4,2026-05-28T13:54:52.183,2026-05-28T14:10:22.183,Error desde Arduino: HX711 not found.,-0.004942200001096353
3.243942099998094,3.243942099998094,0.000149958,13,2026-05-28T13:54:52.399,2026-05-28T14:10:22.399,,3.0240263999985473,,4,2026-05-28T13:54:52.183,2026-05-28T14:10:22.183,Error desde Arduino: HX711 not found.,-0.21991569999954663
