sensor,indice_balanza,masa_g,error,tiempo_s,fecha_hora_corregida,fecha_hora_pc_sin_corregir,correccion_reloj_s,indice_multimetro,voltaje_V
multimetro,,,,0.415336699999898,2026-05-28T13:54:49.573,2026-05-28T14:10:19.573,-930,0.0,0.000723209
multimetro,,,,0.6314807999988261,2026-05-28T13:54:49.791,2026-05-28T14:10:19.791,-930,1.0,0.000702374
multimetro,,,,0.8462515999999596,2026-05-28T13:54:50.006,2026-05-28T14:10:20.006,-930,2.0,0.000716728
balanza,0.0,,Error desde Arduino: HX711 not found.,0.9948411000004853,2026-05-28T13:54:50.152,2026-05-28T14:10:20.152,-930,,
multimetro,,,,1.0614481000011438,2026-05-28T13:54:50.216,2026-05-28T14:10:20.216,-930,3.0,0.000723146
multimetro,,,,1.276699499998358,2026-05-28T13:54:50.435,2026-05-28T14:10:20.435,-930,4.0,0.000697799
multimetro,,,,1.4917024999995192,2026-05-28T13:54:50.643,2026-05-28T14:10:20.643,-930,5.0,0.000672117
multimetro,,,,1.7067825000012817,2026-05-28T13:54:50.863,2026-05-28T14:10:20.863,-930,6.0,0.000646204
multimetro,,,,1.9216710000000603,2026-05-28T13:54:51.073,2026-05-28T14:10:21.073,-930,7.0,0.000663134
balanza,1.0,0.0,,1.9861066000012215,2026-05-28T13:54:51.142,2026-05-28T14:10:21.142,-930,,
balanza,2.0,,Error desde Arduino: HX711 not found.,2.0092097999986436,2026-05-28T13:54:51.162,2026-05-28T14:10:21.162,-930,,
multimetro,,,,2.1367815000012342,2026-05-28T13:54:51.289,2026-05-28T14:10:21.289,-930,8.0,0.000460596
multimetro,,,,2.351868199999444,2026-05-28T13:54:51.504,2026-05-28T14:10:21.504,-930,9.0,0.000359008
multimetro,,,,2.566946300001291,2026-05-28T13:54:51.721,2026-05-28T14:10:21.721,-930,10.0,0.000337189
multimetro,,,,2.8142029000009643,2026-05-28T13:54:51.974,2026-05-28T14:10:21.974,-930,11.0,0.000256268
balanza,3.0,0.0,,3.0008742999998503,2026-05-28T13:54:52.152,2026-05-28T14:10:22.152,-930,,
balanza,4.0,,Error desde Arduino: HX711 not found.,3.0240263999985473,2026-05-28T13:54:52.183,2026-05-28T14:10:22.183,-930,,
multimetro,,,,3.0289685999996436,2026-05-28T13:54:52.183,2026-05-28T14:10:22.183,-930,12.0,0.000222325
multimetro,,,,3.243942099998094,2026-05-28T13:54:52.399,2026-05-28T14:10:22.399,-930,13.0,0.000149958
multimetro,,,,3.4590748000009626,2026-05-28T13:54:52.619,2026-05-28T14:10:22.619,-930,14.0,9.3704e-05
multimetro,,,,3.6741555000007793,2026-05-28T13:54:52.826,2026-05-28T14:10:22.826,-930,15.0,8.8731e-05
multimetro,,,,3.8892515000006824,2026-05-28T13:54:53.047,2026-05-28T14:10:23.047,-930,16.0,1.7181e-05
balanza,5.0,0.0,,4.01554329999999,2026-05-28T13:54:53.172,2026-05-28T14:10:23.172,-930,,
balanza,6.0,,Error desde Arduino: HX711 not found.,4.038670300000376,2026-05-28T13:54:53.198,2026-05-28T14:10:23.198,-930,,
multimetro,,,,4.104525899998407,2026-05-28T13:54:53.261,2026-05-28T14:10:23.261,-930,17.0,-7.6136e-05
multimetro,,,,4.319412799999554,2026-05-28T13:54:53.472,2026-05-28T14:10:23.472,-930,18.0,-0.000200025
multimetro,,,,4.534528899999714,2026-05-28T13:54:53.688,2026-05-28T14:10:23.688,-930,19.0,-0.000420508
multimetro,,,,4.749544999998761,2026-05-28T13:54:53.903,2026-05-28T14:10:23.903,-930,20.0,-0.000568519
multimetro,,,,4.964469700000336,2026-05-28T13:54:54.119,2026-05-28T14:10:24.119,-930,21.0,-0.000756472
balanza,7.0,0.0,,5.03026360000149,2026-05-28T13:54:54.186,2026-05-28T14:10:24.186,-930,,
balanza,8.0,,Error desde Arduino: HX711 not found.,5.0534622999985,2026-05-28T13:54:54.211,2026-05-28T14:10:24.211,-930,,
multimetro,,,,5.179538000000321,2026-05-28T13:54:54.339,2026-05-28T14:10:24.339,-930,22.0,-0.001365521
multimetro,,,,5.394620899998699,2026-05-28T13:54:54.554,2026-05-28T14:10:24.554,-930,23.0,-0.002310555
multimetro,,,,5.609713900001225,2026-05-28T13:54:54.766,2026-05-28T14:10:24.766,-930,24.0,-0.003050631
multimetro,,,,5.824733800000104,2026-05-28T13:54:54.983,2026-05-28T14:10:24.983,-930,25.0,-0.003904461
multimetro,,,,6.039817699998821,2026-05-28T13:54:55.199,2026-05-28T14:10:25.199,-930,26.0,-0.004625652
balanza,9.0,0.0,,6.044861200000014,2026-05-28T13:54:55.201,2026-05-28T14:10:25.201,-930,,
balanza,10.0,,Error desde Arduino: HX711 not found.,6.06808269999965,2026-05-28T13:54:55.228,2026-05-28T14:10:25.228,-930,,
multimetro,,,,6.255062500000349,2026-05-28T13:54:55.415,2026-05-28T14:10:25.415,-930,27.0,-0.004877617
multimetro,,,,6.470294800001284,2026-05-28T13:54:55.625,2026-05-28T14:10:25.625,-930,28.0,-0.00489328
multimetro,,,,6.6854027999979735,2026-05-28T13:54:55.845,2026-05-28T14:10:25.845,-930,29.0,-0.00492516
multimetro,,,,6.900496499998553,2026-05-28T13:54:56.058,2026-05-28T14:10:26.058,-930,30.0,-0.004829644
balanza,11.0,0.0,,7.059564099999989,2026-05-28T13:54:56.215,2026-05-28T14:10:26.215,-930,,
balanza,12.0,,Error desde Arduino: HX711 not found.,7.082728099998349,2026-05-28T13:54:56.242,2026-05-28T14:10:26.242,-930,,
multimetro,,,,7.115468399999372,2026-05-28T13:54:56.275,2026-05-28T14:10:26.275,-930,31.0,-0.004860823
multimetro,,,,7.330616499999451,2026-05-28T13:54:56.489,2026-05-28T14:10:26.489,-930,32.0,-0.004949481
multimetro,,,,7.545674799999688,2026-05-28T13:54:56.700,2026-05-28T14:10:26.700,-930,33.0,-0.004898483
multimetro,,,,7.760815900001035,2026-05-28T13:54:56.915,2026-05-28T14:10:26.915,-930,34.0,-0.004876423
multimetro,,,,7.975899400000344,2026-05-28T13:54:57.136,2026-05-28T14:10:27.136,-930,35.0,-0.004889448
balanza,13.0,0.0,,8.074282999998104,2026-05-28T13:54:57.234,2026-05-28T14:10:27.234,-930,,
balanza,14.0,,Error desde Arduino: HX711 not found.,8.097417900000437,2026-05-28T13:54:57.252,2026-05-28T14:10:27.252,-930,,
multimetro,,,,8.190919000000576,2026-05-28T13:54:57.349,2026-05-28T14:10:27.349,-930,36.0,-0.004912701
multimetro,,,,8.406120299998292,2026-05-28T13:54:57.566,2026-05-28T14:10:27.566,-930,37.0,-0.004939912
multimetro,,,,8.621242099998199,2026-05-28T13:54:57.781,2026-05-28T14:10:27.781,-930,38.0,-0.004861158
multimetro,,,,8.836378799998784,2026-05-28T13:54:57.991,2026-05-28T14:10:27.991,-930,39.0,-0.004882213
multimetro,,,,9.051520900000469,2026-05-28T13:54:58.210,2026-05-28T14:10:28.210,-930,40.0,-0.00491824
balanza,15.0,0.0,,9.08898229999977,2026-05-28T13:54:58.248,2026-05-28T14:10:28.248,-930,,
balanza,16.0,,Error desde Arduino: HX711 not found.,9.112220200000593,2026-05-28T13:54:58.272,2026-05-28T14:10:28.272,-930,,
multimetro,,,,9.266670500001055,2026-05-28T13:54:58.426,2026-05-28T14:10:28.426,-930,41.0,-0.004962579
multimetro,,,,9.481923399998777,2026-05-28T13:54:58.641,2026-05-28T14:10:28.641,-930,42.0,-0.004877669
multimetro,,,,9.697125800001231,2026-05-28T13:54:58.852,2026-05-28T14:10:28.852,-930,43.0,-0.004843307
multimetro,,,,9.912279000000126,2026-05-28T13:54:59.072,2026-05-28T14:10:29.072,-930,44.0,-0.004871848
balanza,17.0,0.0,,10.103640400000586,2026-05-28T13:54:59.257,2026-05-28T14:10:29.257,-930,,
balanza,18.0,,Error desde Arduino: HX711 not found.,10.12687079999887,2026-05-28T13:54:59.282,2026-05-28T14:10:29.282,-930,,
multimetro,,,,10.127540800000133,2026-05-28T13:54:59.282,2026-05-28T14:10:29.282,-930,45.0,-0.004874821
multimetro,,,,10.34240520000094,2026-05-28T13:54:59.498,2026-05-28T14:10:29.498,-930,46.0,-0.004876455
multimetro,,,,10.557490499999403,2026-05-28T13:54:59.718,2026-05-28T14:10:29.718,-930,47.0,-0.004831979
multimetro,,,,10.772561699999642,2026-05-28T13:54:59.932,2026-05-28T14:10:29.932,-930,48.0,-0.004919611
multimetro,,,,10.987733599999046,2026-05-28T13:55:00.147,2026-05-28T14:10:30.147,-930,49.0,-0.004957187
balanza,19.0,0.0,,11.118176200001471,2026-05-28T13:55:00.275,2026-05-28T14:10:30.275,-930,,
balanza,20.0,,Error desde Arduino: HX711 not found.,11.14125729999796,2026-05-28T13:55:00.298,2026-05-28T14:10:30.298,-930,,
multimetro,,,,11.203043500001513,2026-05-28T13:55:00.361,2026-05-28T14:10:30.361,-930,50.0,-0.004913005
multimetro,,,,11.418069600000308,2026-05-28T13:55:00.578,2026-05-28T14:10:30.578,-930,51.0,-0.004911926
multimetro,,,,11.633286500000395,2026-05-28T13:55:00.785,2026-05-28T14:10:30.785,-930,52.0,-0.004939514
multimetro,,,,11.848538099999132,2026-05-28T13:55:01.002,2026-05-28T14:10:31.002,-930,53.0,-0.004956161
