tiempo_s,tiempo_multimetro_s,voltaje_V,indice_multimetro,fecha_hora_corregida_hp,fecha_hora_pc_sin_corregir_hp,error_hp,tiempo_balanza_s,masa_g,indice_balanza,fecha_hora_corregida_balanza,fecha_hora_pc_sin_corregir_balanza,error_balanza,delta_t_balanza_multimetro_s
0.41537140000036743,0.41537140000036743,0.000763267,0,2026-05-28T12:18:32.959,2026-05-28T12:34:02.959,,,,,,,,
0.6312005999989196,0.6312005999989196,0.000763445,1,2026-05-28T12:18:33.176,2026-05-28T12:34:03.176,,1.432229099998949,,0.0,2026-05-28T12:18:33.971,2026-05-28T12:34:03.971,Error desde Arduino: HX711 not found.,0.8010285000000295
0.8462674999991577,0.8462674999991577,0.00076357,2,2026-05-28T12:18:33.387,2026-05-28T12:34:03.387,,1.432229099998949,,0.0,2026-05-28T12:18:33.971,2026-05-28T12:34:03.971,Error desde Arduino: HX711 not found.,0.5859615999997914
1.0610839999990276,1.0610839999990276,0.000763162,3,2026-05-28T12:18:33.597,2026-05-28T12:34:03.597,,1.432229099998949,,0.0,2026-05-28T12:18:33.971,2026-05-28T12:34:03.971,Error desde Arduino: HX711 not found.,0.3711450999999215
1.2761465000003227,1.2761465000003227,0.000763235,4,2026-05-28T12:18:33.814,2026-05-28T12:34:03.814,,1.432229099998949,,0.0,2026-05-28T12:18:33.971,2026-05-28T12:34:03.971,Error desde Arduino: HX711 not found.,0.1560825999986264
1.4910686000002897,1.4910686000002897,0.000762942,5,2026-05-28T12:18:34.032,2026-05-28T12:34:04.032,,1.432229099998949,,0.0,2026-05-28T12:18:33.971,2026-05-28T12:34:03.971,Error desde Arduino: HX711 not found.,-0.05883950000134064
1.7061519999988377,1.7061519999988377,0.000762848,6,2026-05-28T12:18:34.248,2026-05-28T12:34:04.248,,1.432229099998949,,0.0,2026-05-28T12:18:33.971,2026-05-28T12:34:03.971,Error desde Arduino: HX711 not found.,-0.2739228999998886
1.9209128000002238,1.9209128000002238,0.000763026,7,2026-05-28T12:18:34.458,2026-05-28T12:34:04.458,,1.432229099998949,,0.0,2026-05-28T12:18:33.971,2026-05-28T12:34:03.971,Error desde Arduino: HX711 not found.,-0.4886837000012747
2.135956099999021,2.135956099999021,0.000762785,8,2026-05-28T12:18:34.674,2026-05-28T12:34:04.674,,2.4234877999988385,0.02,1.0,2026-05-28T12:18:34.966,2026-05-28T12:34:04.966,,0.28753169999981765
2.350924700000178,2.350924700000178,0.000762733,9,2026-05-28T12:18:34.896,2026-05-28T12:34:04.896,,2.4234877999988385,0.02,1.0,2026-05-28T12:18:34.966,2026-05-28T12:34:04.966,,0.07256309999866062
