sensor,indice_multimetro,voltaje_V,error,tiempo_s,fecha_hora_corregida,fecha_hora_pc_sin_corregir,correccion_reloj_s
multimetro,0,-7.8e-06,,0.41545350000023973,2026-05-28T08:52:59.935,2026-05-28T09:08:29.935,-930
multimetro,1,2.8917e-05,,0.631442600000355,2026-05-28T08:53:00.149,2026-05-28T09:08:30.149,-930
multimetro,2,8.941e-06,,0.8463197000000946,2026-05-28T08:53:00.363,2026-05-28T09:08:30.363,-930
multimetro,3,8.983e-06,,1.0613474000001588,2026-05-28T08:53:00.578,2026-05-28T09:08:30.578,-930
multimetro,4,1.5108e-05,,1.2765598000000864,2026-05-28T08:53:00.795,2026-05-28T09:08:30.795,-930
multimetro,5,5.706e-06,,1.49156290000019,2026-05-28T08:53:01.002,2026-05-28T09:08:31.002,-930
multimetro,6,-3.8612e-05,,1.7151480000002266,2026-05-28T08:53:01.232,2026-05-28T09:08:31.232,-930
multimetro,7,-9.8646e-05,,1.9650136000000202,2026-05-28T08:53:01.482,2026-05-28T09:08:31.482,-930
multimetro,8,-6.0191e-05,,2.2148111999999855,2026-05-28T08:53:01.725,2026-05-28T09:08:31.725,-930
multimetro,9,0.000136568,,2.4647549999999683,2026-05-28T08:53:01.976,2026-05-28T09:08:31.976,-930
multimetro,10,4.0235e-05,,2.714863200000309,2026-05-28T08:53:02.229,2026-05-28T09:08:32.229,-930
multimetro,11,9.192e-06,,2.964806000000408,2026-05-28T08:53:02.479,2026-05-28T09:08:32.479,-930
multimetro,12,-9.7201e-05,,3.2149050000002717,2026-05-28T08:53:02.728,2026-05-28T09:08:32.728,-930
multimetro,13,-0.00011412,,3.4649827000002915,2026-05-28T08:53:02.983,2026-05-28T09:08:32.983,-930
multimetro,14,-0.000126935,,3.714985600000091,2026-05-28T08:53:03.232,2026-05-28T09:08:33.232,-930
multimetro,15,-0.000132547,,3.964595400000235,2026-05-28T08:53:03.482,2026-05-28T09:08:33.482,-930
multimetro,16,-0.000135793,,4.21528330000001,2026-05-28T08:53:03.728,2026-05-28T09:08:33.728,-930
multimetro,17,-6.1028e-05,,4.464709100000164,2026-05-28T08:53:03.983,2026-05-28T09:08:33.983,-930
multimetro,18,-6.3206e-05,,4.714830000000347,2026-05-28T08:53:04.228,2026-05-28T09:08:34.228,-930
multimetro,19,-2.8645e-05,,4.964624800000365,2026-05-28T08:53:04.476,2026-05-28T09:08:34.476,-930
multimetro,20,-3.5911e-05,,5.21513240000013,2026-05-28T08:53:04.728,2026-05-28T09:08:34.728,-930
multimetro,21,-3.9052e-05,,5.464596700000129,2026-05-28T08:53:04.982,2026-05-28T09:08:34.982,-930
multimetro,22,-2.5023e-05,,5.714905499999986,2026-05-28T08:53:05.229,2026-05-28T09:08:35.229,-930
multimetro,23,-5.9374e-05,,5.96518210000022,2026-05-28T08:53:05.482,2026-05-28T09:08:35.482,-930
multimetro,24,-5.5825e-05,,6.214918900000157,2026-05-28T08:53:05.725,2026-05-28T09:08:35.725,-930
multimetro,25,1.0648e-05,,6.464811300000292,2026-05-28T08:53:05.979,2026-05-28T09:08:35.979,-930
multimetro,26,3.1053e-05,,6.714868700000352,2026-05-28T08:53:06.229,2026-05-28T09:08:36.229,-930
multimetro,27,0.000702437,,6.9650807000002715,2026-05-28T08:53:06.478,2026-05-28T09:08:36.478,-930
multimetro,28,0.000153895,,7.215186800000083,2026-05-28T08:53:06.728,2026-05-28T09:08:36.728,-930
multimetro,29,-0.001789379,,7.46509690000039,2026-05-28T08:53:06.978,2026-05-28T09:08:36.978,-930
multimetro,30,0.000467119,,7.714899200000218,2026-05-28T08:53:07.234,2026-05-28T09:08:37.234,-930
multimetro,31,0.00034836,,7.964939800000138,2026-05-28T08:53:07.478,2026-05-28T09:08:37.478,-930
multimetro,32,0.000229005,,8.214974800000164,2026-05-28T08:53:07.735,2026-05-28T09:08:37.735,-930
multimetro,33,0.000201847,,8.464545700000144,2026-05-28T08:53:07.978,2026-05-28T09:08:37.978,-930
multimetro,34,0.000102991,,8.71514070000012,2026-05-28T08:53:08.234,2026-05-28T09:08:38.234,-930
multimetro,35,0.000107346,,8.964568500000041,2026-05-28T08:53:08.478,2026-05-28T09:08:38.478,-930
multimetro,36,5.9604e-05,,9.214554200000293,2026-05-28T08:53:08.734,2026-05-28T09:08:38.734,-930
multimetro,37,-0.001413284,,9.464729900000293,2026-05-28T08:53:08.978,2026-05-28T09:08:38.978,-930
multimetro,38,0.000361877,,9.71457190000001,2026-05-28T08:53:09.234,2026-05-28T09:08:39.234,-930
multimetro,39,0.000544899,,9.964958400000341,2026-05-28T08:53:09.478,2026-05-28T09:08:39.478,-930
multimetro,40,0.000130903,,10.214992300000176,2026-05-28T08:53:09.735,2026-05-28T09:08:39.735,-930
multimetro,41,0.000126056,,10.464540000000397,2026-05-28T08:53:09.978,2026-05-28T09:08:39.978,-930
multimetro,42,6.8085e-05,,10.71512120000034,2026-05-28T08:53:10.235,2026-05-28T09:08:40.235,-930
multimetro,43,6.7153e-05,,10.964536000000408,2026-05-28T08:53:10.478,2026-05-28T09:08:40.478,-930
multimetro,44,3.9565e-05,,11.21517270000004,2026-05-28T08:53:10.735,2026-05-28T09:08:40.735,-930
multimetro,45,4.5502e-05,,11.46510840000019,2026-05-28T08:53:10.978,2026-05-28T09:08:40.978,-930
multimetro,46,4.5114e-05,,11.741961300000185,2026-05-28T08:53:11.261,2026-05-28T09:08:41.261,-930
multimetro,47,1.9505e-05,,11.964559000000008,2026-05-28T08:53:11.478,2026-05-28T09:08:41.478,-930
multimetro,48,3.9262e-05,,12.215057100000195,2026-05-28T08:53:11.735,2026-05-28T09:08:41.735,-930
multimetro,49,1.2616e-05,,12.465129900000193,2026-05-28T08:53:11.978,2026-05-28T09:08:41.978,-930
multimetro,50,3.0279e-05,,12.714995000000272,2026-05-28T08:53:12.235,2026-05-28T09:08:42.235,-930
multimetro,51,-7.01e-07,,12.964503900000182,2026-05-28T08:53:12.478,2026-05-28T09:08:42.478,-930
multimetro,52,2.9588e-05,,13.215151000000333,2026-05-28T08:53:12.734,2026-05-28T09:08:42.734,-930
multimetro,53,-1.694e-05,,13.464668200000233,2026-05-28T08:53:12.978,2026-05-28T09:08:42.978,-930
multimetro,54,5.66e-05,,13.715057300000353,2026-05-28T08:53:13.235,2026-05-28T09:08:43.235,-930
multimetro,55,-1.12e-06,,13.964548800000102,2026-05-28T08:53:13.478,2026-05-28T09:08:43.478,-930
multimetro,56,-0.001480405,,14.215655200000128,2026-05-28T08:53:13.735,2026-05-28T09:08:43.735,-930
multimetro,57,0.000331672,,14.465102099999967,2026-05-28T08:53:13.978,2026-05-28T09:08:43.978,-930
multimetro,58,0.000267042,,14.714998800000103,2026-05-28T08:53:14.235,2026-05-28T09:08:44.235,-930
multimetro,59,0.000177829,,14.965094000000136,2026-05-28T08:53:14.478,2026-05-28T09:08:44.478,-930
multimetro,60,0.000138609,,15.215046000000257,2026-05-28T08:53:14.735,2026-05-28T09:08:44.735,-930
multimetro,61,6.5206e-05,,15.46506410000029,2026-05-28T08:53:14.978,2026-05-28T09:08:44.978,-930
multimetro,62,-0.00220814,,15.714704800000163,2026-05-28T08:53:15.234,2026-05-28T09:08:45.234,-930
multimetro,63,-0.001635494,,15.965325600000142,2026-05-28T08:53:15.479,2026-05-28T09:08:45.479,-930
multimetro,64,0.000872539,,16.21495670000013,2026-05-28T08:53:15.734,2026-05-28T09:08:45.734,-930
multimetro,65,0.002489921,,16.4649859000001,2026-05-28T08:53:15.978,2026-05-28T09:08:45.978,-930
multimetro,66,-5.8034e-05,,16.715009200000168,2026-05-28T08:53:16.234,2026-05-28T09:08:46.234,-930
multimetro,67,6.1552e-05,,16.96498640000027,2026-05-28T08:53:16.478,2026-05-28T09:08:46.478,-930
multimetro,68,2.67e-06,,17.21495380000033,2026-05-28T08:53:16.734,2026-05-28T09:08:46.734,-930
multimetro,69,0.000916502,,17.46492950000038,2026-05-28T08:53:16.978,2026-05-28T09:08:46.978,-930
multimetro,70,-0.000934227,,17.715199900000243,2026-05-28T08:53:17.235,2026-05-28T09:08:47.235,-930
multimetro,71,0.000729512,,17.964558300000135,2026-05-28T08:53:17.478,2026-05-28T09:08:47.478,-930
multimetro,72,-9.2008e-05,,18.21507950000023,2026-05-28T08:53:17.734,2026-05-28T09:08:47.734,-930
multimetro,73,-0.000109022,,18.465080899999975,2026-05-28T08:53:17.978,2026-05-28T09:08:47.978,-930
multimetro,74,5.6087e-05,,18.715090800000326,2026-05-28T08:53:18.234,2026-05-28T09:08:48.234,-930
multimetro,75,5.0799e-05,,18.96455330000026,2026-05-28T08:53:18.478,2026-05-28T09:08:48.478,-930
multimetro,76,0.000138986,,19.214989100000366,2026-05-28T08:53:18.734,2026-05-28T09:08:48.734,-930
multimetro,77,0.000123062,,19.46450240000013,2026-05-28T08:53:18.978,2026-05-28T09:08:48.978,-930
multimetro,78,9.2563e-05,,19.71556290000035,2026-05-28T08:53:19.235,2026-05-28T09:08:49.235,-930
multimetro,79,7.6387e-05,,19.964562699999988,2026-05-28T08:53:19.478,2026-05-28T09:08:49.478,-930
multimetro,80,6.82e-05,,20.21489550000024,2026-05-28T08:53:19.734,2026-05-28T09:08:49.734,-930
multimetro,81,5.3731e-05,,20.46527180000021,2026-05-28T08:53:19.978,2026-05-28T09:08:49.978,-930
multimetro,82,4.5585e-05,,20.71513180000011,2026-05-28T08:53:20.234,2026-05-28T09:08:50.234,-930
multimetro,83,5.4621e-05,,20.965028500000244,2026-05-28T08:53:20.478,2026-05-28T09:08:50.478,-930
multimetro,84,3.6236e-05,,21.214972500000385,2026-05-28T08:53:20.734,2026-05-28T09:08:50.734,-930
multimetro,85,2.407e-05,,21.465521999999964,2026-05-28T08:53:20.978,2026-05-28T09:08:50.978,-930
multimetro,86,4.7166e-05,,21.715078500000345,2026-05-28T08:53:21.235,2026-05-28T09:08:51.235,-930
multimetro,87,3.5021e-05,,21.965073900000334,2026-05-28T08:53:21.478,2026-05-28T09:08:51.478,-930
multimetro,88,3.3357e-05,,22.215175700000145,2026-05-28T08:53:21.734,2026-05-28T09:08:51.734,-930
multimetro,89,3.1441e-05,,22.464627300000302,2026-05-28T08:53:21.978,2026-05-28T09:08:51.978,-930
