indice,error,tiempo_s,fecha_hora_corregida,fecha_hora_pc,masa_g,sensor,voltaje_V
0,,0.41541319999987536,2026-05-28T08:37:00.551,2026-05-28T08:52:30.551,,multimetro,9.0501e-05
1,,0.6316630999999688,2026-05-28T08:37:00.775,2026-05-28T08:52:30.775,,multimetro,8.9946e-05
2,,0.8468659000000116,2026-05-28T08:37:00.991,2026-05-28T08:52:30.991,,multimetro,8.9412e-05
3,,1.0619891999999709,2026-05-28T08:37:01.206,2026-05-28T08:52:31.206,,multimetro,8.9946e-05
4,,1.2768354999998337,2026-05-28T08:37:01.414,2026-05-28T08:52:31.414,,multimetro,9.0783e-05
5,,1.4918724999999995,2026-05-28T08:37:01.636,2026-05-28T08:52:31.636,,multimetro,9.0375e-05
6,,1.7151745999999548,2026-05-28T08:37:01.853,2026-05-28T08:52:31.853,,multimetro,8.9537e-05
0,Error Arduino: HX711 not found.,1.8640255000000252,2026-05-28T08:37:02.004,2026-05-28T08:52:32.004,,balanza,
7,,1.9649737999998251,2026-05-28T08:37:02.109,2026-05-28T08:52:32.109,,multimetro,8.9234e-05
8,,2.214608300000009,2026-05-28T08:37:02.351,2026-05-28T08:52:32.351,,multimetro,9.0134e-05
9,,2.465041799999881,2026-05-28T08:37:02.609,2026-05-28T08:52:32.609,,multimetro,9.0312e-05
10,,2.715171099999907,2026-05-28T08:37:02.851,2026-05-28T08:52:32.851,,multimetro,8.9611e-05
1,,2.8564440000000104,2026-05-28T08:37:02.997,2026-05-28T08:52:32.997,-0.04,balanza,
2,Error Arduino: HX711 not found.,2.8796096999999463,2026-05-28T08:37:03.018,2026-05-28T08:52:33.018,,balanza,
11,,2.964835699999867,2026-05-28T08:37:03.109,2026-05-28T08:52:33.109,,multimetro,8.8993e-05
12,,3.2146095999999034,2026-05-28T08:37:03.351,2026-05-28T08:52:33.351,,multimetro,8.9841e-05
13,,3.4648545000000013,2026-05-28T08:37:03.609,2026-05-28T08:52:33.609,,multimetro,9.0092e-05
14,,3.714539299999842,2026-05-28T08:37:03.851,2026-05-28T08:52:33.851,,multimetro,9.0302e-05
3,,3.87194559999989,2026-05-28T08:37:04.014,2026-05-28T08:52:34.014,-0.06,balanza,
4,Error Arduino: HX711 not found.,3.8950367999998434,2026-05-28T08:37:04.031,2026-05-28T08:52:34.031,,balanza,
15,,3.9646864999999707,2026-05-28T08:37:04.100,2026-05-28T08:52:34.100,,multimetro,8.8344e-05
16,,4.214634799999885,2026-05-28T08:37:04.357,2026-05-28T08:52:34.357,,multimetro,9.1066e-05
