indice,error,tiempo_s,fecha_hora_corregida,fecha_hora_pc,masa_g
0,Error Arduino: HX711 not found.,1.8640255000000252,2026-05-28T08:37:02.004,2026-05-28T08:52:32.004,
1,,2.8564440000000104,2026-05-28T08:37:02.997,2026-05-28T08:52:32.997,-0.04
2,Error Arduino: HX711 not found.,2.8796096999999463,2026-05-28T08:37:03.018,2026-05-28T08:52:33.018,
3,,3.87194559999989,2026-05-28T08:37:04.014,2026-05-28T08:52:34.014,-0.06
4,Error Arduino: HX711 not found.,3.8950367999998434,2026-05-28T08:37:04.031,2026-05-28T08:52:34.031,
5,,4.887544700000035,2026-05-28T08:37:05.031,2026-05-28T08:52:35.031,-0.05
6,Error Arduino: HX711 not found.,4.910820599999852,2026-05-28T08:37:05.047,2026-05-28T08:52:35.047,
7,,5.903147900000022,2026-05-28T08:37:06.048,2026-05-28T08:52:36.048,-0.04
8,Error Arduino: HX711 not found.,5.926257999999962,2026-05-28T08:37:06.064,2026-05-28T08:52:36.064,
9,,6.918760300000031,2026-05-28T08:37:07.057,2026-05-28T08:52:37.057,-0.03
10,Error Arduino: HX711 not found.,6.942018999999846,2026-05-28T08:37:07.081,2026-05-28T08:52:37.081,
11,,7.9343366000000515,2026-05-28T08:37:08.074,2026-05-28T08:52:38.074,-0.02
12,Error Arduino: HX711 not found.,7.957360599999902,2026-05-28T08:37:08.102,2026-05-28T08:52:38.102,
13,,8.949014999999918,2026-05-28T08:37:09.093,2026-05-28T08:52:39.093,0.01
14,Error Arduino: HX711 not found.,8.972136500000033,2026-05-28T08:37:09.114,2026-05-28T08:52:39.114,
15,,9.963633200000004,2026-05-28T08:37:10.107,2026-05-28T08:52:40.107,0.07
16,Error Arduino: HX711 not found.,9.986694299999954,2026-05-28T08:37:10.131,2026-05-28T08:52:40.131,
17,,10.97827889999985,2026-05-28T08:37:11.114,2026-05-28T08:52:41.114,0.0
18,Error Arduino: HX711 not found.,11.001444099999844,2026-05-28T08:37:11.145,2026-05-28T08:52:41.145,
19,,11.99381429999994,2026-05-28T08:37:12.131,2026-05-28T08:52:42.131,-0.02
20,Error Arduino: HX711 not found.,12.016899599999988,2026-05-28T08:37:12.161,2026-05-28T08:52:42.161,
21,,13.009459200000038,2026-05-28T08:37:13.153,2026-05-28T08:52:43.153,-0.01
22,,13.021542499999896,2026-05-28T08:37:13.166,2026-05-28T08:52:43.166,-0.0
23,Error Arduino: HX711 not found.,13.044646199999988,2026-05-28T08:37:13.189,2026-05-28T08:52:43.189,
24,,14.037194900000031,2026-05-28T08:37:14.181,2026-05-28T08:52:44.181,46.49
25,Error Arduino: HX711 not found.,14.060335399999985,2026-05-28T08:37:14.199,2026-05-28T08:52:44.199,
26,,15.052816399999983,2026-05-28T08:37:15.197,2026-05-28T08:52:45.197,48.62
27,Error Arduino: HX711 not found.,15.075980299999856,2026-05-28T08:37:15.214,2026-05-28T08:52:45.214,
28,,16.068411999999853,2026-05-28T08:37:16.206,2026-05-28T08:52:46.206,-0.07
29,Error Arduino: HX711 not found.,16.091785200000004,2026-05-28T08:37:16.232,2026-05-28T08:52:46.232,
30,,17.083858599999985,2026-05-28T08:37:17.224,2026-05-28T08:52:47.224,-0.07
31,Error Arduino: HX711 not found.,17.10714199999984,2026-05-28T08:37:17.248,2026-05-28T08:52:47.248,
32,,18.0995132999999,2026-05-28T08:37:18.241,2026-05-28T08:52:48.241,-0.02
33,Error Arduino: HX711 not found.,18.122702899999922,2026-05-28T08:37:18.264,2026-05-28T08:52:48.264,
34,,19.11516659999984,2026-05-28T08:37:19.257,2026-05-28T08:52:49.257,-0.02
35,Error Arduino: HX711 not found.,19.138250799999923,2026-05-28T08:37:19.282,2026-05-28T08:52:49.282,
36,,20.130838399999902,2026-05-28T08:37:20.274,2026-05-28T08:52:50.274,-0.08
37,Error Arduino: HX711 not found.,20.154068499999994,2026-05-28T08:37:20.298,2026-05-28T08:52:50.298,
38,,21.146346699999867,2026-05-28T08:37:21.291,2026-05-28T08:52:51.291,-0.03
39,Error Arduino: HX711 not found.,21.169378099999903,2026-05-28T08:37:21.314,2026-05-28T08:52:51.314,
40,,22.161976200000026,2026-05-28T08:37:22.298,2026-05-28T08:52:52.298,-0.02
41,Error Arduino: HX711 not found.,22.185150199999953,2026-05-28T08:37:22.324,2026-05-28T08:52:52.324,
42,,23.177518999999847,2026-05-28T08:37:23.316,2026-05-28T08:52:53.316,-0.03
43,Error Arduino: HX711 not found.,23.200873099999853,2026-05-28T08:37:23.345,2026-05-28T08:52:53.345,
44,,24.193232500000022,2026-05-28T08:37:24.331,2026-05-28T08:52:54.331,-0.05
45,Error Arduino: HX711 not found.,24.216348400000015,2026-05-28T08:37:24.360,2026-05-28T08:52:54.360,
46,,25.210053499999958,2026-05-28T08:37:25.354,2026-05-28T08:52:55.354,432.67
47,Error Arduino: HX711 not found.,25.23321039999996,2026-05-28T08:37:25.374,2026-05-28T08:52:55.374,
48,,26.226910899999893,2026-05-28T08:37:26.364,2026-05-28T08:52:56.364,628.13
49,Error Arduino: HX711 not found.,26.250347799999872,2026-05-28T08:37:26.394,2026-05-28T08:52:56.394,
50,,27.24372070000004,2026-05-28T08:37:27.381,2026-05-28T08:52:57.381,610.15
51,Error Arduino: HX711 not found.,27.266834300000028,2026-05-28T08:37:27.408,2026-05-28T08:52:57.408,
52,,28.260584899999913,2026-05-28T08:37:28.398,2026-05-28T08:52:58.398,623.01
53,Error Arduino: HX711 not found.,28.283691599999884,2026-05-28T08:37:28.428,2026-05-28T08:52:58.428,
54,,29.27743579999992,2026-05-28T08:37:29.414,2026-05-28T08:52:59.414,695.64
55,Error Arduino: HX711 not found.,29.30050540000002,2026-05-28T08:37:29.441,2026-05-28T08:52:59.441,
56,,30.294191299999966,2026-05-28T08:37:30.431,2026-05-28T08:53:00.431,686.44
57,Error Arduino: HX711 not found.,30.317204599999968,2026-05-28T08:37:30.461,2026-05-28T08:53:00.461,
58,,31.311001999999917,2026-05-28T08:37:31.447,2026-05-28T08:53:01.447,662.27
59,Error Arduino: HX711 not found.,31.33396229999994,2026-05-28T08:37:31.474,2026-05-28T08:53:01.474,
60,,32.3278413999999,2026-05-28T08:37:32.464,2026-05-28T08:53:02.464,647.36
61,Error Arduino: HX711 not found.,32.350962799999934,2026-05-28T08:37:32.491,2026-05-28T08:53:02.491,
62,,33.344647399999985,2026-05-28T08:37:33.481,2026-05-28T08:53:03.481,661.83
63,Error Arduino: HX711 not found.,33.367751,2026-05-28T08:37:33.508,2026-05-28T08:53:03.508,
64,,34.361482300000034,2026-05-28T08:37:34.497,2026-05-28T08:53:04.497,662.46
65,Error Arduino: HX711 not found.,34.38479189999998,2026-05-28T08:37:34.524,2026-05-28T08:53:04.524,
66,,35.37820169999986,2026-05-28T08:37:35.514,2026-05-28T08:53:05.514,612.15
67,Error Arduino: HX711 not found.,35.40128249999998,2026-05-28T08:37:35.540,2026-05-28T08:53:05.540,
68,,36.395050200000014,2026-05-28T08:37:36.531,2026-05-28T08:53:06.531,607.42
69,Error Arduino: HX711 not found.,36.41808509999987,2026-05-28T08:37:36.557,2026-05-28T08:53:06.557,
