sensor,indice_balanza,masa_g,error,tiempo_s,fecha_hora_corregida,fecha_hora_pc_sin_corregir,correccion_reloj_s
balanza,0,,Error desde Arduino: HX711 not found.,1.4217609999996057,2026-05-28T10:14:46.773,2026-05-28T10:30:16.773,-930
balanza,1,0.02,,2.4130427000000054,2026-05-28T10:14:47.765,2026-05-28T10:30:17.765,-930
balanza,2,,Error desde Arduino: HX711 not found.,2.4362067000001844,2026-05-28T10:14:47.795,2026-05-28T10:30:17.795,-930
balanza,3,-0.01,,3.4285596999998234,2026-05-28T10:14:48.786,2026-05-28T10:30:18.786,-930
balanza,4,,Error desde Arduino: HX711 not found.,3.4517155000003186,2026-05-28T10:14:48.806,2026-05-28T10:30:18.806,-930
balanza,5,-0.03,,4.444179500000246,2026-05-28T10:14:49.804,2026-05-28T10:30:19.804,-930
balanza,6,,Error desde Arduino: HX711 not found.,4.467484699999659,2026-05-28T10:14:49.819,2026-05-28T10:30:19.819,-930
balanza,7,-0.02,,5.459713299999748,2026-05-28T10:14:50.818,2026-05-28T10:30:20.818,-930
