tiempo_s,tiempo_multimetro_s,voltaje_V,indice_multimetro,fecha_hora_corregida_hp,fecha_hora_pc_sin_corregir_hp,error_hp,tiempo_balanza_s,masa_g,indice_balanza,fecha_hora_corregida_balanza,fecha_hora_pc_sin_corregir_balanza,error_balanza,delta_t_balanza_multimetro_s
0.5215421000002607,0.5215421000002607,0.001230721,0,2026-05-28T10:14:45.872,2026-05-28T10:30:15.872,,1.4217609999996057,,0,2026-05-28T10:14:46.773,2026-05-28T10:30:16.773,Error desde Arduino: HX711 not found.,0.900218899999345
1.047875600000225,1.047875600000225,0.001232417,1,2026-05-28T10:14:46.406,2026-05-28T10:30:16.406,,1.4217609999996057,,0,2026-05-28T10:14:46.773,2026-05-28T10:30:16.773,Error desde Arduino: HX711 not found.,0.37388539999938075
1.5728915999998208,1.5728915999998208,0.001233841,2,2026-05-28T10:14:46.932,2026-05-28T10:30:16.932,,1.4217609999996057,,0,2026-05-28T10:14:46.773,2026-05-28T10:30:16.773,Error desde Arduino: HX711 not found.,-0.15113060000021505
2.0979266000003918,2.0979266000003918,0.00123539,3,2026-05-28T10:14:47.457,2026-05-28T10:30:17.457,,2.4130427000000054,0.02,1,2026-05-28T10:14:47.765,2026-05-28T10:30:17.765,,0.31511609999961365
2.6226370000003953,2.6226370000003953,0.001236772,4,2026-05-28T10:14:47.977,2026-05-28T10:30:17.977,,2.4362067000001844,,2,2026-05-28T10:14:47.795,2026-05-28T10:30:17.795,Error desde Arduino: HX711 not found.,-0.186430300000211
3.1477327000002333,3.1477327000002333,0.001238049,5,2026-05-28T10:14:48.505,2026-05-28T10:30:18.505,,3.4285596999998234,-0.01,3,2026-05-28T10:14:48.786,2026-05-28T10:30:18.786,,0.28082699999959004
3.6727247999997417,3.6727247999997417,0.001239002,6,2026-05-28T10:14:49.033,2026-05-28T10:30:19.033,,3.4517155000003186,,4,2026-05-28T10:14:48.806,2026-05-28T10:30:18.806,Error desde Arduino: HX711 not found.,-0.2210092999994231
4.1979895000004035,4.1979895000004035,0.001216356,7,2026-05-28T10:14:49.557,2026-05-28T10:30:19.557,,4.444179500000246,-0.03,5,2026-05-28T10:14:49.804,2026-05-28T10:30:19.804,,0.24618999999984226
4.722781899999973,4.722781899999973,0.001173357,8,2026-05-28T10:14:50.076,2026-05-28T10:30:20.076,,4.467484699999659,,6,2026-05-28T10:14:49.819,2026-05-28T10:30:19.819,Error desde Arduino: HX711 not found.,-0.25529720000031375
5.2476458000001,5.2476458000001,0.00113531,9,2026-05-28T10:14:50.599,2026-05-28T10:30:20.599,,5.459713299999748,-0.02,7,2026-05-28T10:14:50.818,2026-05-28T10:30:20.818,,0.21206749999964813
