sensor,indice_balanza,masa_g,error,tiempo_s,fecha_hora_corregida,fecha_hora_pc_sin_corregir,correccion_reloj_s,indice_multimetro,voltaje_V
multimetro,,,,0.5215421000002607,2026-05-28T10:14:45.872,2026-05-28T10:30:15.872,-930,0.0,0.001230721
multimetro,,,,1.047875600000225,2026-05-28T10:14:46.406,2026-05-28T10:30:16.406,-930,1.0,0.001232417
balanza,0.0,,Error desde Arduino: HX711 not found.,1.4217609999996057,2026-05-28T10:14:46.773,2026-05-28T10:30:16.773,-930,,
multimetro,,,,1.5728915999998208,2026-05-28T10:14:46.932,2026-05-28T10:30:16.932,-930,2.0,0.001233841
multimetro,,,,2.0979266000003918,2026-05-28T10:14:47.457,2026-05-28T10:30:17.457,-930,3.0,0.00123539
balanza,1.0,0.02,,2.4130427000000054,2026-05-28T10:14:47.765,2026-05-28T10:30:17.765,-930,,
balanza,2.0,,Error desde Arduino: HX711 not found.,2.4362067000001844,2026-05-28T10:14:47.795,2026-05-28T10:30:17.795,-930,,
multimetro,,,,2.6226370000003953,2026-05-28T10:14:47.977,2026-05-28T10:30:17.977,-930,4.0,0.001236772
multimetro,,,,3.1477327000002333,2026-05-28T10:14:48.505,2026-05-28T10:30:18.505,-930,5.0,0.001238049
balanza,3.0,-0.01,,3.4285596999998234,2026-05-28T10:14:48.786,2026-05-28T10:30:18.786,-930,,
balanza,4.0,,Error desde Arduino: HX711 not found.,3.4517155000003186,2026-05-28T10:14:48.806,2026-05-28T10:30:18.806,-930,,
multimetro,,,,3.6727247999997417,2026-05-28T10:14:49.033,2026-05-28T10:30:19.033,-930,6.0,0.001239002
multimetro,,,,4.1979895000004035,2026-05-28T10:14:49.557,2026-05-28T10:30:19.557,-930,7.0,0.001216356
balanza,5.0,-0.03,,4.444179500000246,2026-05-28T10:14:49.804,2026-05-28T10:30:19.804,-930,,
balanza,6.0,,Error desde Arduino: HX711 not found.,4.467484699999659,2026-05-28T10:14:49.819,2026-05-28T10:30:19.819,-930,,
multimetro,,,,4.722781899999973,2026-05-28T10:14:50.076,2026-05-28T10:30:20.076,-930,8.0,0.001173357
multimetro,,,,5.2476458000001,2026-05-28T10:14:50.599,2026-05-28T10:30:20.599,-930,9.0,0.00113531
balanza,7.0,-0.02,,5.459713299999748,2026-05-28T10:14:50.818,2026-05-28T10:30:20.818,-930,,
