indice,error,voltaje_V,tiempo_s,fecha_hora_corregida,fecha_hora_pc
0,,-5.34e-07,0.41538100000002487,2026-05-28T08:41:29.542,2026-05-28T08:56:59.542
1,,5.35e-06,2.2249658000000636,2026-05-28T08:41:31.348,2026-05-28T08:57:01.348
2,,1.7516e-05,4.234927299999981,2026-05-28T08:41:33.361,2026-05-28T08:57:03.361
3,,5.214e-06,6.24448510000002,2026-05-28T08:41:35.375,2026-05-28T08:57:05.375
4,,1.226e-05,8.254849599999943,2026-05-28T08:41:37.376,2026-05-28T08:57:07.376
5,,7.496e-06,10.264636800000062,2026-05-28T08:41:39.395,2026-05-28T08:57:09.395
6,,2.597e-06,12.27472499999999,2026-05-28T08:41:41.403,2026-05-28T08:57:11.403
7,,9.151e-06,14.284756499999958,2026-05-28T08:41:43.408,2026-05-28T08:57:13.408
8,,9.726e-06,16.294509500000004,2026-05-28T08:41:45.421,2026-05-28T08:57:15.421
9,,1.0742e-05,18.304926100000102,2026-05-28T08:41:47.433,2026-05-28T08:57:17.433
10,,1.1182e-05,20.314675699999952,2026-05-28T08:41:49.439,2026-05-28T08:57:19.439
11,,4.816e-06,22.324799799999937,2026-05-28T08:41:51.447,2026-05-28T08:57:21.447
12,,1.8123e-05,24.3347318000001,2026-05-28T08:41:53.466,2026-05-28T08:57:23.466
13,,9.329e-06,26.344904799999995,2026-05-28T08:41:55.476,2026-05-28T08:57:25.476
14,,4.0947e-05,28.354978999999958,2026-05-28T08:41:57.480,2026-05-28T08:57:27.480
15,,7.4293e-05,30.364556799999946,2026-05-28T08:41:59.490,2026-05-28T08:57:29.490
16,,4.083e-06,32.374723299999914,2026-05-28T08:42:01.504,2026-05-28T08:57:31.504
17,,3.0289e-05,34.38497230000007,2026-05-28T08:42:03.513,2026-05-28T08:57:33.513
18,,1.025e-05,36.394927800000005,2026-05-28T08:42:05.523,2026-05-28T08:57:35.523
19,,4.212e-05,38.404997300000105,2026-05-28T08:42:07.530,2026-05-28T08:57:37.530
20,,8.962e-06,40.41449480000006,2026-05-28T08:42:09.542,2026-05-28T08:57:39.542
21,,1.159e-05,42.42471980000005,2026-05-28T08:42:11.550,2026-05-28T08:57:41.550
22,,8.962e-06,44.43490079999992,2026-05-28T08:42:13.566,2026-05-28T08:57:43.566
23,,1.1894e-05,46.44498799999997,2026-05-28T08:42:15.575,2026-05-28T08:57:45.575
24,,2.293e-06,48.45470360000013,2026-05-28T08:42:17.583,2026-05-28T08:57:47.583
25,,1.3202e-05,50.46457839999994,2026-05-28T08:42:19.590,2026-05-28T08:57:49.590
26,,5.141e-06,52.4745934,2026-05-28T08:42:21.604,2026-05-28T08:57:51.604
27,,1.1559e-05,54.48495200000002,2026-05-28T08:42:23.613,2026-05-28T08:57:53.613
28,,4.167e-06,56.494610400000056,2026-05-28T08:42:25.623,2026-05-28T08:57:55.623
29,,1.5485e-05,58.50507369999991,2026-05-28T08:42:27.630,2026-05-28T08:57:57.630
30,,7.235e-06,60.51447110000004,2026-05-28T08:42:29.640,2026-05-28T08:57:59.640
31,,1.381e-05,62.5248289000001,2026-05-28T08:42:31.647,2026-05-28T08:58:01.647
32,,9.863e-06,64.53470740000012,2026-05-28T08:42:33.666,2026-05-28T08:58:03.666
33,,1.2679e-05,66.54481190000001,2026-05-28T08:42:35.676,2026-05-28T08:58:05.676
34,,1.0574e-05,68.55491260000008,2026-05-28T08:42:37.680,2026-05-28T08:58:07.680
35,,1.1904e-05,70.56444660000011,2026-05-28T08:42:39.690,2026-05-28T08:58:09.690
36,,1.158e-05,72.57546619999994,2026-05-28T08:42:41.706,2026-05-28T08:58:11.706
37,,1.2354e-05,74.58467599999994,2026-05-28T08:42:43.713,2026-05-28T08:58:13.713
38,,1.1464e-05,76.59464400000002,2026-05-28T08:42:45.723,2026-05-28T08:58:15.723
39,,1.0951e-05,78.60499709999999,2026-05-28T08:42:47.730,2026-05-28T08:58:17.730
40,,1.1559e-05,80.61511079999991,2026-05-28T08:42:49.740,2026-05-28T08:58:19.740
41,,1.0009e-05,82.62453860000005,2026-05-28T08:42:51.747,2026-05-28T08:58:21.747
42,,1.2386e-05,84.63463120000006,2026-05-28T08:42:53.766,2026-05-28T08:58:23.766
43,,9.527e-06,86.65152839999996,2026-05-28T08:42:55.780,2026-05-28T08:58:25.780
44,,1.0909e-05,88.65483199999994,2026-05-28T08:42:57.781,2026-05-28T08:58:27.781
45,,1.0407e-05,90.66507290000004,2026-05-28T08:42:59.792,2026-05-28T08:58:29.792
46,,1.2805e-05,92.67502409999997,2026-05-28T08:43:01.804,2026-05-28T08:58:31.804
47,,1.3066e-05,94.68470120000006,2026-05-28T08:43:03.815,2026-05-28T08:58:33.815
48,,1.3925e-05,96.69464990000006,2026-05-28T08:43:05.824,2026-05-28T08:58:35.824
49,,1.2051e-05,98.7048205000001,2026-05-28T08:43:07.830,2026-05-28T08:58:37.830
