ind_hp,error_hp,voltaje_V,t_hp,fecha_hora_corregida_hp,fecha_hora_pc_hp,sensor_hp,tiempo_s,ind_bal,error_bal,t_bal,fecha_hora_corregida_bal,fecha_hora_pc_bal,masa_g,sensor_bal,delta_t_s
0,,-5.34e-07,0.41538100000002487,2026-05-28T08:41:29.542,2026-05-28T08:56:59.542,multimetro,0.41538100000002487,,,,,,,,
1,,5.35e-06,2.2249658000000636,2026-05-28T08:41:31.348,2026-05-28T08:57:01.348,multimetro,2.2249658000000636,0.0,Error Arduino: HX711 not found.,1.9757621000001109,2026-05-28T08:41:31.104,2026-05-28T08:57:01.104,,balanza,-0.24920369999995273
2,,1.7516e-05,4.234927299999981,2026-05-28T08:41:33.361,2026-05-28T08:57:03.361,multimetro,4.234927299999981,4.0,Error Arduino: HX711 not found.,4.00708520000012,2026-05-28T08:41:33.133,2026-05-28T08:57:03.133,,balanza,-0.2278420999998616
3,,5.214e-06,6.24448510000002,2026-05-28T08:41:35.375,2026-05-28T08:57:05.375,multimetro,6.24448510000002,8.0,Error Arduino: HX711 not found.,6.037466100000074,2026-05-28T08:41:35.168,2026-05-28T08:57:05.168,,balanza,-0.20701899999994566
4,,1.226e-05,8.254849599999943,2026-05-28T08:41:37.376,2026-05-28T08:57:07.376,multimetro,8.254849599999943,12.0,Error Arduino: HX711 not found.,8.067710000000034,2026-05-28T08:41:37.194,2026-05-28T08:57:07.194,,balanza,-0.18713959999990948
5,,7.496e-06,10.264636800000062,2026-05-28T08:41:39.395,2026-05-28T08:57:09.395,multimetro,10.264636800000062,16.0,Error Arduino: HX711 not found.,10.098025400000097,2026-05-28T08:41:39.224,2026-05-28T08:57:09.224,,balanza,-0.16661139999996522
6,,2.597e-06,12.27472499999999,2026-05-28T08:41:41.403,2026-05-28T08:57:11.403,multimetro,12.27472499999999,20.0,Error Arduino: HX711 not found.,12.131413399999929,2026-05-28T08:41:41.254,2026-05-28T08:57:11.254,,balanza,-0.14331160000006093
7,,9.151e-06,14.284756499999958,2026-05-28T08:41:43.408,2026-05-28T08:57:13.408,multimetro,14.284756499999958,24.0,Error Arduino: HX711 not found.,14.166979900000115,2026-05-28T08:41:43.297,2026-05-28T08:57:13.297,,balanza,-0.1177765999998428
8,,9.726e-06,16.294509500000004,2026-05-28T08:41:45.421,2026-05-28T08:57:15.421,multimetro,16.294509500000004,28.0,Error Arduino: HX711 not found.,16.202530600000046,2026-05-28T08:41:45.332,2026-05-28T08:57:15.332,,balanza,-0.09197889999995823
9,,1.0742e-05,18.304926100000102,2026-05-28T08:41:47.433,2026-05-28T08:57:17.433,multimetro,18.304926100000102,32.0,Error Arduino: HX711 not found.,18.238072399999965,2026-05-28T08:41:47.363,2026-05-28T08:57:17.363,,balanza,-0.0668537000001379
10,,1.1182e-05,20.314675699999952,2026-05-28T08:41:49.439,2026-05-28T08:57:19.439,multimetro,20.314675699999952,36.0,Error Arduino: HX711 not found.,20.27351449999992,2026-05-28T08:41:49.404,2026-05-28T08:57:19.404,,balanza,-0.041161200000033205
11,,4.816e-06,22.324799799999937,2026-05-28T08:41:51.447,2026-05-28T08:57:21.447,multimetro,22.324799799999937,41.0,Error Arduino: HX711 not found.,22.323028300000033,2026-05-28T08:41:51.447,2026-05-28T08:57:21.447,,balanza,-0.0017714999999043357
12,,1.8123e-05,24.3347318000001,2026-05-28T08:41:53.466,2026-05-28T08:57:23.466,multimetro,24.3347318000001,44.0,,24.333283299999948,2026-05-28T08:41:53.464,2026-05-28T08:57:23.464,58.04,balanza,-0.0014485000001513981
