sensor,indice_multimetro,voltaje_V,error,tiempo_s,fecha_hora_corregida,fecha_hora_pc_sin_corregir,correccion_reloj_s
multimetro,0,0.000407326,,0.4155471999984002,2026-05-28T13:03:27.156,2026-05-28T13:18:57.156,-930
multimetro,1,2.4415e-05,,0.6552645000010671,2026-05-28T13:03:27.396,2026-05-28T13:18:57.396,-930
multimetro,2,-0.000256624,,0.8699225999989721,2026-05-28T13:03:27.601,2026-05-28T13:18:57.601,-930
multimetro,3,-0.000387978,,1.0849125999993703,2026-05-28T13:03:27.818,2026-05-28T13:18:57.818,-930
multimetro,4,-0.000530744,,1.300101500000892,2026-05-28T13:03:28.041,2026-05-28T13:18:58.041,-930
multimetro,5,-0.000618574,,1.5152784999991127,2026-05-28T13:03:28.256,2026-05-28T13:18:58.256,-930
multimetro,6,-0.000751184,,1.7302512999995088,2026-05-28T13:03:28.461,2026-05-28T13:18:58.461,-930
multimetro,7,-0.00094386,,1.945188199999393,2026-05-28T13:03:28.681,2026-05-28T13:18:58.681,-930
multimetro,8,-0.001093987,,2.160308400001668,2026-05-28T13:03:28.901,2026-05-28T13:18:58.901,-930
multimetro,9,-0.001239412,,2.375248600001214,2026-05-28T13:03:29.109,2026-05-28T13:18:59.109,-930
multimetro,10,-0.001318522,,2.5903502000001026,2026-05-28T13:03:29.326,2026-05-28T13:18:59.326,-930
multimetro,11,-0.001446483,,2.805439399999159,2026-05-28T13:03:29.544,2026-05-28T13:18:59.544,-930
multimetro,12,-0.001998847,,3.0206753999991633,2026-05-28T13:03:29.759,2026-05-28T13:18:59.759,-930
multimetro,13,-0.002189765,,3.2355523000005633,2026-05-28T13:03:29.976,2026-05-28T13:18:59.976,-930
multimetro,14,-0.002187179,,3.4508382999993046,2026-05-28T13:03:30.192,2026-05-28T13:19:00.192,-930
multimetro,15,-0.002140672,,3.665859000000637,2026-05-28T13:03:30.398,2026-05-28T13:19:00.398,-930
multimetro,16,-0.002335735,,3.8811671000003116,2026-05-28T13:03:30.614,2026-05-28T13:19:00.614,-930
multimetro,17,-0.001936384,,4.096290000001318,2026-05-28T13:03:30.831,2026-05-28T13:19:00.831,-930
multimetro,18,-0.001988461,,4.311407599998347,2026-05-28T13:03:31.046,2026-05-28T13:19:01.046,-930
multimetro,19,-0.001762963,,4.52636480000001,2026-05-28T13:03:31.259,2026-05-28T13:19:01.259,-930
