sensor,indice_balanza,masa_g,error,tiempo_s,fecha_hora_corregida,fecha_hora_pc_sin_corregir,correccion_reloj_s,indice_multimetro,voltaje_V
multimetro,,,,0.4155471999984002,2026-05-28T13:03:27.156,2026-05-28T13:18:57.156,-930,0.0,0.000407326
multimetro,,,,0.6552645000010671,2026-05-28T13:03:27.396,2026-05-28T13:18:57.396,-930,1.0,2.4415e-05
multimetro,,,,0.8699225999989721,2026-05-28T13:03:27.601,2026-05-28T13:18:57.601,-930,2.0,-0.000256624
balanza,0.0,,Error desde Arduino: HX711 not found.,1.0578906000009738,2026-05-28T13:03:27.798,2026-05-28T13:18:57.798,-930,,
multimetro,,,,1.0849125999993703,2026-05-28T13:03:27.818,2026-05-28T13:18:57.818,-930,3.0,-0.000387978
multimetro,,,,1.300101500000892,2026-05-28T13:03:28.041,2026-05-28T13:18:58.041,-930,4.0,-0.000530744
multimetro,,,,1.5152784999991127,2026-05-28T13:03:28.256,2026-05-28T13:18:58.256,-930,5.0,-0.000618574
multimetro,,,,1.7302512999995088,2026-05-28T13:03:28.461,2026-05-28T13:18:58.461,-930,6.0,-0.000751184
multimetro,,,,1.945188199999393,2026-05-28T13:03:28.681,2026-05-28T13:18:58.681,-930,7.0,-0.00094386
balanza,1.0,-35.67,,2.0513195999992604,2026-05-28T13:03:28.788,2026-05-28T13:18:58.788,-930,,
balanza,2.0,,Error desde Arduino: HX711 not found.,2.0743222999990394,2026-05-28T13:03:28.811,2026-05-28T13:18:58.811,-930,,
multimetro,,,,2.160308400001668,2026-05-28T13:03:28.901,2026-05-28T13:18:58.901,-930,8.0,-0.001093987
multimetro,,,,2.375248600001214,2026-05-28T13:03:29.109,2026-05-28T13:18:59.109,-930,9.0,-0.001239412
multimetro,,,,2.5903502000001026,2026-05-28T13:03:29.326,2026-05-28T13:18:59.326,-930,10.0,-0.001318522
multimetro,,,,2.805439399999159,2026-05-28T13:03:29.544,2026-05-28T13:18:59.544,-930,11.0,-0.001446483
multimetro,,,,3.0206753999991633,2026-05-28T13:03:29.759,2026-05-28T13:18:59.759,-930,12.0,-0.001998847
multimetro,,,,3.2355523000005633,2026-05-28T13:03:29.976,2026-05-28T13:18:59.976,-930,13.0,-0.002189765
multimetro,,,,3.4508382999993046,2026-05-28T13:03:30.192,2026-05-28T13:19:00.192,-930,14.0,-0.002187179
