sensor,indice_balanza,masa_g,error,tiempo_s,fecha_hora_corregida,fecha_hora_pc_sin_corregir,correccion_reloj_s
balanza,0,,Error desde Arduino: HX711 not found.,1.0578906000009738,2026-05-28T13:03:27.798,2026-05-28T13:18:57.798,-930
balanza,1,-35.67,,2.0513195999992604,2026-05-28T13:03:28.788,2026-05-28T13:18:58.788,-930
balanza,2,,Error desde Arduino: HX711 not found.,2.0743222999990394,2026-05-28T13:03:28.811,2026-05-28T13:18:58.811,-930
balanza,3,,No llegó respuesta desde Arduino.,4.080094199998712,2026-05-28T13:03:30.821,2026-05-28T13:19:00.821,-930
balanza,4,-3.17,,5.355958399999508,2026-05-28T13:03:32.095,2026-05-28T13:19:02.095,-930
balanza,5,,Error desde Arduino: HX711 not found.,5.37920049999957,2026-05-28T13:03:32.115,2026-05-28T13:19:02.115,-930
balanza,6,-5.84,,6.265289200000552,2026-05-28T13:03:33.006,2026-05-28T13:19:03.006,-930
balanza,7,,Error desde Arduino: HX711 not found.,6.28839969999899,2026-05-28T13:03:33.024,2026-05-28T13:19:03.024,-930
balanza,8,112.76,,7.2846061999989615,2026-05-28T13:03:34.023,2026-05-28T13:19:04.023,-930
balanza,9,,Error desde Arduino: HX711 not found.,7.307724099999177,2026-05-28T13:03:34.048,2026-05-28T13:19:04.048,-930
balanza,10,-12.86,,8.304009200001019,2026-05-28T13:03:35.044,2026-05-28T13:19:05.044,-930
balanza,11,,Error desde Arduino: HX711 not found.,8.32720479999989,2026-05-28T13:03:35.066,2026-05-28T13:19:05.066,-930
balanza,12,-22.67,,9.32330329999968,2026-05-28T13:03:36.056,2026-05-28T13:19:06.056,-930
balanza,13,,Error desde Arduino: HX711 not found.,9.34656299999915,2026-05-28T13:03:36.087,2026-05-28T13:19:06.087,-930
balanza,14,-26.39,,10.342754900000728,2026-05-28T13:03:37.083,2026-05-28T13:19:07.083,-930
balanza,15,,Error desde Arduino: HX711 not found.,10.366037600000709,2026-05-28T13:03:37.107,2026-05-28T13:19:07.107,-930
balanza,16,-28.0,,11.362192500000674,2026-05-28T13:03:38.100,2026-05-28T13:19:08.100,-930
balanza,17,,Error desde Arduino: HX711 not found.,11.385388999999122,2026-05-28T13:03:38.123,2026-05-28T13:19:08.123,-930
balanza,18,-34.2,,12.381550400001288,2026-05-28T13:03:39.122,2026-05-28T13:19:09.122,-930
balanza,19,,Error desde Arduino: HX711 not found.,12.404719300000579,2026-05-28T13:03:39.144,2026-05-28T13:19:09.144,-930
balanza,20,-34.9,,13.400715700001456,2026-05-28T13:03:40.141,2026-05-28T13:19:10.141,-930
balanza,21,,Error desde Arduino: HX711 not found.,13.423967899998388,2026-05-28T13:03:40.156,2026-05-28T13:19:10.156,-930
balanza,22,-37.68,,14.419778600000427,2026-05-28T13:03:41.158,2026-05-28T13:19:11.158,-930
balanza,23,,Error desde Arduino: HX711 not found.,14.442840499999875,2026-05-28T13:03:41.184,2026-05-28T13:19:11.184,-930
balanza,24,-41.15,,15.438696699999127,2026-05-28T13:03:42.173,2026-05-28T13:19:12.173,-930
balanza,25,,Error desde Arduino: HX711 not found.,15.461960500000714,2026-05-28T13:03:42.200,2026-05-28T13:19:12.200,-930
balanza,26,-39.34,,16.457466299998487,2026-05-28T13:03:43.190,2026-05-28T13:19:13.190,-930
balanza,27,,Error desde Arduino: HX711 not found.,16.480755299999146,2026-05-28T13:03:43.216,2026-05-28T13:19:13.216,-930
balanza,28,-42.76,,17.476154600000882,2026-05-28T13:03:44.216,2026-05-28T13:19:14.216,-930
balanza,29,,Error desde Arduino: HX711 not found.,17.499394499998743,2026-05-28T13:03:44.240,2026-05-28T13:19:14.240,-930
balanza,30,-40.43,,18.494636999999784,2026-05-28T13:03:45.233,2026-05-28T13:19:15.233,-930
balanza,31,,Error desde Arduino: HX711 not found.,18.517942800001038,2026-05-28T13:03:45.258,2026-05-28T13:19:15.258,-930
balanza,32,-43.47,,19.513220799999544,2026-05-28T13:03:46.254,2026-05-28T13:19:16.254,-930
balanza,33,,Error desde Arduino: HX711 not found.,19.536334100001113,2026-05-28T13:03:46.273,2026-05-28T13:19:16.273,-930
balanza,34,-43.86,,20.53173550000065,2026-05-28T13:03:47.273,2026-05-28T13:19:17.273,-930
balanza,35,,Error desde Arduino: HX711 not found.,20.554882199998247,2026-05-28T13:03:47.294,2026-05-28T13:19:17.294,-930
balanza,36,-48.6,,21.549907399999938,2026-05-28T13:03:48.290,2026-05-28T13:19:18.290,-930
balanza,37,,Error desde Arduino: HX711 not found.,21.573195699998905,2026-05-28T13:03:48.306,2026-05-28T13:19:18.306,-930
balanza,38,-48.85,,22.568234200000006,2026-05-28T13:03:49.306,2026-05-28T13:19:19.306,-930
balanza,39,,Error desde Arduino: HX711 not found.,22.59142939999947,2026-05-28T13:03:49.327,2026-05-28T13:19:19.327,-930
balanza,40,-49.9,,23.58634119999988,2026-05-28T13:03:50.327,2026-05-28T13:19:20.327,-930
balanza,41,,Error desde Arduino: HX711 not found.,23.609603799999604,2026-05-28T13:03:50.349,2026-05-28T13:19:20.349,-930
