ind_hp,error_hp,voltaje_V,t_hp,fecha_hora_corregida_hp,fecha_hora_pc_hp,sensor_hp,tiempo_s,ind_bal,error_bal,t_bal,fecha_hora_corregida_bal,fecha_hora_pc_bal,masa_g,sensor_bal,delta_t_s
0,,-8.69e-06,0.41528169999992315,2026-05-28T08:48:38.946,2026-05-28T09:04:08.946,multimetro,0.41528169999992315,,,,,,,,
1,,1.6354e-05,0.6315577999998823,2026-05-28T08:48:39.164,2026-05-28T09:04:09.164,multimetro,0.6315577999998823,,,,,,,,
2,,1.4972e-05,0.8467491999999766,2026-05-28T08:48:39.380,2026-05-28T09:04:09.380,multimetro,0.8467491999999766,,,,,,,,
3,,1.2407e-05,1.0617337999999563,2026-05-28T08:48:39.590,2026-05-28T09:04:09.590,multimetro,1.0617337999999563,0.0,Error Arduino: HX711 not found.,1.9658215999997992,2026-05-28T08:48:40.498,2026-05-28T09:04:10.498,,balanza,0.9040877999998429
4,,8.836e-06,1.276591499999995,2026-05-28T08:48:39.802,2026-05-28T09:04:09.802,multimetro,1.276591499999995,0.0,Error Arduino: HX711 not found.,1.9658215999997992,2026-05-28T08:48:40.498,2026-05-28T09:04:10.498,,balanza,0.6892300999998042
5,,1.3213e-05,1.491689899999983,2026-05-28T08:48:40.022,2026-05-28T09:04:10.022,multimetro,1.491689899999983,0.0,Error Arduino: HX711 not found.,1.9658215999997992,2026-05-28T08:48:40.498,2026-05-28T09:04:10.498,,balanza,0.4741316999998162
6,,9.203e-06,1.715277799999967,2026-05-28T08:48:40.239,2026-05-28T09:04:10.239,multimetro,1.715277799999967,0.0,Error Arduino: HX711 not found.,1.9658215999997992,2026-05-28T08:48:40.498,2026-05-28T09:04:10.498,,balanza,0.2505437999998321
7,,1.3276e-05,1.96495149999987,2026-05-28T08:48:40.497,2026-05-28T09:04:10.497,multimetro,1.96495149999987,0.0,Error Arduino: HX711 not found.,1.9658215999997992,2026-05-28T08:48:40.498,2026-05-28T09:04:10.498,,balanza,0.0008700999999291525
8,,9.999e-06,2.214552299999923,2026-05-28T08:48:40.747,2026-05-28T09:04:10.747,multimetro,2.214552299999923,0.0,Error Arduino: HX711 not found.,1.9658215999997992,2026-05-28T08:48:40.498,2026-05-28T09:04:10.498,,balanza,-0.24873070000012376
9,,1.2867e-05,2.4648576999998113,2026-05-28T08:48:40.997,2026-05-28T09:04:10.997,multimetro,2.4648576999998113,1.0,,2.9572916999998142,2026-05-28T08:48:41.485,2026-05-28T09:04:11.485,0.03,balanza,0.4924340000000029
10,,1.0156e-05,2.715223599999945,2026-05-28T08:48:41.248,2026-05-28T09:04:11.248,multimetro,2.715223599999945,1.0,,2.9572916999998142,2026-05-28T08:48:41.485,2026-05-28T09:04:11.485,0.03,balanza,0.24206809999986945
