indice,error,tiempo_s,fecha_hora_corregida,fecha_hora_pc,masa_g
0,Error Arduino: HX711 not found.,1.9658215999997992,2026-05-28T08:48:40.498,2026-05-28T09:04:10.498,
1,,2.9572916999998142,2026-05-28T08:48:41.485,2026-05-28T09:04:11.485,0.03
2,Error Arduino: HX711 not found.,2.9816298999999162,2026-05-28T08:48:41.514,2026-05-28T09:04:11.514,
3,,3.9739160999999967,2026-05-28T08:48:42.501,2026-05-28T09:04:12.501,-0.04
4,Error Arduino: HX711 not found.,3.9972458999998253,2026-05-28T08:48:42.530,2026-05-28T09:04:12.530,
5,,4.988634099999899,2026-05-28T08:48:43.512,2026-05-28T09:04:13.512,0.04
6,Error Arduino: HX711 not found.,5.011694799999987,2026-05-28T08:48:43.540,2026-05-28T09:04:13.540,
7,,6.004223499999853,2026-05-28T08:48:44.533,2026-05-28T09:04:14.533,-0.05
8,Error Arduino: HX711 not found.,6.0274001999998745,2026-05-28T08:48:44.559,2026-05-28T09:04:14.559,
9,,7.018910499999947,2026-05-28T08:48:45.549,2026-05-28T09:04:15.549,0.06
10,Error Arduino: HX711 not found.,7.04208339999991,2026-05-28T08:48:45.569,2026-05-28T09:04:15.569,
11,,8.03449230000001,2026-05-28T08:48:46.566,2026-05-28T09:04:16.566,-0.0
12,Error Arduino: HX711 not found.,8.057592399999976,2026-05-28T08:48:46.586,2026-05-28T09:04:16.586,
13,,9.050094599999966,2026-05-28T08:48:47.575,2026-05-28T09:04:17.575,-0.03
14,Error Arduino: HX711 not found.,9.073194699999931,2026-05-28T08:48:47.606,2026-05-28T09:04:17.606,
15,,10.064664399999856,2026-05-28T08:48:48.597,2026-05-28T09:04:18.597,0.02
