indice,error,tiempo_s,fecha_hora_corregida,fecha_hora_pc,masa_g,sensor,voltaje_V
0,,0.41528169999992315,2026-05-28T08:48:38.946,2026-05-28T09:04:08.946,,multimetro,-8.69e-06
1,,0.6315577999998823,2026-05-28T08:48:39.164,2026-05-28T09:04:09.164,,multimetro,1.6354e-05
2,,0.8467491999999766,2026-05-28T08:48:39.380,2026-05-28T09:04:09.380,,multimetro,1.4972e-05
3,,1.0617337999999563,2026-05-28T08:48:39.590,2026-05-28T09:04:09.590,,multimetro,1.2407e-05
4,,1.276591499999995,2026-05-28T08:48:39.802,2026-05-28T09:04:09.802,,multimetro,8.836e-06
5,,1.491689899999983,2026-05-28T08:48:40.022,2026-05-28T09:04:10.022,,multimetro,1.3213e-05
6,,1.715277799999967,2026-05-28T08:48:40.239,2026-05-28T09:04:10.239,,multimetro,9.203e-06
7,,1.96495149999987,2026-05-28T08:48:40.497,2026-05-28T09:04:10.497,,multimetro,1.3276e-05
0,Error Arduino: HX711 not found.,1.9658215999997992,2026-05-28T08:48:40.498,2026-05-28T09:04:10.498,,balanza,
8,,2.214552299999923,2026-05-28T08:48:40.747,2026-05-28T09:04:10.747,,multimetro,9.999e-06
9,,2.4648576999998113,2026-05-28T08:48:40.997,2026-05-28T09:04:10.997,,multimetro,1.2867e-05
10,,2.715223599999945,2026-05-28T08:48:41.248,2026-05-28T09:04:11.248,,multimetro,1.0156e-05
1,,2.9572916999998142,2026-05-28T08:48:41.485,2026-05-28T09:04:11.485,0.03,balanza,
11,,2.9647339999999076,2026-05-28T08:48:41.497,2026-05-28T09:04:11.497,,multimetro,1.3024e-05
2,Error Arduino: HX711 not found.,2.9816298999999162,2026-05-28T08:48:41.514,2026-05-28T09:04:11.514,,balanza,
12,,3.214543699999922,2026-05-28T08:48:41.747,2026-05-28T09:04:11.747,,multimetro,1.0323e-05
13,,3.465052999999898,2026-05-28T08:48:41.998,2026-05-28T09:04:11.998,,multimetro,1.314e-05
14,,3.7151508999997986,2026-05-28T08:48:42.248,2026-05-28T09:04:12.248,,multimetro,9.192e-06
15,,3.9646668999998838,2026-05-28T08:48:42.497,2026-05-28T09:04:12.497,,multimetro,1.3056e-05
3,,3.9739160999999967,2026-05-28T08:48:42.501,2026-05-28T09:04:12.501,-0.04,balanza,
4,Error Arduino: HX711 not found.,3.9972458999998253,2026-05-28T08:48:42.530,2026-05-28T09:04:12.530,,balanza,
16,,4.214631299999837,2026-05-28T08:48:42.747,2026-05-28T09:04:12.747,,multimetro,9.716e-06
17,,4.46484989999999,2026-05-28T08:48:42.998,2026-05-28T09:04:12.998,,multimetro,1.2553e-05
18,,4.714610499999935,2026-05-28T08:48:43.246,2026-05-28T09:04:13.246,,multimetro,9.988e-06
19,,4.964956799999982,2026-05-28T08:48:43.497,2026-05-28T09:04:13.497,,multimetro,1.2731e-05
5,,4.988634099999899,2026-05-28T08:48:43.512,2026-05-28T09:04:13.512,0.04,balanza,
6,Error Arduino: HX711 not found.,5.011694799999987,2026-05-28T08:48:43.540,2026-05-28T09:04:13.540,,balanza,
20,,5.214664099999936,2026-05-28T08:48:43.746,2026-05-28T09:04:13.746,,multimetro,1.0889e-05
21,,5.464576699999952,2026-05-28T08:48:43.996,2026-05-28T09:04:13.996,,multimetro,1.2229e-05
22,,5.714709899999889,2026-05-28T08:48:44.246,2026-05-28T09:04:14.246,,multimetro,1.0962e-05
23,,5.964658399999962,2026-05-28T08:48:44.496,2026-05-28T09:04:14.496,,multimetro,1.2166e-05
7,,6.004223499999853,2026-05-28T08:48:44.533,2026-05-28T09:04:14.533,-0.05,balanza,
8,Error Arduino: HX711 not found.,6.0274001999998745,2026-05-28T08:48:44.559,2026-05-28T09:04:14.559,,balanza,
24,,6.215112399999953,2026-05-28T08:48:44.746,2026-05-28T09:04:14.746,,multimetro,1.1621e-05
25,,6.464681199999859,2026-05-28T08:48:44.996,2026-05-28T09:04:14.996,,multimetro,1.1705e-05
26,,6.732786699999906,2026-05-28T08:48:45.266,2026-05-28T09:04:15.266,,multimetro,1.1768e-05
27,,6.966942899999822,2026-05-28T08:48:45.498,2026-05-28T09:04:15.498,,multimetro,1.1381e-05
9,,7.018910499999947,2026-05-28T08:48:45.549,2026-05-28T09:04:15.549,0.06,balanza,
10,Error Arduino: HX711 not found.,7.04208339999991,2026-05-28T08:48:45.569,2026-05-28T09:04:15.569,,balanza,
28,,7.21470619999991,2026-05-28T08:48:45.746,2026-05-28T09:04:15.746,,multimetro,1.047e-05
29,,7.465048599999818,2026-05-28T08:48:45.997,2026-05-28T09:04:15.997,,multimetro,1.025e-05
30,,7.714654499999824,2026-05-28T08:48:46.247,2026-05-28T09:04:16.247,,multimetro,1.2951e-05
31,,7.9649233000000095,2026-05-28T08:48:46.496,2026-05-28T09:04:16.496,,multimetro,1.0899e-05
11,,8.03449230000001,2026-05-28T08:48:46.566,2026-05-28T09:04:16.566,-0.0,balanza,
12,Error Arduino: HX711 not found.,8.057592399999976,2026-05-28T08:48:46.586,2026-05-28T09:04:16.586,,balanza,
32,,8.215015199999925,2026-05-28T08:48:46.748,2026-05-28T09:04:16.748,,multimetro,1.2825e-05
33,,8.465132799999992,2026-05-28T08:48:46.997,2026-05-28T09:04:16.997,,multimetro,1.1915e-05
34,,8.71486159999995,2026-05-28T08:48:47.247,2026-05-28T09:04:17.247,,multimetro,1.1004e-05
35,,8.964577699999836,2026-05-28T08:48:47.496,2026-05-28T09:04:17.496,,multimetro,1.2302e-05
13,,9.050094599999966,2026-05-28T08:48:47.575,2026-05-28T09:04:17.575,-0.03,balanza,
14,Error Arduino: HX711 not found.,9.073194699999931,2026-05-28T08:48:47.606,2026-05-28T09:04:17.606,,balanza,
36,,9.215104699999983,2026-05-28T08:48:47.746,2026-05-28T09:04:17.746,,multimetro,1.226e-05
37,,9.464799699999958,2026-05-28T08:48:47.996,2026-05-28T09:04:17.996,,multimetro,1.0365e-05
38,,9.714611399999967,2026-05-28T08:48:48.246,2026-05-28T09:04:18.246,,multimetro,1.3506e-05
39,,9.964843099999825,2026-05-28T08:48:48.497,2026-05-28T09:04:18.497,,multimetro,1.1841e-05
15,,10.064664399999856,2026-05-28T08:48:48.597,2026-05-28T09:04:18.597,0.02,balanza,
