tiempo_s,tiempo_multimetro_s,voltaje_V,indice_multimetro,fecha_hora_corregida_hp,fecha_hora_pc_sin_corregir_hp,error_hp,tiempo_balanza_s,masa_g,indice_balanza,fecha_hora_corregida_balanza,fecha_hora_pc_sin_corregir_balanza,error_balanza,delta_t_balanza_multimetro_s
0.5220142999996824,0.5220142999996824,2.6049e-05,0,2026-05-28T09:42:48.221,2026-05-28T09:58:18.221,,1.020980999999665,,0,2026-05-28T09:42:48.720,2026-05-28T09:58:18.720,Error desde Arduino: HX711 not found.,0.49896669999998267
1.0474659999999858,1.0474659999999858,1.7621e-05,1,2026-05-28T09:42:48.747,2026-05-28T09:58:18.747,,1.020980999999665,,0,2026-05-28T09:42:48.720,2026-05-28T09:58:18.720,Error desde Arduino: HX711 not found.,-0.026485000000320724
1.572124399999666,1.572124399999666,1.6971e-05,2,2026-05-28T09:42:49.269,2026-05-28T09:58:19.269,,2.013270499999635,-0.06,1,2026-05-28T09:42:49.704,2026-05-28T09:58:19.704,,0.441146099999969
2.0968093999999837,2.0968093999999837,2.2112e-05,3,2026-05-28T09:42:49.791,2026-05-28T09:58:19.791,,2.0363820000002306,,2,2026-05-28T09:42:49.734,2026-05-28T09:58:19.734,Error desde Arduino: HX711 not found.,-0.060427399999753106
2.6213294999997743,2.6213294999997743,2.4091e-05,4,2026-05-28T09:42:50.321,2026-05-28T09:58:20.321,,3.0288798999999926,-0.02,3,2026-05-28T09:42:50.721,2026-05-28T09:58:20.721,,0.40755040000021836
3.1464108000000124,3.1464108000000124,2.0479e-05,5,2026-05-28T09:42:50.844,2026-05-28T09:58:20.844,,3.0519766999996136,,4,2026-05-28T09:42:50.750,2026-05-28T09:58:20.750,Error desde Arduino: HX711 not found.,-0.09443410000039876
3.671130699999594,3.671130699999594,1.4951e-05,6,2026-05-28T09:42:51.371,2026-05-28T09:58:21.371,,4.044460899999649,-0.05,5,2026-05-28T09:42:51.742,2026-05-28T09:58:21.742,,0.3733302000000549
4.195913700000347,4.195913700000347,1.7275e-05,7,2026-05-28T09:42:51.889,2026-05-28T09:58:21.889,,4.067866600000343,,6,2026-05-28T09:42:51.768,2026-05-28T09:58:21.768,Error desde Arduino: HX711 not found.,-0.1280471000000034
4.72076879999986,4.72076879999986,2.7693e-05,8,2026-05-28T09:42:52.419,2026-05-28T09:58:22.419,,5.0602405999998155,-0.04,7,2026-05-28T09:42:52.758,2026-05-28T09:58:22.758,,0.3394717999999557
5.245702399999573,5.245702399999573,2.5358e-05,9,2026-05-28T09:42:52.938,2026-05-28T09:58:22.938,,5.0835925000001225,,8,2026-05-28T09:42:52.778,2026-05-28T09:58:22.778,Error desde Arduino: HX711 not found.,-0.16210989999945014
5.770401099999617,5.770401099999617,1.5391e-05,10,2026-05-28T09:42:53.470,2026-05-28T09:58:23.470,,6.0758636999999,-0.03,9,2026-05-28T09:42:53.771,2026-05-28T09:58:23.771,,0.3054626000002827
6.295271899999534,6.295271899999534,1.8699e-05,11,2026-05-28T09:42:53.988,2026-05-28T09:58:23.988,,6.099207799999931,,10,2026-05-28T09:42:53.791,2026-05-28T09:58:23.791,Error desde Arduino: HX711 not found.,-0.19606409999960306
6.820135500000106,6.820135500000106,2.675e-05,12,2026-05-28T09:42:54.514,2026-05-28T09:58:24.514,,7.091379700000289,-0.06,11,2026-05-28T09:42:54.784,2026-05-28T09:58:24.784,,0.2712442000001829
7.344983500000126,7.344983500000126,3.2027e-05,13,2026-05-28T09:42:55.037,2026-05-28T09:58:25.037,,7.114486399999805,,12,2026-05-28T09:42:54.814,2026-05-28T09:58:24.814,Error desde Arduino: HX711 not found.,-0.23049710000032064
7.869667500000105,7.869667500000105,2.3013e-05,14,2026-05-28T09:42:55.564,2026-05-28T09:58:25.564,,8.10695190000024,-0.02,13,2026-05-28T09:42:55.806,2026-05-28T09:58:25.806,,0.23728440000013507
8.394363599999451,8.394363599999451,4.82e-07,15,2026-05-28T09:42:56.091,2026-05-28T09:58:26.091,,8.14218979999987,,15,2026-05-28T09:42:55.841,2026-05-28T09:58:25.841,Error desde Arduino: HX711 not found.,-0.2521737999995821
8.919102300000304,8.919102300000304,1.3003e-05,16,2026-05-28T09:42:56.614,2026-05-28T09:58:26.614,,9.134604500000023,-0.08,16,2026-05-28T09:42:56.834,2026-05-28T09:58:26.834,,0.21550219999971887
9.443999299999632,9.443999299999632,-9.842e-06,17,2026-05-28T09:42:57.142,2026-05-28T09:58:27.142,,9.157796499999677,,17,2026-05-28T09:42:56.858,2026-05-28T09:58:26.858,Error desde Arduino: HX711 not found.,-0.28620279999995546
9.968545400000039,9.968545400000039,3.7974e-05,18,2026-05-28T09:42:57.668,2026-05-28T09:58:27.668,,10.150128600000244,-0.01,18,2026-05-28T09:42:57.844,2026-05-28T09:58:27.844,,0.18158320000020467
10.49341639999966,10.49341639999966,1.1705e-05,19,2026-05-28T09:42:58.187,2026-05-28T09:58:28.187,,10.150128600000244,-0.01,18,2026-05-28T09:42:57.844,2026-05-28T09:58:27.844,,-0.34328779999941617
