sensor,indice_multimetro,voltaje_V,error,tiempo_s,fecha_hora_corregida,fecha_hora_pc_sin_corregir,correccion_reloj_s
multimetro,0,5.4181e-05,,0.5211833000003026,2026-05-28T09:25:46.043,2026-05-28T09:41:16.043,-930
multimetro,1,4.523e-06,,1.0462502999998833,2026-05-28T09:25:46.560,2026-05-28T09:41:16.560,-930
multimetro,2,2.4688e-05,,1.5702209999999468,2026-05-28T09:25:47.091,2026-05-28T09:41:17.091,-930
multimetro,3,1.5621e-05,,2.094213100000161,2026-05-28T09:25:47.617,2026-05-28T09:41:17.617,-930
multimetro,4,9.904e-06,,2.618056300000717,2026-05-28T09:25:48.141,2026-05-28T09:41:18.141,-930
multimetro,5,2.2573e-05,,3.1422209000002113,2026-05-28T09:25:48.657,2026-05-28T09:41:18.657,-930
multimetro,6,1.7432e-05,,3.6664584999998624,2026-05-28T09:25:49.189,2026-05-28T09:41:19.189,-930
multimetro,7,1.0836e-05,,4.190825399999994,2026-05-28T09:25:49.708,2026-05-28T09:41:19.708,-930
multimetro,8,1.3171e-05,,4.714823600000273,2026-05-28T09:25:50.233,2026-05-28T09:41:20.233,-930
multimetro,9,1.5401e-05,,5.2387977000007595,2026-05-28T09:25:50.757,2026-05-28T09:41:20.757,-930
multimetro,10,2.1264e-05,,5.762784000000465,2026-05-28T09:25:51.283,2026-05-28T09:41:21.283,-930
multimetro,11,2.6342e-05,,6.287027100000159,2026-05-28T09:25:51.810,2026-05-28T09:41:21.810,-930
multimetro,12,2.3107e-05,,6.811171100000138,2026-05-28T09:25:52.327,2026-05-28T09:41:22.327,-930
multimetro,13,9.559e-06,,7.335194100000081,2026-05-28T09:25:52.858,2026-05-28T09:41:22.858,-930
multimetro,14,1.739e-05,,7.8593737999999576,2026-05-28T09:25:53.377,2026-05-28T09:41:23.377,-930
multimetro,15,2.2782e-05,,8.383283300000585,2026-05-28T09:25:53.906,2026-05-28T09:41:23.906,-930
